resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Carpentry,,,,,,,
,step,,,,,Ground Floor,,,,,,
,step,,,,,,Common door,,,,,
Service Door Checklist,checklist,,,,,,,CD01 - FIRE STAIR ( TO STREET),,,,
Service Door Checklist,checklist,,,,,,,CD02 - FIRE STAIR ( TO STREET),,,,
Service Door Checklist,checklist,,,,,,,CD03 - LUGGAGE,,,,
Service Door Checklist,checklist,,,,,,,CD04 - LUGGAGE,,,,
Skirting Checklist,checklist,,,,,,Common Skirting,,,,,
Corner Guard Checklist,checklist,,,,,,Corner Guard,,,,,
,step,,,,,Level 1,,,,,,
,step,,,,,,Common door,,,,,
Service Door Checklist,checklist,,,,,,,CD01 - FIRE STAIR,,,,
Service Door Checklist,checklist,,,,,,,CD02 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD03 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD04 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD05 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD06 - SERVICE CUPBOARD,,,,
Service Door Checklist,checklist,,,,,,,CD07 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD08 - SERVICE CUPBOARD,,,,
Service Door Checklist,checklist,,,,,,,CD09 - SERVICE CUPBOARD,,,,
Service Door Checklist,checklist,,,,,,,CD10 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD11 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD12 - REFUSE CHUTE,,,,
Service Door Checklist,checklist,,,,,,,CD13 - SWITCHROOM,,,,
Service Door Checklist,checklist,,,,,,,CD14 - SWITCHROOM,,,,
Service Door Checklist,checklist,,,,,,,FD01 - ACCESSIBLE AMENITIES,,,,
Service Door Checklist,checklist,,,,,,,FD02 - HOUSEKEEPING OFFICE,,,,
Service Door Checklist,checklist,,,,,,,FD03 - LINEN,,,,
Service Door Checklist,checklist,,,,,,,FD04 - STAFF ROOM,,,,
Service Door Checklist,checklist,,,,,,,FD05 - MALE & FEMALE AMENITIES,,,,
Service Door Checklist,checklist,,,,,,,FD06 - MALE & FEMALE AMENITIES,,,,
Service Door Checklist,checklist,,,,,,,FD07 - MALE & FEMALE AMENITIES,,,,
Service Door Checklist,checklist,,,,,,,FD08 - MALE & FEMALE AMENITIES,,,,
Service Door Checklist,checklist,,,,,,,FD09 - HOTEL BOH,,,,
Service Door Checklist,checklist,,,,,,,FD10 - BICYCLE STORAGE,,,,
Service Door Checklist,checklist,,,,,,,PD01 - COMMUNICATIONS,,,,
Service Door Checklist,checklist,,,,,,,PD02 - PLANTROOM/STORE,,,,
Service Door Checklist,checklist,,,,,,,PD03 - FIRE CONTROL ROOM,,,,
Service Door Checklist,checklist,,,,,,,PD04 - PLANTROOM/STORE,,,,
Service Door Checklist,checklist,,,,,,,PD05 - PLANTROOM/STORE,,,,
Service Door Checklist,checklist,,,,,,,PD50 - PLANTROOM/STORE,,,,
Skirting Checklist,checklist,,,,,,Common Skirting,,,,,
Sanitary Checklist,checklist,,,,,,Common Sanitary,,,,,
Corner Guard Checklist,checklist,,,,,,Corner Guard,,,,,
,step,,,,,Level 2,,,,,,
,step,,,,,,Common door,,,,,
Service Door Checklist,checklist,,,,,,,CD01 - FIRE STAIR,,,,
Service Door Checklist,checklist,,,,,,,CD02 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD03 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD04 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD05 - SERVICE CUPBOARD,,,,
Service Door Checklist,checklist,,,,,,,CD06 - SERVICE CUPBOARD,,,,
Service Door Checklist,checklist,,,,,,,CD07 - SERVICE CUPBOARD,,,,
Service Door Checklist,checklist,,,,,,,CD08 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD09 - SERVICE CUPBOARD,,,,
Service Door Checklist,checklist,,,,,,,FD01 - LUGGAGE,,,,
Service Door Checklist,checklist,,,,,,,FD02 - MANAGERS OFFICE,,,,
Service Door Checklist,checklist,,,,,,,FD03 - ADMIN OFFICE,,,,
Service Door Checklist,checklist,,,,,,,FD04 - ACCESSIBLE AMENITIES,,,,
Service Door Checklist,checklist,,,,,,,FD05 - HOTEL BOH,,,,
Service Door Checklist,checklist,,,,,,,FD06 - HOTEL BOH,,,,
Service Door Checklist,checklist,,,,,,,PD50 - PLANTROOM/STORE,,,,
Skirting Checklist,checklist,,,,,,Common Skirting,,,,,
Sanitary Checklist,checklist,,,,,,Common Sanitary,,,,,
Bead Checklist,checklist,,,,,,Corridor Bead,,,,,
Corner Guard Checklist,checklist,,,,,,Corner Guard,,,,,
,step,,,,,,Apartment 0201,,,,,
,step,,,,,,,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
,step,,,,,,,Sanitary,,,,
Sanitary Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,Apartment 0202,,,,,
,step,,,,,,,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BEDROOM,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
Skirting Checklist,checklist,,,,,,,,BEDROOM,,,
,step,,,,,,,Sanitary,,,,
Sanitary Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,Apartment 0203,,,,,
,step,,,,,,,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
,step,,,,,,,Sanitary,,,,
Sanitary Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,Apartment 0204,,,,,
,step,,,,,,,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
,step,,,,,,,Sanitary,,,,
Sanitary Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,Apartment 0205,,,,,
,step,,,,,,,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
,step,,,,,,,Sanitary,,,,
Sanitary Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,Apartment 0206,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
,step,,,,,,,Sanitary,,,,
Sanitary Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,Apartment 0207,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
,step,,,,,,,Sanitary,,,,
Sanitary Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,Level 3,,,,,,
,step,,,,,,Common door,,,,,
Service Door Checklist,checklist,,,,,,,CD01 - FIRE STAIR,,,,
Service Door Checklist,checklist,,,,,,,CD02 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD03 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD04 - PASSAGE/CORRIDOR,,,,
Service Door Checklist,checklist,,,,,,,CD05 - SERVICE CUPBOARD,,,,
Service Door Checklist,checklist,,,,,,,CD06 - SERVICE CUPBOARD,,,,
Service Door Checklist,checklist,,,,,,,CD07 - SERVICE CUPBOARD,,,,
Service Door Checklist,checklist,,,,,,,CD08 - SERVICE CUPBOARD,,,,
Service Door Checklist,checklist,,,,,,,FD01 - HOUSEKEEPING,,,,
Service Door Checklist,checklist,,,,,,,FD02 - HOTEL BOH,,,,
Service Door Checklist,checklist,,,,,,,FD03 - HOTEL BOH,,,,
Service Door Checklist,checklist,,,,,,,PD50 - PLANTROOM/STORE,,,,
Skirting Checklist,checklist,,,,,,Common Skirting,,,,,
Bead Checklist,checklist,,,,,,Corridor Bead,,,,,
Corner Guard Checklist,checklist,,,,,,Corner Guard,,,,,
,step,,,,,,Apartment 0301,,,,,
,step,,,,,,,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BEDROOM,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
Skirting Checklist,checklist,,,,,,,,BEDROOM,,,
,step,,,,,,,Sanitary,,,,
Sanitary Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,Apartment 0302,,,,,
,step,,,,,,,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BEDROOM,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
Skirting Checklist,checklist,,,,,,,,BEDROOM,,,
,step,,,,,,,Sanitary,,,,
Sanitary Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,Apartment 0303,,,,,
,step,,,,,,,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
,step,,,,,,,Sanitary,,,,
Sanitary Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,Apartment 0304,,,,,
,step,,,,,,,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
,step,,,,,,,Sanitary,,,,
Sanitary Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,Apartment 0305,,,,,
,step,,,,,,,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BEDROOM,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
Skirting Checklist,checklist,,,,,,,,BEDROOM,,,
,step,,,,,,,Sanitary,,,,
Sanitary Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,Apartment 0306,,,,,
,step,,,,,,,Door,,,,
Entry Door Checklist,checklist,,,,,,,,ENTRY,,,
Internal Door Checklist,checklist,,,,,,,,BATHROOM,,,
,step,,,,,,,Skirting,,,,
Skirting Checklist,checklist,,,,,,,,LIVING ROOM,,,
,step,,,,,,,Sanitary,,,,
