"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d6d892f4-d904-4c1e-941c-8b3272271f03","","checklist-sectioned","no-status-not-started","Job Details Checklist","checklist","FALSE","FALSE","Job Details"
"13c01969-c71a-4034-9bf4-13b5aa846965","","checklist-sectioned","not-started","SSSP Information Checklist","checklist","FALSE","FALSE","SSSP Information"
"f6b81ee8-ead1-4545-bc57-507dd99fac4d","","folder-normal","not-started","","step","TRUE","FALSE","TA & Competency Register"
"90f4feb7-3538-4404-a1a5-ed7298fe37c2","","checklist-sectioned","not-started","TA & Register Doc","checklist","FALSE","FALSE","TA & Competency Register","TA & Register Documents"
"381383e3-3448-47cd-8ac3-440ffe4e62f3","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Keepa Davies"
"c95a966e-c590-4661-8b49-3f741b69faf0","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Linberg Luriaga"
"2789d599-484b-45c9-a2a4-e0e25cd2418a","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Rawini Te Anau"
"6d7d3264-9113-4350-8154-3e6973670c80","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Jonty Ward"
"9dac4206-8e97-4667-845c-ee225c770fd0","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Andrew Ward"
"6fcfec52-a15d-4c9d-85b2-19487364ea97","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Russel Murillo"
"326a16dd-cb2d-49e9-a69b-181797812af4","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Lyndon Luriaga"
"78782b59-649d-4dd2-956b-968a5c9b7bb6","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Allan Tadiosa"
"108daab0-5619-4444-a353-ee9d3357309c","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Dennis Belmonte"
"11f5800e-367c-4443-a9f1-81da854a3aed","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Arnold Evangelista"
"acb234cf-1ec6-43ba-be89-d2689d3a93e2","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Emelito Arrubio"
"fe62701b-0305-46e9-aa2e-edbf9bc504d0","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Teodulo Balsamo"
"af40ee11-5527-4102-b119-ca29b30d2efc","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Jovy Velasco"
"5ca543f5-1031-47e2-83e5-29400940b53a","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Boyet Pagadora"
"3d47a15e-81bc-48f8-9624-279ad0eb0237","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Jeomar Flores"
"8f2ca44e-42b5-41b4-b592-0d5f69e5ed85","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Ronaldo Awacay"
"49766e3f-cf05-4edf-bfaa-f6db393ded05","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Jay-Ar Sidon"
"51d0e019-93cc-457b-a532-215805bab84d","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Samson Alvarado"
"b6377cf8-6833-44e3-854f-cf297583afb0","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Archie Comla"
"36faab34-12ff-41f4-b554-5c789ecbc905","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Lory Dela Cruz"
"15437f8c-6657-40dc-aa34-66a9b0b775c6","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Reco Hetones"
"3a939522-2862-4ea0-a6c3-2eef69fb36c8","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Loie Palayad"
"1ccf563b-f924-47dd-85b6-e8cb3b921b70","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Eduardo Panginaban"
"b596058e-a5cc-4f3c-a79b-c164d816a289","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Mark Carabbacan"
"d501f85d-2fcf-4bda-9397-5ab3f14b6f6d","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Noli Mahilum"
"70f08aba-e410-4eed-9cff-3e8bb5570a49","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Joseph Idio"
"01e626b8-15e8-429d-abc6-53732dd7f40d","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Glenn Tamara"
"5819cf3d-ddec-4cef-9cfa-471592dd1bfd","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Jayson Carlos"
"0861cc0e-3cbd-46b5-81a6-c42b7bc6b634","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Allan Macalalad"
"99d88d0d-f8f2-433b-bc47-162d8c23dcba","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Richard Buensalida"
"91931a54-f6e8-4cb2-b9ed-5a5abb56a40d","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Rudy Buensdalida"
"82af0043-f3db-4a3b-8748-570b0b7b8075","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Richard Arceo"
"59841bd3-867d-4119-a180-6d0953cca7de","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Darwin Esteban"
"f76dba5e-6703-4209-875d-5c671b5b8d47","","checklist-sectioned","not-started","TA & Competency Register (Sign On)","checklist","FALSE","FALSE","TA & Competency Register","Romeo Valdez"
"ef820925-8681-4e0b-a554-36cbb31e2b3a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Daily Prestart"
"ebe06e89-e93b-4e00-99af-4b307963279e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Daily Prestart","November"
"9bc79f30-3384-4cc7-9550-93748ef5cc60","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Daily Prestart","December"
"d27de89a-add5-45af-8dee-9f1194d97073","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Daily Prestart","January"
"f4600fec-9d53-4d3a-a569-cc94a900c642","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Daily Prestart","February"
"e70ed0d6-3d42-4cac-a3da-7adc294f9b97","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Daily Prestart","March"
"d58265dd-0cde-411f-8aca-986973f22a35","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Daily Prestart","April"
"d93aa1f3-4850-4c16-b58b-5c1e6d7715ad","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks"
"79baa76e-5608-4ff4-8a5d-5e3cb38360b5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","November"
"d1e05c0c-fc9f-4046-b40b-c1c6cdbed404","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","December"
"bb2b69b9-ef74-4c65-be6b-519a1a4dff97","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","January"
"b09f80fd-c0a6-4167-aca9-037d5ac74653","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","February"
"772163c2-e0bf-477d-8b40-3e7c5a927a2e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","March"
"d50ed2e9-0c50-4493-b065-6919697bad95","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","April"
"2e656c2c-c68f-4da0-bdbe-bc2cd0952097","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Inspections"
"49aad1d6-2304-4d5e-b85c-6067b3fedd84","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Inspections","November"
"1fb32791-e676-477d-8ee8-944538cb5920","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Inspections","December"
"cb875102-e746-4916-8be1-02d1dc374d22","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Inspections","January"
"8a759dff-573b-4bdd-823a-f0908f65d35e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Inspections","February"
"37183a74-cb48-401d-84b8-b5a4440747de","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Inspections","March"
"868eb854-c056-422b-b29d-a612367f301f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Inspections","April"
"085fbb76-563e-41de-9e7a-0e418c69c126","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA"
