"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"26fcea79-2069-4951-a014-3e775d3b359c","","folder-normal","fail","","step","TRUE","FALSE","Station Box"
"1f862615-ee8b-4b14-bbac-634d0b039ef4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Station Box","Lift 01"
"b4f821a7-c8ad-4d7d-9080-515af3bfa2d8","","folder-normal","pass","","step","TRUE","FALSE","Station Box","Lift 01","Zone C (Western end)"
"db48e4bb-d793-4eed-ac43-6adb9ae759d6","","checklist-sectioned","pass","5e2aca4a77bdc90475ab6c3dcfe1b551cd16e8bd070cc04f94212ccd78dfde8f","checklist","FALSE","FALSE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00"
"547de478-8cc6-5968-ab05-c20cc100d9cc","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Pre-Excavation"
"f16b7bd6-480f-5568-987a-73d1218b84d5","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Pre-Excavation","Structural & Architectural Drawings - Please attach"
"0faae765-a548-5eba-8b13-f7b482b33c11","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Pre-Excavation","Signed off by Delta Group & CPB"
"7d151673-741b-50fb-b16a-3ed7a7ebebc4","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Pre-Excavation","Surveyor set out in accordance with latest drawings above:"
"f7338891-d118-5c40-b83c-bac15c75a04c","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Pre-Excavation","Permit to Excavate - issued by head contractor prior to works commencement"
"0b56372f-1400-59be-858f-b5b363901832","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Pre-Excavation","Signed off by Delta Group & CPB"
"d3b8dea3-43cb-567a-99f2-978f40b15b5d","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Bulk Earthworks"
"609cfc73-bd6a-56f9-ada4-0289b67e8988","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Bulk Earthworks","Site supervisor to set-out of RL and dimensions per works planning"
"ee9b82b4-8f15-571c-b860-b72de4285bdc","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Wall Trimmings"
"1c508230-b16d-5a35-9394-2da17846c144","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Wall Trimmings","Detailed excavation of foundation shall be completed to the depth and profile shown on the drawings."
"c5768520-e9ee-58b5-b460-1c3654f70311","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Wall Trimmings","Signed off by Delta Group & CPB"
"4fa02363-ad80-592d-8639-25d8b39b00fa","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Wall Trimmings","All foundations excavations shall be free of loose water softened material and ponding water prior to placing concrete. Excess water to utilise temporary drainage systems or to be removed by other means."
"3ef12faf-cd2e-53d7-ba01-c7b4fa5101b0","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Wall Trimmings","Signed off by Delta Group & CPB"
"56c53fb6-e783-5f39-af81-66269d394103","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Post Excavation"
"c37f1f40-1960-541d-804f-1a8cb73669ec","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Post Excavation","Surveyor to confirm construction tolerances are achieved (excluding areas where rock cleavage does not allow for):"
"568ebb32-38ff-50a7-8353-fdb84ad42206","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Post Excavation","Signed off by Delta Group & CPB"
