resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Pre-construction,,,,,,,,
Pre-construction Works checklist,checklist,,,,Pre-construction Works checklist,,,,,,,
,step,,,Site QA,,,,,,,,
,step,,,,Demo,,,,,,,
Strip Out Works checklist,checklist,,,,,Section 1 - Green,,,,,,
Strip Out Works checklist,checklist,,,,,Section 2 - Blue,,,,,,
Strip Out Works checklist,checklist,,,,,Section 3 - Yellow,,,,,,
Strip Out Works checklist,checklist,,,,,Section 4 - Red,,,,,,
,step,,,,Decon,,,,,,,
,step,,,,,Section 1 - Green,,,,,,
Decontamination Works checklist,checklist,,,,,,Section 1a,,,,,
Decontamination Works checklist,checklist,,,,,,Section 1b,,,,,
Decontamination Works checklist,checklist,,,,,,Section 1c,,,,,
Decontamination Works checklist,checklist,,,,,,Section 1d,,,,,
,step,,,,,Section 2 - Blue,,,,,,
Decontamination Works checklist,checklist,,,,,,Section 2a,,,,,
Decontamination Works checklist,checklist,,,,,,Section 2b,,,,,
Decontamination Works checklist,checklist,,,,,,Section 2c,,,,,
Decontamination Works checklist,checklist,,,,,,Section 2d,,,,,
,step,,,,,Section 3 - Yellow,,,,,,
Decontamination Works checklist,checklist,,,,,,Section 2a,,,,,
Decontamination Works checklist,checklist,,,,,,Section 2b,,,,,
Decontamination Works checklist,checklist,,,,,,Section 2c,,,,,
Decontamination Works checklist,checklist,,,,,,Section 2d,,,,,
,step,,,,,Section 4 - Red,,,,,,
Decontamination Works checklist,checklist,,,,,,Section 2a,,,,,
Decontamination Works checklist,checklist,,,,,,Section 2b,,,,,
Decontamination Works checklist,checklist,,,,,,Section 2c,,,,,
Decontamination Works checklist,checklist,,,,,,Section 2d,,,,,
