"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d365efc3-2281-4f2d-aad3-ee8e25430561","","work-in-progress","","folder","TRUE","FALSE","Earthing"
"6e536c08-4b9d-4daf-91fc-7e7f25e97a5f","","pass","","folder","TRUE","FALSE","Earthing","Zone 1A"
"57602dd0-6af3-478c-a233-77b351f78aad","","no-status-started","Photo of Zone","checklist","FALSE","FALSE","Earthing","Zone 1A","Photo of Zone"
"51d55d8d-901f-4316-a2a1-a895d6612a32","","pass","","folder","TRUE","FALSE","Earthing","Zone 1A","Pile 1 - H7:D5"
"97e0f529-57c3-45f1-8084-ff7813acc56f","","pass","Photos (1 - 30)","checklist","FALSE","FALSE","Earthing","Zone 1A","Pile 1 - H7:D5","Photos (1-30)"
"4cb5aea3-8a86-49c7-bdcf-740b04ca974c","","pass","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1A","Pile 1 - H7:D5","Test Sheets"
"a8a0d737-35da-41e4-b77a-b466b46263e1","","pass","","folder","TRUE","FALSE","Earthing","Zone 1A","Pile 2 - H7:D6"
"88908bea-934a-44f7-bd98-7400ae1c5b04","","pass","Photos (31 - 60)","checklist","FALSE","FALSE","Earthing","Zone 1A","Pile 2 - H7:D6","Photos (31-60)"
"424d1096-7e63-41da-8840-6d46fd222bfa","","pass","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1A","Pile 2 - H7:D6","Test Sheets"
"e759cea7-2bf4-40bf-ab33-be502aedf70b","","pass","","folder","TRUE","FALSE","Earthing","Zone 1A","Pile 3 - H7:D7"
"60a16fb2-c452-46da-a14f-1ccdc28539a3","","pass","Photos (61 - 90)","checklist","FALSE","FALSE","Earthing","Zone 1A","Pile 3 - H7:D7","Photos (61-90)"
"4db3e594-5594-4172-961e-af2097c6f86a","","pass","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1A","Pile 3 - H7:D7","Test Sheets"
"18280a8d-cf5f-4e0d-8716-f29bbb363f8d","","pass","","folder","TRUE","FALSE","Earthing","Zone 1A","Pile 4 - H7:D8"
"f209d8d2-6f1e-4c19-ab4b-c241ea564da6","","pass","Photos (91 - 120)","checklist","FALSE","FALSE","Earthing","Zone 1A","Pile 4 - H7:D8","Photos (91-120)"
"e930301f-c3e9-42b2-80db-916c5ec4c421","","pass","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1A","Pile 4 - H7:D8","Test Sheets"
"dc836b7a-72fa-4134-935d-064b6a8fa439","","pass","","folder","TRUE","FALSE","Earthing","Zone 1A","Pile 5 - H7:D9"
"40206a2c-e178-4bf3-ada6-2cf61d0b82a6","","pass","Photos (121 - 150)","checklist","FALSE","FALSE","Earthing","Zone 1A","Pile 5 - H7:D9","Photos (121-150)"
"ad505deb-ec32-4dab-af63-7c3aaf879a50","","pass","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1A","Pile 5 - H7:D9","Test Sheets"
"d3de767e-ab2c-4394-9356-a92accad5c4a","","work-in-progress","","folder","TRUE","FALSE","Earthing","Zone 1B"
"afa6342c-aad4-4c0f-b01e-ae2105f11aed","","work-in-progress","","folder","TRUE","FALSE","Earthing","Zone 1B","Pile 6 - H8:D8"
"d1df80f6-20c3-46fe-ab71-2c12bce87ae5","","pass","Photos (151 - 180)","checklist","FALSE","FALSE","Earthing","Zone 1B","Pile 6 - H8:D8","Photos (151-180)"
"459e0158-d91b-4e7b-b672-379ccdf724fa","","not-started","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1B","Pile 6 - H8:D8","Test Sheets"
"3a6c5f68-518e-4e34-b55d-49a569d040fa","","work-in-progress","","folder","TRUE","FALSE","Earthing","Zone 1B","Pile 7 - H8:D9"
"856e3393-b955-4a26-9068-b8d4b9d8ddc7","","pass","Photos (181 - 210)","checklist","FALSE","FALSE","Earthing","Zone 1B","Pile 7 - H8:D9","Photos (181-210)"
"5e07990e-6ad9-4f4e-8e2d-0196da6c33a5","","not-started","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1B","Pile 7 - H8:D9","Test Sheets"
"6c8593fc-f4a8-44f6-b6f6-2334748c986d","","work-in-progress","","folder","TRUE","FALSE","Earthing","Zone 1B","Pile 8 - H9:D8"
"997bf9ef-d1f5-4f04-ae46-2bdf01206776","","pass","Photos (211 - 240)","checklist","FALSE","FALSE","Earthing","Zone 1B","Pile 8 - H9:D8","Photos (211-240)"
"f35169af-9282-4fd4-bfe6-7fc1dfa19909","","not-started","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1B","Pile 8 - H9:D8","Test Sheets"
"bfc59744-7ddc-4951-883d-61921a7cb808","","work-in-progress","","folder","TRUE","FALSE","Earthing","Zone 1B","Pile 9 - H9:D9"
"57005f5f-02cc-4dd2-83e7-7f1dc0b70034","","pass","Photos (241 - 270)","checklist","FALSE","FALSE","Earthing","Zone 1B","Pile 9 - H9:D9","Photos (241-270)"
"1a205b5a-035a-4d8a-b3d8-530f4439f522","","not-started","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1B","Pile 9 - H9:D9","Test Sheets"
"227d2130-0cd9-4858-a368-7856a8c73e5b","","work-in-progress","","folder","TRUE","FALSE","Earthing","Zone 1B","Pile 10 - H10:D8"
"dbead42c-e406-4db2-8036-c1ce829d01c2","","pass","Photos (271 - 300)","checklist","FALSE","FALSE","Earthing","Zone 1B","Pile 10 - H10:D8","Photos (271-300)"
"ef6bfeb7-7c96-4963-9446-be0cfa1b4928","","not-started","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1B","Pile 10 - H10:D8","Test Sheets"
"2f8655e3-bd30-47aa-947a-71e3a93e4436","","work-in-progress","","folder","TRUE","FALSE","Earthing","Zone 1B","Pile 11 - H10:D9"
"2ac3c27e-b7a1-479d-98de-6b797de340a6","","pass","Photos (301 - 330)","checklist","FALSE","FALSE","Earthing","Zone 1B","Pile 11 - H10:D9","Photos (301-330)"
"ae6479d1-3c49-4e5f-8ac1-9e5dab515429","","not-started","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1B","Pile 11 - H10:D9","Test Sheets"
"2d38793f-f2b3-488b-b569-3f53987261f2","","no-status-started","Photo of Zone","checklist","FALSE","FALSE","Earthing","Zone 1B","Photo of Zone"
"413a5149-3053-4a94-a72c-21d952b65a68","","work-in-progress","","folder","TRUE","FALSE","Earthing","Zone 1C"
"156eed8b-dd3d-4702-8a65-48b78e341df0","","work-in-progress","","folder","TRUE","FALSE","Earthing","Zone 1C","Pile 12 - H8:D5"
"d7f61439-7b9f-4728-996f-60f04040a510","","pass","Photos (331 - 360)","checklist","FALSE","FALSE","Earthing","Zone 1C","Pile 12 - H8:D5","Photos (331-360)"
"66bc1c0f-da4c-41a6-a6e9-ed1f2c226281","","not-started","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1C","Pile 12 - H8:D5","Test Sheets"
"2ea73f61-af77-47de-ab20-c8076a42fd3e","","work-in-progress","","folder","TRUE","FALSE","Earthing","Zone 1C","Pile 13 - H8:D6"
"206849bd-d8cc-4d07-9d80-d832321ca72e","","pass","Photos (361 - 390)","checklist","FALSE","FALSE","Earthing","Zone 1C","Pile 13 - H8:D6","Photos (361-390)"
"89a545a3-e158-4f6a-91ac-beafc096a6f1","","not-started","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1C","Pile 13 - H8:D6","Test Sheets"
"06cf87cb-b079-48d7-b8f4-dc1eea2b97de","","work-in-progress","","folder","TRUE","FALSE","Earthing","Zone 1C","Pile 14 - H8:D7"
"752efc5a-75e2-4f9b-86aa-b5bb71ba2e01","","pass","Photos (391 - 420)","checklist","FALSE","FALSE","Earthing","Zone 1C","Pile 14 - H8:D7","Photos (391-420)"
"d89cfa88-134c-43d2-a033-9424724f0193","","not-started","Test Sheet Checklist","checklist","FALSE","FALSE","Earthing","Zone 1C","Pile 14 - H8:D7","Test Sheets"
