type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,ITP - Placement of Plant Mixed Foamed Bitumen,itp,,,,,ITP - Placement of Plant Mixed Foamed Bitumen,
section,Details,,,,,,,
checkpoint,Approval of Construction Procedure,,,,,,,
label,"Acceptance Criteria and Frequency - No stabilisation works shall be commenced until the construction procedure for the stabilisation works including all required compliance test results is acceptable to, and approved by, the Administrator.",,,,,,,
label,Reference - MRTS09 Clause 5.2.2,,,,,,,
label,Item Check - Hold Point 1,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,Compliance of Materials and Sources,,,,,,,
label,Acceptance Criteria and Frequency - No material shall be incorporated into the works unless it has been demonstrated to the Administrator’s satisfaction that all the material to be used in this Contract comply with all the requirements of this Technical Specification and the Contract.,,,,,,,
label,Reference - MRTS09 Clause 7.1,,,,,,,
label,Item Check - Hold Point 2,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,Construction Permitted to Proceed,,,,,,,
label,"Acceptance Criteria and Frequency - Prior to acceptance (Clause 9.10), manufacturing stabilised materials and construction of a stabilised layer shall not proceed until the Administrator is satisfied that the requirements covered by Clause 8.1 to Clause 8.9.5.5.3 have been adhered to by the Contractor.",,,,,,,
label,Reference - MRTS09 Clause 8,,,,,,,
label,Item Check - Hold Point 3,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,"Survey of Services, Utilities and Drainage",,,,,,,
label,"Acceptance Criteria and Frequency - A survey of the Site to determine the location and depth of services, utilities, buildings and drainage components shall be carried out prior to commencement of construction. Works shall not commence until the survey has been completed and a copy of the report provided to the Administrator.",,,,,,,
label,Reference - MRTS09 Clause 8.3,,,,,,,
label,Item Check - Hold Point 5,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,"Allowable Time for Placement, Compaction and Trimming",,,,,,,
label,"Acceptance Criteria and Frequency - The time after discharge from the truck within which placement, compaction and trimming of the stabilised layer shall be completed is the difference between the allowable working time (8 hours) and the allowable stockpile time (5 Hours).",,,,,,,
label,"○ The maximum allowable time for placement, compaction and trimming shall be 3 hours.",,,,,,,
label,Reference - MRTS09 Clause 8.5,,,,,,,
label,Item Check - Check and Verify,,,,,,,
checkpoint,Allowable Working Time,,,,,,,
label,"Acceptance Criteria and Frequency - The allowable working time is measured from the commencement of incorporation (i.e. mixing) of the foamed bitumen into the material to be stabilised, to the completion of compaction and trimming of the stabilised materials (excluding static multi-tyre rolling). ",,,,,,,
label,○ The maximum allowable working time is 8 hours.,,,,,,,
label,Reference - MRTS09 Clause 8.6,,,,,,,
label,Item Check - Check and Verify,,,,,,,
checkpoint,Preparation of Surface,,,,,,,
label,"Acceptance Criteria and Frequency - Where a stabilised layer is to be placed on the surface of a granular pavement or bituminous sealed pavement, the Contractor shall carry out the works detailed in this clause and Clause 8.8.9.3:",,,,,,,
label,"— Where a stabilised layer is to be laid over pavement with a bituminous surfacing, the bituminous surfacing shall be lightly scarified or pre-milled.",,,,,,,
label,"— The Contractor shall ensure the surface onto which a stabilised layer is to be constructed is well compacted, trimmed and prepared before material for the overlying stabilised layer is placed.",,,,,,,
label,— The prepared surface shall be swept with a road broom until the larger particles in the surface of the pavement are slightly exposed but ensuring excessive erosion of the surrounding finer material does not occur.,,,,,,,
label,Reference - MRTS09 Clause 8.8.9.1,,,,,,,
label,Item Check - Witness Point 3,,,,,,,
checkpoint,Subgrade Approval,,,,,,,
label,Acceptance Criteria and Frequency - Prior to placement of any bitumenous product the subgrade surface shall be proof rolled and show no deformation.,,,,,,,
textbox,Corresponding Subgrade Lot:,,,,,,,
label,Reference - Internal check,,,,,,,
label,Item Check - Check and Verify,,,,,,,
checkpoint,Layer Thickness,,,,,,,
label,"Acceptance Criteria and Frequency - Individual compacted layer thicknesses shall be chosen to suit the construction process and the requirements of the Contract. Unless otherwise approved by the Administrator, the compacted layer thicknesses shall be in accordance with Table 8.8.10",,,,,,,
label,○ Minimum thickness: 125mm,,,,,,,
label,○ Maximum thickness: 300mm,,,,,,,
label,Reference - MRTS09 Clause 8.8.10,,,,,,,
label,Item Check - Check and Verify,,,,,,,
checkpoint,Placement,,,,,,,
label,"Acceptance Criteria and Frequency - The stabilised material shall be produced, transferred and spread in one concurrent operation. The stabilised material will be spread with a grader, it shall be manned by a final trim operator. After placement, the layer shall be compacted and trimmed in accordance with this Technical Specification to produce a tight dense surface that has properties that are within the required tolerances.",,,,,,,
label,Reference - MRTS09 Clause 8.8.11,,,,,,,
label,Item Check - Check and Verify,,,,,,,
checkpoint,Compaction,,,,,,,
label,"Acceptance Criteria and Frequency - Compaction shall be completed within the allowable working time (refer to Clauses 8.4, 8.5 and 8.6). This shall be carried out using an appropriate roller(s) that is capable of achieving relatively uniform compaction over the depth of each stabilised layer. For a layer of 200mm the minimum roller requirements are a smooth drum roller with a multi-tyre",,,,,,,
label,Reference - MRTS09 Clause 8.8.12,,,,,,,
label,Item Check - Check and Verify,,,,,,,
checkpoint,Joining new work to existing Pavements and structures,,,,,,,
label,"Acceptance Criteria and Frequency - Existing pavements shall be excavated as shown or described in the drawings or Contract to provide a clean, vertical surface at the joint line against which the stabilised layer / material is to be placed, and the stabilised material shall be compacted so that the completed layer is neatly finished to match adjacent pavements and structures.",,,,,,,
label,Reference - MRTS09 Clause 8.8.16,,,,,,,
label,Item Check - Check and Verify,,,,,,,
checkpoint,Proof Roll of Final Surface,,,,,,,
label,"Acceptance Criteria and Frequency - Each stabilised layer shall be tested for perceptible surface deformation by ‘proof rolling’ the stabilised layer, in the presence of the Administrator and all areas of the stabilised layers shall be ‘proof rolled’, including all trafficked lanes, shoulders and other areas",,,,,,,
label,Reference - MRTS09 Clause 9.8.2,,,,,,,
label,Item Check - Witness Point 4,,,,,,,
checkpoint,Compaction Standard,,,,,,,
label,Acceptance Criteria and Frequency - The minimum characteristic value of the relative compaction results for the full thickness of the stabilised layer shall be 102% Standard Compaction,,,,,,,
label,Reference - MRTS09 Clause 8.9.4,,,,,,,
label,Item Check - Check and Verify,,,,,,,
checkpoint,Acceptance of Final Surface,,,,,,,
label,Acceptance Criteria and Frequency - No stabilised pavement lot shall be covered by a subsequent layer of pavement or by a surfacing until all compliance testing has been completed and the layer has been presented to the Administrator for permission to proceed,,,,,,,
label,Reference - MRTS09 Clause 9.8.3,,,,,,,
label,Item Check - Hold Point 10,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,Final Sign off and Approval - Conformance with the Specification,,,,,,,
textbox,Name of Cient's Representative,,,,,,,
date,Date,,,,,,,
textbox,Name of Contractor's Representative,,,,,,,
date,Date,,,,,,,
signoff,Signature,,,,,,,
section,Final Sign Offs (to be completed at closure of Lot),,,,,,,
checkpoint,Closure of Lot,,,,,,,
signoff,Closure of Lot Sign Off,,,,,,,
