"Id","Type","Name","Values","Prompting Name","Postfix","Usage Count","Resource Id"
,"checklist","02.01 - Traffic Management","itp","02.01 - Traffic Management",,1,"c053f43b-7645-4957-8e48-84bd21515ae6"
,"section","Details",,,,,
,"checkpoint","The Contractor's Nominated Traffic Officer submitted to the Administrator and meets the requirements as specified",,,,,
"1bc4b829-7190-57cf-a2e5-21fef27f038b","note","Acceptance Criteria & Frequency (Project Specific) - Written",,,,,
"85becad5-6e21-544e-820b-59bc06482d42","note","Check Item - Check Item",,,,,
"4fc48fc7-4186-5e70-98ee-fb156ec1452d","note","Reference - MRTS02.1 Cl5.2",,,,,
,"checkpoint","No traffic rearrangements shall be carried out until after the Administrator has advised the contractor that the Traffic Management Plan has been submitted and approved",,,,,
"83b20c19-eda4-5ec5-bec8-5d60bde9a663","note","Acceptance Criteria & Frequency (Project Specific) - Written Approval",,,,,
"80485ff5-a569-5884-ab8f-b5d6529e2991","note","Check Item - Hold Point 1",,,,,
"ddde38e2-265b-5490-9248-e506389d5fe0","note","Reference - MRTS02 Cl 5.3",,,,,
,"signoff","HOLD POINT",,,,,
,"checkpoint","All TGS's prepared by a suitably qualified person and submitted and approved by the Administrator",,,,,
"04beb202-f592-52a4-b4c5-c1bf9bddae98","note","Acceptance Criteria & Frequency (Project Specific) - Written Submission",,,,,
"98582cb2-28d6-5f23-bfdf-cc338d028e4b","note","Check Item - Hold Point 2",,,,,
"989c70da-5052-5bd6-89fd-16545444663f","note","Reference - MRTS02 Cl 6.2",,,,,
,"signoff","HOLD POINT",,,,,
,"checkpoint","Submission of Traffic Management Inspection Report",,,,,
"a434b92d-27c0-5a84-ab4a-05e6bfc69c00","note","Acceptance Criteria & Frequency (Project Specific) - Written",,,,,
"26729e5a-2778-5c57-8a6e-1b5ae72f1b89","note","Check Item - Milestone",,,,,
"0c414005-88d6-538c-8f72-615ea5305d87","note","Reference - MRTS02 Cl 7.5",,,,,
,"checkpoint","Final Verification",,,,,
"9a0c21bf-48de-5914-8fcc-f4f37554ed73","note","Project Manager Verify that the Above has been Constructed according to Specification",,,,,
"4ef3a448-fdf2-5e11-bbf9-00319b557e51","textbox","Print Name:",,,,,
"0611e85c-b866-5921-8fcb-cd9b4c024d8a","date","Date:",,,,,
"a70a9ba1-36de-511a-b4c8-0c0b227692e1","note","Client Verify that the Above has been Constructed according to Specification",,,,,
"8befa5ae-b5c4-54fa-b702-34f7947fdad6","textbox","Print Name:",,,,,
"76452ece-7b1b-53ff-94fa-1cd54117d8ea","date","Date:",,,,,
,"signoff","Sign ITP",,,,,
,"section","Final Sign Offs (to be completed at closure of Lot)",,,,,
,"checkpoint","Agreed Quantities",,,,,
,"signoff","Agreed Quantities Sign Off",,,,,
,"checkpoint","Closure of Lot",,,,,
,"signoff","Closure of Lot Sign Off",,,,,

,"checklist","03.01 - Removal of Existing Drainage Structures and Concrete Slabs","itp","03.01 - Removal of Existing Drainage Structures and Concrete Slabs",,0,"d36ca61b-8b6f-4823-855d-7a3f93ba3ce1"
,"section","Details",,,,,
,"checkpoint","Items to be salvaged identified in accordance with Annexure MRTS03.1 Cl. 2.1. Items to be removed without damage and stored at a location as nominated in MRTS03.1 Cl. 2.2.",,,,,
"ad08eef8-5fc3-53fe-8966-6b7ab916f004","note","Acceptance Criteria & Frequency (Project Specific) - Visual",,,,,
"f39b9653-f0e2-5c31-9a36-cb057e555045","note","Check Item - Check Item",,,,,
"29ee84c9-e04c-5056-92db-fda7e903448e","note","Reference - MRTS03.1",,,,,
,"checkpoint","Any Kerb and Channel or concrete slab to be removed is sawcut at removal extents or removed to existing joint (or removed in its entirety) where specified in the drawings and no damage shall occur to adjacent work",,,,,
"04089610-93f4-5c37-b1cf-9b49bb9942c3","note","Acceptance Criteria & Frequency (Project Specific) - Visual",,,,,
"9455e5fb-c004-5460-a905-1a51df08578d","note","Check Item - Check Item",,,,,
"93f1b6f9-9f49-509a-ab88-e9a088331120","note","Reference - MRTS03 Cl. 9.4",,,,,
,"checkpoint","Non Salvageable components, kerbs, gullies and access chambers removed or demolished as per drawings/specifications.",,,,,
"662bfbf5-7d6e-5dc4-b8c7-0f21cce768f1","note","Acceptance Criteria & Frequency (Project Specific) - Visual",,,,,
"6034c455-3f94-5e1e-94ce-901e654d0cbd","note","Check Item - Check Item",,,,,
"ed22f28e-4428-5de4-bcfe-4dc455bfd1b7","note","Reference - MRTS03 Cl. 9.2 & 9.5",,,,,
,"checkpoint","Excavations backfilled where shown on the drawings or required to leave the area in a safe and free draining state. Kerb excavations backfilled to flush with the surrounding area.",,,,,
"80356e77-d086-5907-b951-ca1329d03218","note","Acceptance Criteria & Frequency (Project Specific) - Visual",,,,,
"1f3de524-6890-5a65-ab4e-f89b0b4b9988","note","Check Item - Check Item",,,,,
"0824a729-236a-56f0-9728-e310cd4a8da4","note","Reference - MRTS03 Cl. 9.2 Cl. 9.4",,,,,
,"checkpoint","Final Verification",,,,,
"858fb8ae-4873-5d27-9c60-17cf6dc53521","note","Project Manager Verify that the Above has been Constructed according to Specification",,,,,
"18f005a6-4451-55e6-9312-daa8ac04f66f","textbox","Print Name:",,,,,
"e59649f5-826e-53ef-bc36-c787ae0207ea","date","Date:",,,,,
"46f05bab-79ff-543e-b2ea-ca2fbb1a591a","note","Client Verify that the Above has been Constructed according to Specification",,,,,
"059c7af5-4277-52e3-b8c4-6bbea9a796b6","textbox","Print Name:",,,,,
"bcbad750-361e-5daf-9b90-265a6bda8324","date","Date:",,,,,
,"signoff","Sign ITP",,,,,
,"section","Final Sign Offs (to be completed at closure of Lot)",,,,,
,"checkpoint","Agreed Quantities",,,,,
,"signoff","Agreed Quantities Sign Off",,,,,
,"checkpoint","Closure of Lot",,,,,
,"signoff","Closure of Lot Sign Off",,,,,

,"checklist","04.01 - Clear and Grub Stripping of Topsoil","itp","04.01 - Clear and Grub Stripping of Topsoil",,2,"e0fe55a6-9eac-4f01-a329-ec913df3fe4e"
,"section","Details",,,,,
,"checkpoint","Clearing limit plan prepared and approved by Prinicpal with boundary limits clearly marked",,,,,
"c48f5900-0689-5e09-8cca-3f5cc9f558b5","note","Acceptance Criteria & Frequency (Project Specific) - Visual",,,,,
"f10aa17c-58c1-5241-9ea3-498db2211cba","note","Check Item - Check Item",,,,,
"020656be-78ea-5480-b9b9-2a3f8f869dfa","note","Reference - MRTS04.1 Cl1.1, 1.2, 1.4 & MRTS51 Cl3.1, 3.3, 3.7",,,,,
,"checkpoint","Any trees, shrubs and overhanging branches to be left undisturbed shall be clearly marked prior to clearing operations reaching the area concerned.",,,,,
"db94fd30-d6bf-5b83-a7e8-7bd10cbfa7a1","note","Acceptance Criteria & Frequency (Project Specific) - Visual",,,,,
"7e054e4f-04b8-532a-9771-abe4b79ef99b","note","Check Item - Hold Point 1",,,,,
"3002f3f9-266b-5543-a218-642b24df00fb","note","Reference - MRTS04 Cl7.2.2",,,,,
,"signoff","HOLD POINT",,,,,
,"checkpoint","Marketable timber shall be clearly marked by contractor Prior to clearing. Marked trees felled and handled avoiding damage to the trunks. The trunks trimmed and stacked in neat manageable stockpiles approved by the Administrator at spacings of not more than 500 metres.",,,,,
"5fbf9305-21e4-59a8-a2b6-aa7552a5c57f","note","Acceptance Criteria & Frequency (Project Specific) - Visual",,,,,
"076bc22a-fb16-5b8f-92b0-6d35d20d3e45","note","Check Item - Hold Point 2",,,,,
"fbea8437-2a8b-507b-a65c-9b2a7790126f","note","Reference - MRTS04 Cl7.2.3",,,,,
,"signoff","HOLD POINT",,,,,
,"checkpoint","Material suitable for organic mulch shall be in accordance with MRTS16B Vegetation Ground Works",,,,,
"0030f327-8447-5ddd-9272-25c5420789e5","note","Acceptance Criteria & Frequency (Project Specific) - Visual, MRTS16B",,,,,
"45c1aae9-530e-5416-a765-1a208d8e603a","note","Check Item - Check Item",,,,,
"2024c403-a64d-54e4-a75d-cbc866b5f606","note","Reference - MRTS04 Cl7.2.4",,,,,
,"checkpoint","Hollow timber which is identified as being suitable for fauna habitat logs relocated to areas clear of construction activities",,,,,
"d624008e-1653-5462-bed3-5c2ed36bae53","note","Acceptance Criteria & Frequency (Project Specific) - Visual",,,,,
"1c003cf4-1128-5f24-bcc4-f3a9a0cf1e72","note","Check Item - Check Item",,,,,
"61320cb5-780a-52a5-a51e-db40eb3cc8d3","note","Reference - MRTS04 Cl7.2.5",,,,,
,"checkpoint","Topsoil stripped as required in Cl 2.1 of Annexure MRTS.04.01. Depth of excavation shall be specified in the Cl 2.1 of Annexure MRTS04.01 or as directed.",,,,,
"636f1682-e159-538d-ac74-a55375380cb4","note","Acceptance Criteria & Frequency (Project Specific) - Visual",,,,,
"ab68b10f-c317-59e2-9d1b-0f49f756ef40","note","Check Item - Check Item",,,,,
"f43f1e11-499c-5e0c-bbe2-049c10a1292d","note","Reference - MRTS04 Cl8.2",,,,,
,"checkpoint","Surplus material and material considered not suitable for use as planting media in accordance with Cl 8.3 shall be assessed for suitability for use as fill or deemed as unsuitable and disposed of in accordance with Cl 11",,,,,
"d8cc3b90-fce3-5671-ac72-51878ae608a9","note","Acceptance Criteria & Frequency (Project Specific) - Visual",,,,,
"035abdcd-786e-5f7c-afd0-4662aecc5f9b","note","Check Item - Check Item",,,,,
"3ea966b1-e601-54d2-84b0-b00cfec36444","note","Reference - MRTS04 Cl8.4.2",,,,,
,"checkpoint","Material not removed from within drip lines of trees except where this would result in unsuitable material being left beneath embankments. Root systems of existing plants to be retainined are preserved where practical.",,,,,
"ab3c100f-c6c5-5fef-9e81-891794a4231f","note","Acceptance Criteria & Frequency (Project Specific) - Visual",,,,,
"61746790-7158-5052-8f32-4f93736f295b","note","Check Item - Check Item",,,,,
"79e45256-95dd-5cce-960e-2c5fc66189e3","note","Reference - MRTS04 Cl8.4.3",,,,,
,"checkpoint","Stripped material shall be stockpiled in the locations shown on the drawings, as stated in Clause 2.2 of Annexure MRTS04.1",,,,,
"f0e6ae5e-9e25-569d-aa63-b9c480406a4f","note","Topsoil Stockpiles are;",,,,,
"8530e99c-ad45-5f20-b21f-638daf1366e2","note","○ Less than 3m High",,,,,
"ae2736bc-56b9-5f33-97d7-6de629040158","note","○ Less than 10m wide",,,,,
"ee0546a3-ed01-55e1-b57b-a2a936c9a92e","note","○ Appropriately battered, drained or otherwise protected to prevent erosion and segregation",,,,,
"8ee90b82-72bc-51e0-9e7f-0c43ab7d62cc","note","○ Stockpiled for the minimum duration",,,,,
"1c4df0b1-5444-502b-9f86-f7e82b3ae581","note","Acceptance Criteria & Frequency (Project Specific) - Visual",,,,,
"d73322fb-6ed9-5f1b-9443-fcecb5ab7a09","note","Check Item - Check Item",,,,,
"721d12fc-6bf7-53f6-9761-ab8c4e878d21","note","Reference - MRTS04 Cl8.4.4",,,,,
,"checkpoint","Quality Verification Requirements, Test Method",,,,,
"00982310-97fe-5cfb-8ef2-6134686b6008","note","Acceptance Criteria & Frequency (Project Specific) - Max. Lot Size, Min. Testing Frequency, Min. No. of Tests",,,,,
"204b7881-af0c-5d1c-b901-d6db824a48a3","note","Check Item - MRTS04",,,,,
"32a6ffa4-70bd-5efe-a313-a8287dca82d0","note","Reference - Table A1",,,,,
,"checkpoint","Geometrics, Clearance Limits",,,,,
"37cac557-22cb-57bc-a00d-49f4592d96e9","note","Acceptance Criteria & Frequency (Project Specific) - 1000m, 10m grid, 2 per lot",,,,,
"d46e4c63-0866-54e2-ae4e-c61cfb02d7ab","note","Check Item - Check Item",,,,,
"1ad6d4eb-3f11-586b-8a7f-c9c6c01fbd4b","note","Reference - MRTS04 Table A.2",,,,,
,"checkpoint","Geometrics, Vertical (Stripping of Topsoil only)",,,,,
"783a3654-96ab-5d54-b25f-372c623b4cf0","note","Acceptance Criteria & Frequency (Project Specific) - 1 test per 100m per side",,,,,
"1fee9741-9fd0-5e20-8a70-81f76fd9a4aa","note","Check Item - Check Item",,,,,
"53c1be1e-6fc0-5f0c-9aae-44a824f7c952","note","Reference - MRTS04 Table A.2",,,,,
,"checkpoint","Final Verification",,,,,
"32be7046-1665-5720-8851-8b622ef03b16","note","Project Manager Verify that the Above has been Constructed according to Specification",,,,,
"19d2243e-aec7-5fb7-8f4e-8420dc69569c","textbox","Print Name:",,,,,
"29737577-4326-56a7-9833-2cb6cb2166dd","date","Date:",,,,,
"ccf126cb-d317-5b30-ab40-205d0858688c","note","Client Verify that the Above has been Constructed according to Specification",,,,,
"349b0619-4235-5a5f-836f-9121085e3104","textbox","Print Name:",,,,,
"20fecf5c-e02e-5df5-960a-5ffb7daf6f10","date","Date:",,,,,
,"signoff","Sign ITP",,,,,
,"section","Final Sign Offs (to be completed at closure of Lot)",,,,,
,"checkpoint","Agreed Quantities",,,,,
,"signoff","Agreed Quantities Sign Off",,,,,
,"checkpoint","Closure of Lot",,,,,
,"signoff","Closure of Lot Sign Off",,,,,

,"checklist","04.06 - General Excavation","itp","04.06 - General Excavation",,2,"fec2d04e-d059-4e4a-a00f-091e5b3e0b77"
,"section","Details",,,,,
,"checkpoint","Where Unsuitable Material (in accordance with the provisions of Cl. 9.2) or potentially unsuitable Material is encountered on site the contactor shall, before proceeding with removal, shall notify the Administrator. Once Identified the Unsuitable material shall be removed and disposed of in accordance with the provisions of Cl. 9.3 and CL11.3",,,,,
