type,name,values,prefix,postfix,usage count,user addable,template name
checklist,ITP - CONOC Construction (SH01 Braeside Culvert Replacement) - SH01 Braeside RS 0720 RB/1.020,itp,,,,,ITP - CONOC Construction (SH01 Braeside Culvert Replacement) - SH01 Braeside RS 0720 RB/1.020
section,1 - Preliminary and General,,,,,,
checkpoint,1.1 - Construction Programme Completion,,,,,,
label,Controlled By : (Position) - Project Manager,,,,,,
label,Accept / Reject Criteria - Construction Completion will be the lesser of the completion date according to the pavement classificaiton risk profile (documented in the contract specific MMP) or the contract completion date.,,,,,,
label,Frequency Of Inspection Or Test - Confirmation/Before work commences,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - Best Practice Contract Specific MMP",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - W,,,,,,
checkpoint,1.2 - Approved RQP,,,,,,
label,Controlled By : (Position) - NZTA Maintenance Contact Manager,,,,,,
label,Accept / Reject Criteria - Principal Acceptance according to guidelines in appendix 6.3,,,,,,
label,Frequency Of Inspection Or Test - Confirmation/Before work commences,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - Contract Specification",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
label,DESCRIPTION - Hold point - No physical work is to be commenced on site until notification has been sent  no later than 24 hours of establishing on site.,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,1.3 - Traffic Management (TMP),,,,,,
label,Controlled By : (Position) - Project Manager,,,,,,
label,"Accept / Reject Criteria - TMP checked and approved, Plans approved, Current EED (if applicable)",,,,,,
label,Frequency Of Inspection Or Test - Visual Check/Before traffic management set up,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - CoPTTM",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
label,DESCRIPTION - Hold point - No traffic management is to be set up until TMP has been checked and approved,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,1.4 - Notification of intention to start work,,,,,,
label,Controlled By : (Position) - Project Manager,,,,,,
label,"Accept / Reject Criteria - Letter drop to local residents. Where required and defined by SWAMP, VMS, social media/media advertising",,,,,,
label,Frequency Of Inspection Or Test - Notification/Before work commences,,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
label,DESCRIPTION - Hold point - No physical work is to be commenced on site until notification has been sent  no later than 24 hours of establishing on site.,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
section,2 - Set-Out/Site Preparation,,,,,,
checkpoint,2.1 - Setout,,,,,,
label,Controlled By : (Position) - Project Manager,,,,,,
label,Frequency Of Inspection Or Test - Survey/Pre-Installation,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - Best Practice",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - W,,,,,,
checkpoint,2.2 - Permit to dig/Authority to Work/close approach permits,,,,,,
label,Controlled By : (Position) - Construction Foreman,,,,,,
label,Accept / Reject Criteria - Organisational approval,,,,,,
label,Frequency Of Inspection Or Test - Permit Approved/Before work commences,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - Downer Permit to work or Equvilent",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
label,DESCRIPTION - Hold point - No excavation is to be commenced until approvals are gained,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,2.3 - Cultural/Heritage Risk Assessment,,,,,,
label,Controlled By : (Position) - Project Manager,,,,,,
label,Accept / Reject Criteria - Local iwi has been notified of intent to start work,,,,,,
label,Frequency Of Inspection Or Test - Notification/Before work commences,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - WK Cultural & Heritage Risk Model",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,2.4 - Archaeological Risk,,,,,,
label,Controlled By : (Position) - Project Manager,,,,,,
label,Accept / Reject Criteria - Toolbox meeting held covering accidental discovery protocol,,,,,,
label,Frequency Of Inspection Or Test - Toolbox meeting/Before work commences,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - WK Cultural & Heritage Risk Model",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
label,DESCRIPTION - Hold point - No excavation is to be commenced until toolbox meeting is held,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,2.5 - Traffic Management Setup,,,,,,
label,Controlled By : (Position) - Construction Foreman / STMS,,,,,,
label,Accept / Reject Criteria - Traffic management complies with TMP,,,,,,
label,Frequency Of Inspection Or Test - Visual Check/Before work commences each day,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - Traffic Management Plan",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
label,DESCRIPTION - Hold point - No physical works are to be commenced until necessary traffic management is in place,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,2.6 - Site Setout,,,,,,
label,Controlled By : (Position) - Construction Foreman,,,,,,
label,Accept / Reject Criteria - Verification of survey control points and setup,,,,,,
label,Frequency Of Inspection Or Test - Measurement/Before Excavation,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - On Site",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
label,DESCRIPTION - Hold point - Survey set-up accuracy to be verified with aid of surveyor or specialist,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,2.7 - Prepare String Sheet (Digital),,,,,,
label,Controlled By : (Position) - Project Manager,,,,,,
label,Accept / Reject Criteria - Digital design set-out data is consistent with existing formation,,,,,,
label,Frequency Of Inspection Or Test - Measurement/Before using machine control,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - On Site",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
label,DESCRIPTION - Hold point - Design accuracy to be verified prior to undertaking work,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
section,3.1 - Earthwork and Stripping,,,,,,
checkpoint,3.1.1 - Cut/Excavation,,,,,,
label,Controlled By : (Position) - Project Manager,,,,,,
label,Accept / Reject Criteria - Meets design drawings of cross-sectional extent,,,,,,
label,"Frequency Of Inspection Or Test - Measurement/Tape measure from set-out or existing CL, as per design",,,,,,
label,"Spec. Ref, Procedure Or Method Statement - On Site",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
label,DESCRIPTION - Hold point - Excavation width needs to be checked against the design cross-sections to ensure correctness,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
section,3.2 - Drainage Structures,,,,,,
checkpoint,3.2.1 - HW B-01,,,,,,
label,Controlled By : (Position) - Project Manager,,,,,,
label,"Accept / Reject Criteria - Survey setout location, measure invert depth, As per design drawings and/or NZTA F/2 Specification (if required or specified)",,,,,,
label,Frequency Of Inspection Or Test - Meaasurement/During construction,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - NZS2566.2 & TNZ F2",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
label,DESCRIPTION - Hold point - Design accuracy to be verified prior to undertaking work,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,3.2.2 - HW B-02,,,,,,
label,Controlled By : (Position) - Project Manager,,,,,,
label,"Accept / Reject Criteria - Survey setout location, measure invert depth, As per design drawings and/or NZTA F/2 Specification (if required or specified)",,,,,,
label,Frequency Of Inspection Or Test - Meaasurement/During construction,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - NZS2566.2 & TNZ F2",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
label,DESCRIPTION - Hold point - Design accuracy to be verified prior to undertaking work,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,3.2.3 - HW B-03,,,,,,
label,Controlled By : (Position) - Project Manager,,,,,,
label,"Accept / Reject Criteria - Survey setout location, measure invert depth, As per design drawings and/or NZTA F/2 Specification (if required or specified)",,,,,,
label,Frequency Of Inspection Or Test - Meaasurement/During construction,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - NZS2566.2 & TNZ F2",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
label,DESCRIPTION - Hold point - Design accuracy to be verified prior to undertaking work,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,3.2.4 - HW B-07,,,,,,
label,Controlled By : (Position) - Project Manager,,,,,,
label,"Accept / Reject Criteria - Survey setout location, measure invert depth, As per design drawings and/or NZTA F/2 Specification (if required or specified)",,,,,,
label,Frequency Of Inspection Or Test - Meaasurement/During construction,,,,,,
label,"Spec. Ref, Procedure Or Method Statement - NZS2566.2 & TNZ F2",,,,,,
label,Records Required - YES,,,,,,
label,DOWNER ENGINEER - H,,,,,,
