type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Watermain Details,,,,,,,
section,Details,,,,,,,
checkpoint,Detail 1,,,,,,,
note,Photo to show connection including thrust blocks,,,,,,,
checkpoint,Detail 2,,,,,,,
note,Photo to show connection including thrust blocks,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,Wastewater Details,,,,,,,
section,Details,,,,,,,
checkpoint,Detail 1,,,,,,,
note,Photo to show cut off walls,,,,,,,
checkpoint,Detail 2,,,,,,,
note,Photo(s) to show trench drainage,,,,,,,
checkpoint,Detail 3,,,,,,,
note,Photo(s) to show any wyes (with location marker),,,,,,,
checkpoint,Detail 4,,,,,,,
note,Photo(s) to show any service crossings (with depth and location marker),,,,,,,
,,,,,,,,
,,,,,,,,
checklist,Stormwater Details,,,,,,,
section,Details,,,,,,,
checkpoint,Detail 1,,,,,,,
note,Photo(s) to show mudtank (SMT-01) connection,,,,,,,
checkpoint,Detail 2,,,,,,,
note,Photo(s) to show mudtank (SMT-02) connection,,,,,,,
checkpoint,Detail 3,,,,,,,
note,Photo(s) to show any wyes (with location marker),,,,,,,
checkpoint,Detail 4,,,,,,,
note,Photo(s) to show any service crossings (with depth and location marker),,,,,,,
