Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Overall Progress,,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,Stormwater,dynamic,Site QA,Stormwater,,
,,Wastewater,dynamic,Site QA,Wastewater,,
,,Watermain,dynamic,Site QA,Watermain,,
,,Earthworks - Area 1 - Area 1A (CH1590-1730),dynamic,Site QA,Earthworks,Area 1,Area 1A (CH1590-1730)
,,Earthworks - Area 1 - Area 1C,dynamic,Site QA,Earthworks,Area 1,Area 1C
,,Earthworks - Area 1 - Area 1B,dynamic,Site QA,Earthworks,Area 1,Area 1B
,,Earthworks - Area 2,dynamic,Site QA,Earthworks,Area 2,
,,Earthworks - Area 3,dynamic,Site QA,Earthworks,Area 3,
,,Earthworks - Peacockes Road,dynamic,Site QA,Earthworks,Peacockes Road,
,,Pavement - Area 1 (CH1590-1730),dynamic,Site QA,Pavement,Area 1 (CH1590-1730),
,,Pavement - Area 2,dynamic,Site QA,Pavement,Area 2,
,,Pavement - Area 3,dynamic,Site QA,Pavement,Area 3,
,,Pavement - Peacockes Road,dynamic,Site QA,Pavement,Peacockes Road,
,,Surfacing - Area 1,dynamic,Site QA,Surfacing,Area 1,
,,Surfacing - Area 2,dynamic,Site QA,Surfacing,Area 2,
,,Surfacing - Area 3,dynamic,Site QA,Surfacing,Area 3,
,,Surfacing - Peacockes Road,dynamic,Site QA,Surfacing,Peacockes Road,
,,Street Lighting - Area 1,dynamic,Site QA,Street Lighting,Area 1,
,,Street Lighting - Area 2,dynamic,Site QA,Street Lighting,Area 2,
,,Street Lighting - Area 3,dynamic,Site QA,Street Lighting,Area 3,
,,Street Lighting - Peacockes Road,dynamic,Site QA,Street Lighting,Peacockes Road,
,,Traffic Signals - Whatakooruru Drive/Peacockes Road,dynamic,Site QA,Traffic Signals,Whatakooruru Drive/ Peacockes Road,
,,Traffic Signals - Whatakooruru Drive/RS05,dynamic,Site QA,Traffic Signals,Whatakooruru Drive/ RS05,
,,Traffic Signals - Whatakooruru Drive/RS06,dynamic,Site QA,Traffic Signals,Whatakooruru Drive/ RS06,
,,Traffic Signals - Peacockes Road/RS21,dynamic,Site QA,Traffic Signals,Peacockes Road/ RS21,
,,Traffic Signals - Peacockes Road/RS22,dynamic,Site QA,Traffic Signals,Peacockes Road/ RS22,
,,"Barriers, Signs and Markings - Area 1",dynamic,Site QA,"Barriers, Signs and Markings",Area 1,
,,"Barriers, Signs and Markings - Area 2",dynamic,Site QA,"Barriers, Signs and Markings",Area 2,
,,"Barriers, Signs and Markings - Area 3",dynamic,Site QA,"Barriers, Signs and Markings",Area 3,
,,"Barriers, Signs and Markings - Peacockes Road",dynamic,Site QA,"Barriers, Signs and Markings",Peacockes Road,
,,Eastern Gully Bridge - Retaining Wall - Abutment A,dynamic,Site QA,Eastern Gully Bridge,Retaining Wall,Abutment A
,,Eastern Gully Bridge - Retaining Wall - Abutment D,dynamic,Site QA,Eastern Gully Bridge,Retaining Wall,Abutment D
,,Eastern Gully Bridge - Piling,dynamic,Site QA,Eastern Gully Bridge,Piling,
,,Eastern Gully Bridge - Columns,dynamic,Site QA,Eastern Gully Bridge,Columns,
,,Eastern Gully Bridge - Crossheads,dynamic,Site QA,Eastern Gully Bridge,Crossheads,
,,Eastern Gully Bridge - Precast Bridge Beams,dynamic,Site QA,Eastern Gully Bridge,Precast Bridge Beams,
,,Eastern Gully Bridge - Settlement Slabs,dynamic,Site QA,Eastern Gully Bridge,Settlement Slabs,
,,Eastern Gully Bridge - Bridge Deck & Crosshead,dynamic,Site QA,Eastern Gully Bridge,Bridge Deck & Crosshead,
,,Eastern Gully Bridge - Bridge Barriers,dynamic,Site QA,Eastern Gully Bridge,Bridge Barriers,
,,Eastern Gully Bridge - Bridge Services,dynamic,Site QA,Eastern Gully Bridge,Bridge Services,
,,Mangakootukutuku Bridge - Retaining Wall - Abutment A,dynamic,Site QA,Mangakootukutuku Bridge,Retaining Wall,Abutment A
,,Mangakootukutuku Bridge - Retaining Wall - Abutment D,dynamic,Site QA,Mangakootukutuku Bridge,Retaining Wall,Abutment D
,,Mangakootukutuku Bridge - Piling,dynamic,Site QA,Eastern Gully Bridge,Piling,
,,Mangakootukutuku Bridge - Columns,dynamic,Site QA,Eastern Gully Bridge,Columns,
,,Mangakootukutuku Bridge - Crossheads,dynamic,Site QA,Eastern Gully Bridge,Crossheads,
,,Mangakootukutuku Bridge - Precast Bridge Beams,dynamic,Site QA,Eastern Gully Bridge,Precast Bridge Beams,
,,Mangakootukutuku Bridge - Settlement Slabs,dynamic,Site QA,Eastern Gully Bridge,Settlement Slabs,
,,Mangakootukutuku Bridge - Bridge Deck & Crosshead,dynamic,Site QA,Eastern Gully Bridge,Bridge Deck & Crosshead,
,,Mangakootukutuku Bridge - Bridge Barriers,dynamic,Site QA,Eastern Gully Bridge,Bridge Barriers,
,,Mangakootukutuku Bridge - Bridge Services,dynamic,Site QA,Eastern Gully Bridge,Bridge Services,
,Columns,,,,,,
,,QA,,Site QA,,,
