"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9fb3c1b1-c2c6-4a95-a1d0-4aeee55c937b","","work-in-progress","","folder","TRUE","FALSE","SP1"
"68aec99f-83a2-43e1-bb94-869d2a0bf106","","work-in-progress","","folder","TRUE","FALSE","SP1","Zone 1 North"
"08cb54d1-f029-442c-802e-c6bea84c9211","","work-in-progress","DN1210-003 ITP Earthworks Rev IFC5","checklist","FALSE","FALSE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A"
"a3472f0f-41b8-5d04-b58f-ccdddd5f6c88","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae","section","FALSE","FALSE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS"
"ee5bea44-da48-57fe-b4c2-0e67b64de550","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:fa40f6b3-5282-5e90-aaa6-c7c2328827d1","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.1.1 - Earthworks Methodology"
"70877d35-6e11-5cb4-9d19-571728203762","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:fa40f6b3-5282-5e90-aaa6-c7c2328827d1:0810d078-72c3-5cc9-b875-7cd778a6935d","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"1856b4d7-c752-5bca-8170-dae092130bb4","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:f4cd2823-6ed1-52de-8392-a796d0472357","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.1.2 - Ecology Sign Off"
"f550010e-5240-5fa7-b224-7e2875c33778","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:efd14769-e8c6-51fc-8d27-f504bf699318","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.1.3 - Erosion & Sedimentation Controls"
"d56d3aec-7fb3-5a91-8f85-967a26871801","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:0d87e467-4cb2-552a-ac73-f66d3a3d9150","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.2.1 - Weathering Resistance"
"fc0cca46-d2ad-54ca-9a56-24ca8cfd9f5c","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:0d87e467-4cb2-552a-ac73-f66d3a3d9150:b743bb5e-1c16-53b6-b8bc-16628422b606","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"b24944e6-9bed-50a7-b2d2-a5b4551c16a2","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:084e82bd-1f23-51d2-8dc8-d681090cbe21","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.2.2 - Los Angeles Abrasion Test"
"2ff4a87e-bab4-5c7f-8543-62a0a2409e49","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:084e82bd-1f23-51d2-8dc8-d681090cbe21:8bc26f80-2039-56bd-bb37-e46ffc1c9fe7","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"4ee514d3-e4b4-5b16-88f0-a04ffc0f74f3","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:d93131df-e262-5431-b317-9d9d9006e3ee","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.2.3 - Particle Size Distribution"
"b6a01a6a-67ab-5d78-bde8-12c881d8fdc0","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:d93131df-e262-5431-b317-9d9d9006e3ee:cfc336bd-ca9a-5b9e-abd3-a9fa9f2c427e","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
