type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,DN1210-SP2-015 ITP Acoustic Improvements,itp,,,,,DN1210-SP2-015 ITP Acoustic Improvements Rev 0,
section,"SECTION 3 – PRE-CONSTRUCTION - MATERIAL, PERSONELL & THIRD PARTY APPROVALS",,,,,,,
checkpoint,Pre-Construction Surveys,,,,,,,
label,Detail - Photographic record and inspection of existing property conditions prior to the commencement of works.,,,,,,,
label,Acceptance / Conformance Criteria - Building Report,,,,,,,
label,Standard / Specification - PS 2.9,,,,,,,
label,Verifying Document - Building Report,,,,,,,
label,Testing Quantity Required (based from schedule qtys) - Prior to commencement of works,,,,,,,
label,Verification Activity: Activity - ENG,,,,,,,
label,Verification Activity: By - HP,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,Omega Windows & Doors,,,,,,,
label,Detail - Product specifications to meet the requirements of WSP's acoustic survey of each property.,,,,,,,
label,Acceptance / Conformance Criteria - Engineer's Approval,,,,,,,
label,Standard / Specification - Signed LTOs & Acoustic Property Surveys,,,,,,,
label,Verifying Document - Manufacturer's data sheet and Engineers approval,,,,,,,
label,Testing Quantity Required (based from schedule qtys) - Prior to commencement of works,,,,,,,
label,Verification Activity: Activity - ENG,,,,,,,
label,Verification Activity: By - HP,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,Kiwi Double Glazing,,,,,,,
label,Detail - Product specifications to meet the requirements of WSP's acoustic survey of each property.,,,,,,,
label,Acceptance / Conformance Criteria - Engineer's Approval,,,,,,,
label,Standard / Specification - Signed LTOs & Acoustic Property Surveys,,,,,,,
label,Verifying Document - Manufacturer's data sheet and Engineers approval,,,,,,,
label,Testing Quantity Required (based from schedule qtys) - Prior to commencement of works,,,,,,,
label,Verification Activity: Activity - ENG,,,,,,,
label,Verification Activity: By - HP,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,DVS Ventilation,,,,,,,
label,Detail - Product specifications to meet the requirements of WSP's acoustic survey of each property.,,,,,,,
label,Acceptance / Conformance Criteria - Engineer's Approval,,,,,,,
label,Standard / Specification - Signed LTOs & Acoustic Property Surveys,,,,,,,
label,Verifying Document - Manufacturer's data sheet and Engineers approval,,,,,,,
label,Testing Quantity Required (based from schedule qtys) - Prior to commencement of works,,,,,,,
label,Verification Activity: Activity - ENG,,,,,,,
label,Verification Activity: By - HP,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
section,SECTION 4 – POST CONSTRUCTION (HANDOVER),,,,,,,
checkpoint,QA Check list,,,,,,,
label,"Detail - QA checklist covering the extents of all the work including the openings of windows & doors, new doors & windows, double glazing installation, ventilation system, installation & painting.",,,,,,,
label,Acceptance / Conformance Criteria - All the scope of works stated in the signed LTO's of each residential property will be visually inspected.,,,,,,,
label,Standard / Specification - Signed LTOs & Acoustic Property Surveys,,,,,,,
label,"Verifying Document - QA checklist, Visual Inspection",,,,,,,
label,"Testing Quantity Required (based from schedule qtys) - Pre-construction, During construction, Post- construction",,,,,,,
label,Verification Activity: Activity - WP,,,,,,,
label,Verification Activity: By - SE,,,,,,,
checkpoint,Client Final Inspection - the signature below verifies that this ITP has been completed in accordance with the Specifications and verifies lot compliance.,,,,,,,
textbox,Contractor's Rep Name:,,,,,,,
textbox,Engineer's Rep. Name:,,,,,,,
date,Date:,,,,,,,
signoff,Add Signature,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,DN1210-SP2-019 ITP Wetlands 02 Earthworks,itp,,,,,DN1210-SP2-019 ITP Wetlands 02 Earthworks Rev 1,
section,"SECTION 1 – PRE-CONSTRUCTION HOLD POINTS - MATERIALS, PERSONELL & THIRD PARTY APPROVALS",,,,,,,
checkpoint,1.1.1 - Earthworks Methodology,,,,,,,
label,"Detail - The Contractor shall submit the construction and QA methodology, for each element of Earthworks, incl construction, Site Access, dewatering, wet weather, testing, inspection and hold points for review and approval prior to works.",,,,,,,
label,Acceptance / Conformance Criteria - Engineers Approval,,,,,,,
