resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,AC-02B,,,,,,,,
AC Ducted Unit Rough In,checklist,,,,Rough In,,,,,,,
AC Ducted Unit Pipework & Drains,checklist,,,,Pipework & Drains,,,,,,,
AC Ducted Unit Ductwork,checklist,,,,Ductwork,,,,,,,
AC Ducted Unit Flex & Cushion Boxes,checklist,,,,Flex & Cushion Boxes,,,,,,,
AC Ducted Unit Fit Off,checklist,,,,Fit Off,,,,,,,
AC Ducted Unit Commissioning,checklist,,,,Commissioning,,,,,,,
,step,,,AC-10A,,,,,,,,
AC Ducted Unit Rough In,checklist,,,,Rough In,,,,,,,
AC Ducted Unit Pipework & Drains,checklist,,,,Pipework & Drains,,,,,,,
AC Ducted Unit Ductwork,checklist,,,,Ductwork,,,,,,,
AC Ducted Unit Flex & Cushion Boxes,checklist,,,,Flex & Cushion Boxes,,,,,,,
AC Ducted Unit Fit Off,checklist,,,,Fit Off,,,,,,,
AC Ducted Unit Commissioning,checklist,,,,Commissioning,,,,,,,
,step,,,AC-10B,,,,,,,,
AC Ducted Unit Rough In,checklist,,,,Rough In,,,,,,,
AC Ducted Unit Pipework & Drains,checklist,,,,Pipework & Drains,,,,,,,
AC Ducted Unit Ductwork,checklist,,,,Ductwork,,,,,,,
AC Ducted Unit Flex & Cushion Boxes,checklist,,,,Flex & Cushion Boxes,,,,,,,
AC Ducted Unit Fit Off,checklist,,,,Fit Off,,,,,,,
AC Ducted Unit Commissioning,checklist,,,,Commissioning,,,,,,,
,step,,,AC-10C,,,,,,,,
AC Ducted Unit Rough In,checklist,,,,Rough In,,,,,,,
AC Ducted Unit Pipework & Drains,checklist,,,,Pipework & Drains,,,,,,,
AC Ducted Unit Ductwork,checklist,,,,Ductwork,,,,,,,
AC Ducted Unit Flex & Cushion Boxes,checklist,,,,Flex & Cushion Boxes,,,,,,,
AC Ducted Unit Fit Off,checklist,,,,Fit Off,,,,,,,
AC Ducted Unit Commissioning,checklist,,,,Commissioning,,,,,,,
