Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Overall Progress,,,,,,,,
,Scope,,,QA,,,,
,Rows,,,,,,,
,,Building A - M101 - Hi Wall Units - CU-1,dynamic,QA,Building A,M101,Hi Wall Units,CU-1
,,Building A - M101 - Hi Wall Units - CU-2,dynamic,QA,Building A,M101,Hi Wall Units,CU-2
,,Building A - M101 - Hi Wall Units - CU-3,dynamic,QA,Building A,M101,Hi Wall Units,CU-3
,,Building A - M101 - Hi Wall Units - CU-4,dynamic,QA,Building A,M101,Hi Wall Units,CU-4
,,Building A - M101 - Hi Wall Units - CU-5,dynamic,QA,Building A,M101,Hi Wall Units,CU-5
,,Building A - M101 - Hi Wall Units - CU-6,dynamic,QA,Building A,M101,Hi Wall Units,CU-6
,,Building A - M101 - Hi Wall Units - CU-7,dynamic,QA,Building A,M101,Hi Wall Units,CU-7
,,Building A - M101 - Hi Wall Units - CU-8,dynamic,QA,Building A,M101,Hi Wall Units,CU-8
,,Building A - M101 - Hi Wall Units - CU-9,dynamic,QA,Building A,M101,Hi Wall Units,CU-9
,,Building A - M101 - Hi Wall Units - CU-10,dynamic,QA,Building A,M101,Hi Wall Units,CU-10
,,Building A - M101 - Hi Wall Units - CU-28,dynamic,QA,Building A,M101,Hi Wall Units,CU-28
,,Building A - M101 - Hi Wall Units - CU-29,dynamic,QA,Building A,M101,Hi Wall Units,CU-29
,,Building A - M101 - Hi Wall Units - CU-30,dynamic,QA,Building A,M101,Hi Wall Units,CU-30
,,Building A - M101 - Hi Wall Units - CU-31,dynamic,QA,Building A,M101,Hi Wall Units,CU-31
,,Building A - M101 - Hi Wall Units - CU-32,dynamic,QA,Building A,M101,Hi Wall Units,CU-32
,,Building A - M101 - Hi Wall Units - CU-COMMS,dynamic,QA,Building A,M101,Hi Wall Units,CU-COMMS
,,Building A - M101 - Fans / RC - Fan,dynamic,QA,Building A,M101,Fans / Rc,Fan
,,Building A - M101 - Fans / RC - RC,dynamic,QA,Building A,M101,Fans / Rc,RC
,,Building A - M102 - Hi Wall Units - CU-11,dynamic,QA,Building A,M102,Hi Wall Units,CU-11
,,Building A - M102 - Hi Wall Units - CU-12,dynamic,QA,Building A,M102,Hi Wall Units,CU-12
,,Building A - M102 - Hi Wall Units - CU-13,dynamic,QA,Building A,M102,Hi Wall Units,CU-13
,,Building A - M102 - Hi Wall Units - CU-14,dynamic,QA,Building A,M102,Hi Wall Units,CU-14
,,Building A - M102 - Hi Wall Units - CU-15,dynamic,QA,Building A,M102,Hi Wall Units,CU-15
,,Building A - M102 - Hi Wall Units - CU-16,dynamic,QA,Building A,M102,Hi Wall Units,CU-16
,,Building A - M102 - Hi Wall Units - CU-17,dynamic,QA,Building A,M102,Hi Wall Units,CU-17
,,Building A - M102 - Hi Wall Units - CU-18,dynamic,QA,Building A,M102,Hi Wall Units,CU-18
,,Building A - M102 - Hi Wall Units - CU-19,dynamic,QA,Building A,M102,Hi Wall Units,CU-19
,,Building A - M102 - Hi Wall Units - CU-20,dynamic,QA,Building A,M102,Hi Wall Units,CU-20
