resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Builders Works & Site Issues,,,,,,,,
1. Builders Works & Site Issues,checklist,,,,Builders Works & Site Issues,,,,,,,
3. Drafting & Design Issues,checklist,,,Drafting & Design Issues,,,,,,,,
Defect,checklist,,,Defects ,,,,,,,,
,step,,,AS Built Markups,,,,,,,,
4. As Built Markups,checklist,,,,As Built Markups,,,,,,,
Installation Overview,checklist,,,Installation progress ,,,,,,,,
Delivery Docket,checklist,,,Delivery Dockets,,,,,,,,
,step,,,QA,,,,,,,,
,step,,,,Ground ,,,,,,,
,step,,,,,Stand Alone (Comms),,,,,,
,step,,,,,,Hi Wall ,,,,,
,step,,,,,,,AC-G-IT.1,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC Outdoor unit (Stand Alone) Fit Off,checklist,,,,,,,,AC Outdoor unit (Stand Alone) Fit Off,,,
,step,,,,,,,AC-G-IT.2,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC Outdoor unit (Stand Alone) Fit Off,checklist,,,,,,,,AC Outdoor unit (Stand Alone) Fit Off,,,
,step,,,,,,,AC-G-IT.3,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC Outdoor unit (Stand Alone) Fit Off,checklist,,,,,,,,AC Outdoor unit (Stand Alone) Fit Off,,,
,step,,,,,,,AC-GS,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC Outdoor unit (Stand Alone) Fit Off,checklist,,,,,,,,AC Outdoor unit (Stand Alone) Fit Off,,,
,step,,,,,CU-G.1,,,,,,
,step,,,,,,Hi Wall ,,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-1.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-1.2,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-1.3,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-1.4,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-1.5,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-1.6,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-1.7,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-1.8,,,,
