type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,ITR-E-58 CCTV,,,,,,,
section,Details,,,,,,,
checkpoint,CCTV,,,,,,,
button,"Visually inspect the camera housing, junction boxes & associated equipment for mechanical integrity","Yes, N/A",,,,,,
button,Confirm equipment & cabling installation is as per design,"Yes, N/A",,,,,,
textbox,Record serial numbers of camera stations:,,,,,,,
textbox,Record serial numbers of monitoring and control equipment:,,,,,,,
textbox,Record insulation resistance between power line & earth ,,Ω,,,,,
textbox,Record continuity of main earth Of equipment earth,,Ω,,,,,
button,Confirm blank panels area fitted where required,"Yes, N/A",,,,,,
button,Confirm the camera station address matches with that shown on the housing,"Yes, N/A",,,,,,
signoff,Installed by:,,,,,,,
