"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f90ea6d1-5a4c-4651-9cbb-34238377e743","","pass","","folder","TRUE","FALSE","Wiri 1 - Hydrogen filling station"
"5164abd4-3b58-424b-af7a-0018fe4c2cbc","","pass","","folder","TRUE","FALSE","Wiri 1 - Hydrogen filling station","Earthing"
"575e6382-b2d7-4101-acc4-cdb48b651617","","pass","","folder","TRUE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs"
"56645dbe-972d-41b5-a88a-86eaec3c9a5c","","pass","Earth Pegs","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #1"
"632431fb-1806-4fa4-b516-7edbeff00102","","pass","Earth Pegs","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #2"
"c1a555f1-6f8b-4668-a969-df20a0b0323c","","pass","Earth Pegs","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #3"
"4bc62ad7-d5d2-4e6b-a726-513fb9137c03","","pass","Earth Pegs","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #4"
"8b770899-7ebb-4706-a742-11cc7e7dc72c","","pass","Earth Pegs","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #5"
"df604f1a-6331-4eb8-a6a8-1f0b1267bdee","","pass","Earth Pegs","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #6"
"28472051-4585-47b8-a95f-bca486158766","","pass","Earth Pegs","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #7"
"417a3241-2d4b-4db9-ad8b-81196a2134fd","","pass","Earth Pegs","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #8"
"6e2f64fe-9777-4d49-a2fd-3287985f710e","","no-status-started","As-Built Drawings","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","As-Built Drawings Earth pegs numbered"
"5a4fe931-454c-4b52-9734-e59c5f4bd9d3","","pass","","folder","TRUE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds"
"6452f5dd-7fc1-4ce0-aee2-71b8e411dc51","","pass","Cadwelds","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #2"
"67f63392-d591-447d-bf93-985bb644532e","","pass","Cadwelds","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #3"
"653dc479-ce7c-4178-9993-580dbc575a6d","","pass","Cadwelds","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #4"
"5b549bfe-da8f-4c3c-a090-abd9fb8d9055","","pass","Cadwelds","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #5"
"ce968b80-1b83-4fdf-bbbb-0667f2662481","","pass","Cadwelds","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #6"
"1c3c7467-ae2f-4493-b78e-d4feb2ed64c3","","pass","Cadwelds","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #7"
"39432de0-4315-4f2f-adf6-3ef203812373","","pass","Cadwelds","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #8"
"b3305d21-c189-4981-a622-69c6cab362b5","","pass","Cadwelds","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #9"
"649bef3c-191b-41ba-ac6d-81ae8ae4529d","","pass","Cadwelds","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #10"
"b1da476a-2f77-44e1-be34-f3cf7aaa75b4","","pass","Cadwelds","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #11"
"ffa9d341-9b87-4c68-abab-0e94cdf2d089","","pass","Cadwelds","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #13"
"83556941-4cb6-4265-9c49-9f7f6b9e3a9f","","no-status-started","As-Built Drawings","checklist","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","As-Built Drawings Cadwelds numbered. "
