type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,ITR-E-19 Test Record for Insulation Resistance,,,,,,,
section,Details,,,,,,,
checkpoint,Upload completed ITR scans,,,,,,,
signoff,Installed by:,,,,,,,
,,,,,,,,
checklist,ITR-I-11 Cone and Thread Pressure Testing,,,,,,,
section,Details,,,,,,,
checkpoint-no-status,General Data,,,,,,,
textbox,Location:,,,,,,,
textbox,Duty:,,,,,,,
textbox,Reference Drawings:,,,,,,,
textbox,Hook-up drawing:,,,,,,,
textbox,Related instrument tag no:,,,,,,,
textbox,Tube diameter and wall thickness:,,,,,,,
checkpoint,Checklist items,,,,,,,
button,Tubing orientation as per hook up drawing.,"Yes,N/A",,,,,,
button,Checked with a Torque Wrench and marked and tagged,"Yes,N/A",,,,,,
button,Ensure Area is barricaded off to restrict unauthorized entry to personnel ,"Yes,N/A",,,,,,
button,Tube as per specification and hook up drawings. ,"Yes,N/A",,,,,,
textbox,Max design pressure:,,,,,,,
textbox,Test medium used:,,,,,,,
textbox,Record Testing pressure:,,,,,,,
textbox,Test pressure duration: ,,,Minutes,,,,
textbox,Test leak rate:,,,Litres/minute,,,,
button,Chart recorder used and attached (where applicable).,"Yes,N/A",,,,,,
button,Confirm all Tubing lines have been pigged / cleaned.,"Yes,N/A",,,,,,
button,"Check all plugs are replaced (if removed), vents are closed, and isolation valves are in correct positions.","Yes,N/A",,,,,,
button,Ensure equipment is left clean and in a safe state for handover to operations to the standard of ITP-I-08 Cone and Thread cleaning procedure,"Yes,N/A",,,,,,
signoff,"All relevant signatures (Installed by, Approved by, Client Representative)",,,,,,,
