resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Chadstone FFH-CPC-OMR,,,,,,,
,step,,,,,Car Park C,,,,,,
,step,,,,,,Level P1,Separable Portion SP01A,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-003 - Sprinkler control valves,checklist,,,,,,,,Sprinkler Control Valves,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,,Level P2,Separable Portion SP01A,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-003 - Sprinkler control valves,checklist,,,,,,,,Sprinkler Control Valves,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,,Level P3,Separable Portion SP01A,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-003 - Sprinkler control valves,checklist,,,,,,,,Sprinkler Control Valves,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,,Level P4,Separable Portion SP01A,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-003 - Sprinkler control valves,checklist,,,,,,,,Sprinkler Control Valves,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,,Level P5,Separable Portion SP01A,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-003 - Sprinkler control valves,checklist,,,,,,,,Sprinkler Control Valves,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,Fresh Foods Hall,,,,,,
,step,,,,,,Lower Ground Floor,Separable Portion SP03D,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,,Lower Ground Floor,Separable Portion SP04A,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,,Lower Ground Floor,Separable Portion SP06A,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,,Lower Ground Floor,Separable Portion SP07,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,,Lower Ground Floor,Separable Portion SP11,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-008 - Fire Service Pumps,checklist,,,,,,,,Pumps,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,,Ground Floor,Separable Portion SP02A,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,,Ground Floor,Separable Portion SP02B,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,,Ground Floor,Separable Portion SP02C,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (1),,,
ENT-009 - Pressure Test Report,checklist,,,,,,,,Pressure Test (2),,,
ENT-016 - Fire Extinguishers,checklist,,,,,,,,Extinguishers,,,
,step,,,,,,Ground Floor,Separable Portion SP02D,,,,
ENT-004 - Sprinkler rough in and fit off  ,checklist,,,,,,,,Sprinklers Rough In & Fit Off ,,,
ENT-006 - Hydrants & Hosereels rough in and fit off ,checklist,,,,,,,,Hydrant Rough In & Fit Off,,,
