resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Level 4,,,,,,,,
,step,,,,Temp DB's,,,,,,,
ITP017 Temp DBs,checklist,,,,,ITP017 Temp DBs,,,,,,
,step,,,,Conduit Install,,,,,,,
ITP004 Conduit & Cable Tray,checklist,,,,,ITP004 Conduit & Cable Tray,,,,,,
,step,,,,Rough In Cabling,,,,,,,
ITP006 Power Wiring Rough In,checklist,,,,,ITP006 Power Wiring Rough In,,,,,,
ITP007 Lighting Wiring Rough In,checklist,,,,,ITP007 Lighting Wiring Rough In,,,,,,
ITP008 Data Wiring Rough In,checklist,,,,,ITP008 Data Wiring Rough In,,,,,,
,step,,,,Fit Off,,,,,,,
ITP009 Power Installation and Fit Off,checklist,,,,,ITP009 Power Installation and Fit Off,,,,,,
ITP010 Lighting Installation and Fit Off,checklist,,,,,ITP010 Lighting Installation and Fit Off,,,,,,
ITP011 Data Installation and Fit Off,checklist,,,,,ITP011 Data Installation and Fit Off,,,,,,
ITP0012 Exit & Emergency Light Installation,checklist,,,,,ITP0012 Exit & Emergency Light Installation,,,,,,
,step,,,,DB Works,,,,,,,
ITP013 Install Distribution Boards -Terminate Cables,checklist,,,,,ITP013 Install Distribution Boards -Terminate Cables,,,,,,
ITP014 Distribution Board Test Results,checklist,,,,,ITP014 Distribution Board Test Results,,,,,,
,step,,,Level 5,,,,,,,,
,step,,,,Temp DB's,,,,,,,
ITP017 Temp DBs,checklist,,,,,ITP017 Temp DBs,,,,,,
,step,,,,Conduit Install,,,,,,,
ITP004 Conduit & Cable Tray,checklist,,,,,ITP004 Conduit & Cable Tray,,,,,,
,step,,,,Rough In Cabling,,,,,,,
ITP006 Power Wiring Rough In,checklist,,,,,ITP006 Power Wiring Rough In,,,,,,
ITP007 Lighting Wiring Rough In,checklist,,,,,ITP007 Lighting Wiring Rough In,,,,,,
ITP008 Data Wiring Rough In,checklist,,,,,ITP008 Data Wiring Rough In,,,,,,
,step,,,,Fit Off,,,,,,,
ITP009 Power Installation and Fit Off,checklist,,,,,ITP009 Power Installation and Fit Off,,,,,,
ITP010 Lighting Installation and Fit Off,checklist,,,,,ITP010 Lighting Installation and Fit Off,,,,,,
ITP011 Data Installation and Fit Off,checklist,,,,,ITP011 Data Installation and Fit Off,,,,,,
ITP0012 Exit & Emergency Light Installation,checklist,,,,,ITP0012 Exit & Emergency Light Installation,,,,,,
,step,,,,DB Works,,,,,,,
ITP013 Install Distribution Boards -Terminate Cables,checklist,,,,,ITP013 Install Distribution Boards -Terminate Cables,,,,,,
ITP014 Distribution Board Test Results,checklist,,,,,ITP014 Distribution Board Test Results,,,,,,
