resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Panel,,,,,,,,
Manufacturing Checklist,checklist,,,,06-01,,,,,,,
Manufacturing Checklist,checklist,,,,06-02,,,,,,,
Manufacturing Checklist,checklist,,,,06-03,,,,,,,
Manufacturing Checklist,checklist,,,,06-04,,,,,,,
Manufacturing Checklist,checklist,,,,06-05,,,,,,,
Manufacturing Checklist,checklist,,,,06-06,,,,,,,
Manufacturing Checklist,checklist,,,,06-07,,,,,,,
Manufacturing Checklist,checklist,,,,06-08,,,,,,,
Manufacturing Checklist,checklist,,,,06-09,,,,,,,
Manufacturing Checklist,checklist,,,,06-10,,,,,,,
Manufacturing Checklist,checklist,,,,06-11,,,,,,,
Manufacturing Checklist,checklist,,,,06-12,,,,,,,
Manufacturing Checklist,checklist,,,,06-13,,,,,,,
Manufacturing Checklist,checklist,,,,06-14,,,,,,,
Manufacturing Checklist,checklist,,,,06-15,,,,,,,
Manufacturing Checklist,checklist,,,,06-16,,,,,,,
Manufacturing Checklist,checklist,,,,06-17,,,,,,,
Manufacturing Checklist,checklist,,,,06-18,,,,,,,
Manufacturing Checklist,checklist,,,,06-19,,,,,,,
