resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Level 18,,,,,,,,
,step,,,,Balustrade,,,,,,,
Installation Checklist,checklist,,,,,18-20,,,,,,
Installation Checklist,checklist,,,,,18-21,,,,,,
Installation Checklist,checklist,,,,,18-22,,,,,,
Installation Checklist,checklist,,,,,18-23,,,,,,
Installation Checklist,checklist,,,,,18-24,,,,,,
Installation Checklist,checklist,,,,,18-25,,,,,,
Installation Checklist,checklist,,,,,18-26,,,,,,
Installation Checklist,checklist,,,,,18-27,,,,,,
Installation Checklist,checklist,,,,,18-28,,,,,,
Installation Checklist,checklist,,,,,18-29,,,,,,
Installation Checklist,checklist,,,,,18-30,,,,,,
Installation Checklist,checklist,,,,,18-31,,,,,,
Installation Checklist,checklist,,,,,18-32,,,,,,
Installation Checklist,checklist,,,,,18-33,,,,,,
Installation Checklist,checklist,,,,,18-34,,,,,,
Installation Checklist,checklist,,,,,18-35,,,,,,
Installation Checklist,checklist,,,,,18-36,,,,,,
Installation Checklist,checklist,,,,,18-37,,,,,,
Installation Checklist,checklist,,,,,18-38,,,,,,
Installation Checklist,checklist,,,,,18-39,,,,,,
Installation Checklist,checklist,,,,,18-40,,,,,,
Installation Checklist,checklist,,,,,18-41,,,,,,
,step,,,,Panel,,,,,,,
Installation Checklist,checklist,,,,,18-01,,,,,,
Installation Checklist,checklist,,,,,18-02,,,,,,
Installation Checklist,checklist,,,,,18-03,,,,,,
Installation Checklist,checklist,,,,,18-04,,,,,,
Installation Checklist,checklist,,,,,18-05,,,,,,
Installation Checklist,checklist,,,,,18-06,,,,,,
Installation Checklist,checklist,,,,,18-07,,,,,,
Installation Checklist,checklist,,,,,18-08,,,,,,
Installation Checklist,checklist,,,,,18-09,,,,,,
Installation Checklist,checklist,,,,,18-10,,,,,,
Installation Checklist,checklist,,,,,18-11,,,,,,
Installation Checklist,checklist,,,,,18-12,,,,,,
Installation Checklist,checklist,,,,,18-13,,,,,,
Installation Checklist,checklist,,,,,18-15,,,,,,
Installation Checklist,checklist,,,,,18-16,,,,,,
Installation Checklist,checklist,,,,,18-17,,,,,,
Installation Checklist,checklist,,,,,18-18,,,,,,
Installation Checklist,checklist,,,,,18-19,,,,,,
