resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Level 9,,,,,,,,
,step,,,,Panel,,,,,,,
Manufacturing Checklist,checklist,,,,,09-50,,,,,,
Manufacturing Checklist,checklist,,,,,09-51,,,,,,
Manufacturing Checklist,checklist,,,,,09-54,,,,,,
Manufacturing Checklist,checklist,,,,,09-56,,,,,,
Manufacturing Checklist,checklist,,,,,09-58,,,,,,
Manufacturing Checklist,checklist,,,,,09-62,,,,,,
Manufacturing Checklist,checklist,,,,,09-63,,,,,,
Manufacturing Checklist,checklist,,,,,09-65,,,,,,
Manufacturing Checklist,checklist,,,,,09-69,,,,,,
Manufacturing Checklist,checklist,,,,,09-71,,,,,,
Manufacturing Checklist,checklist,,,,,09-72,,,,,,
Manufacturing Checklist,checklist,,,,,09-73,,,,,,
Manufacturing Checklist,checklist,,,,,09-74,,,,,,
Manufacturing Checklist,checklist,,,,,09-76,,,,,,
Manufacturing Checklist,checklist,,,,,09-78,,,,,,
Manufacturing Checklist,checklist,,,,,09-80,,,,,,
Manufacturing Checklist,checklist,,,,,09-84,,,,,,
