"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"14d56f46-2e1c-49f8-93ed-851a7aca8a12","","checklist-flat","pass","Job Details","checklist-flat","FALSE","FALSE","Catalina - Project Details"
"49f3d4ee-fdd2-4358-827d-ad5d42029bb7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacture QA"
"1538434f-6eff-48fb-be9c-21d6765015cd","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","B2"
"01c833f5-86f7-4929-ad11-cabd973dce9d","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","B2","Balustrade"
"922ab31e-88a3-41d0-bd29-a29e4ab730aa","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","B2","Balustrade","B2-01"
"9092b720-e3d6-486b-91e1-19a527c0273e","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1"
"47759097-09b0-4e12-9ec8-edb914628a02","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1","Column"
"32fbb555-6e99-44c3-ad0f-c8b21b7b93b9","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","01-15"
"4170ddbe-a2ac-4233-8e49-548abfee00dd","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","01-16"
"5f5cd08c-5746-4090-9a19-8151ede0de3e","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","01-17"
"0873e1ca-4741-4fcf-9fb2-464e8ea3afc4","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","01-28"
"dd1a2b94-480f-4f15-8f58-d431585eca21","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","01-29"
"a39b7d63-7ec1-45fd-8c9e-5120f7d7370b","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","01-30"
"6aae4a05-1f4a-4491-a7cf-8768bdf77148","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1","Core Lift"
"683a7eb9-430d-4fa4-8815-f93d428fa9b9","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Core Lift","01-03"
"93d445c5-2c30-4492-8f22-30e8ab8a97d4","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Core Lift","01-07"
"e0bf7200-3296-425f-a11b-ec1aa54eb946","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Core Lift","01-08"
