resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,TRUE,FALSE,Installation QA,,,,,,,,
,step,TRUE,FALSE,Installation QA,Level 1,,,,,,,
,step,TRUE,FALSE,Installation QA,Level 1,Balustrade,,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Balustrade,01-01,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Balustrade,01-02,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Balustrade,01-03,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Balustrade,01-04,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Balustrade,01-05,,,,,
,step,TRUE,FALSE,Installation QA,Level 1,Column,,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Column,01-06,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Column,01-07,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Column,01-08,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Column,01-09,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Column,01-10,,,,,
,step,TRUE,FALSE,Installation QA,Level 1,Panel,,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Panel,01-11,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Panel,01-12,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Panel,01-13,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Panel,01-14,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 1,Panel,01-15,,,,,
,step,TRUE,FALSE,Installation QA,Level 2,,,,,,,
,step,TRUE,FALSE,Installation QA,Level 2,Balustrade,,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Balustrade,02-01,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Balustrade,02-02,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Balustrade,02-03,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Balustrade,02-04,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Balustrade,02-05,,,,,
,step,TRUE,FALSE,Installation QA,Level 2,Column,,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Column,02-06,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Column,02-07,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Column,02-08,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Column,02-09,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Column,02-10,,,,,
,step,TRUE,FALSE,Installation QA,Level 2,Panel,,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Panel,02-11,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Panel,02-12,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Panel,02-13,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Panel,02-14,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 2,Panel,02-15,,,,,
,step,TRUE,FALSE,Installation QA,Level 3,,,,,,,
,step,TRUE,FALSE,Installation QA,Level 3,Balustrade,,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Balustrade,03-01,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Balustrade,03-02,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Balustrade,03-03,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Balustrade,03-04,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Balustrade,03-05,,,,,
,step,TRUE,FALSE,Installation QA,Level 3,Column,,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Column,03-06,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Column,03-07,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Column,03-08,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Column,03-09,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Column,03-10,,,,,
,step,TRUE,FALSE,Installation QA,Level 3,Panel,,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Panel,03-11,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Panel,03-12,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Panel,03-13,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Panel,03-14,,,,,
Installation Checklist,checklist,FALSE,FALSE,Installation QA,Level 3,Panel,03-15,,,,,
