PANEL,ISSUE,JOBNUMBER,LEVEL,TYPE,PANEL-ID,ZONE,COLOUR,THK,VOL,MASS,NET_AREA,GROSS_AREA,MPA,REO_KG,KGM3,WIDTH,HEIGHT,TRANSPORT_WIDTH,TRANSPORT_HEIGHT,LIFTING_CLUTCH_TYPE,LIFTER_WLL,FRANNA_REQUIRED
'00-01,CONSTRUCTION,,B2,PANEL,,T1 RAMP,GREY,200,2.23,5.56,11.13,11.13,40,161.43,72.53,1550,7180,1550,7180,,,
'00-02,CONSTRUCTION,,B2,PANEL,,T1 RAMP,GREY,200,1.86,4.65,9.3,9.3,40,130.91,70.4,3120,2980,3120,2980,,,
'00-03,CONSTRUCTION,,B2,PANEL,,T1 RAMP,GREY,200,2.22,5.55,11.09,11.08,40,161.43,72.77,1544,7179,1544,7179,,,
'00-04,CONSTRUCTION,,B2,PANEL,,T1 RAMP,GREY,200,2.92,7.29,14.58,14.57,40,193.93,66.51,2566,5680,2566,5680,,,
'00-05,CONSTRUCTION,,B2,PANEL,,T1 RAMP,GREY,200,0.2,0.51,1.02,1.02,40,40.16,196.36,343,2980,343,2980,,,
'00-06,CONSTRUCTION,,B2,PANEL,,T1 RAMP,GREY,200,1.65,4.12,8.24,8.24,40,118.71,72.05,2764,2980,2764,2980,,,
'00-07,CONSTRUCTION,,B2,PANEL,,T1 RAMP,GREY,200,3.54,8.86,17.72,17.72,40,234.38,66.13,2232,7939,2232,7939,,,
'00-08,CONSTRUCTION,,B2,PANEL,,T1 RAMP,GREY,200,3.18,7.94,15.88,15.87,40,216.46,68.16,1999,7939,1999,7939,,,
'00-09,CONSTRUCTION,,B1,PANEL,,T1 RAMP,GREY,200,0.22,0.54,1.08,1.08,40,42.26,196.13,343,3140,343,3140,,,
'00-10,CONSTRUCTION,,B1,PANEL,,T1 RAMP,GREY,200,2.61,6.52,13.04,13.04,40,173.64,66.57,3120,4180,3120,4180,,,
'00-11,CONSTRUCTION,,B1,PANEL,,T1 RAMP,GREY,200,1.51,3.77,7.55,7.55,40,110.65,73.31,2764,2730,2764,2730,,,
'00-12,CONSTRUCTION,,B2,PANEL,,T1 RAMP,GREY,200,2.23,5.56,11.13,11.13,40,161.43,72.53,1550,7180,1550,7180,,,
'00-13,CONSTRUCTION,,B2,PANEL,,T1 RAMP,GREY,200,2.22,5.55,11.09,11.08,40,161.43,72.77,1544,7179,1544,7179,,,
'01-01,CONSTRUCTION,MIR007,L01,PANEL,'01-01,T1 RAMP,GREY,200,0.49,1.2,2.47,2.47,40,48.92,98.93,2095,1180,2095,1180,LMC10 ,10.0T ,NO
'01-02,CONSTRUCTION,MIR007,L01,PANEL,'01-02,T1 RAMP,GREY,200,0.49,1.19,2.47,2.47,40,48.78,98.89,2090,1180,2090,1180,LMC10 ,10.0T ,NO
'01-03,CONSTRUCTION,MIR007,L01,PANEL,'01-03,BOUNDARY WALL,GREY,200,1.43,3.5,7.17,7.17,40,113.77,79.38,1332,5380,1332,5380,LMC10 LMC10 ,10.0T 7.0T ,YES
'01-04,CONSTRUCTION,MIR007,L01,PANEL,'01-04,BOUNDARY WALL,GREY,200,1.44,3.52,7.2,7.2,40,114.31,79.35,1330,5415,1330,5415,LMC10 LMC10 ,10.0T 7.0T ,YES
'01-05,CONSTRUCTION,MIR007,L01,PANEL,'01-05,BOUNDARY WALL,GREY,200,1.44,3.52,7.2,7.2,40,114.31,79.35,1330,5415,1330,5415,LMC10 LMC10 ,10.0T 7.0T ,YES
'01-06,CONSTRUCTION,MIR007,L01,PANEL,'01-06,BOUNDARY WALL,GREY,200,1.44,3.51,7.2,7.2,40,114.08,79.2,1330,5415,1330,5415,LMC10 LMC10 ,10.0T 7.0T ,YES
'01-07,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,1.44,3.6,7.2,7.2,40,114.31,79.35,1330,5415,1330,5415,,,
'01-08,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,1.44,3.6,7.2,7.2,40,114.31,79.35,1330,5415,1330,5415,,,
'01-09,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,1.44,3.6,7.2,7.2,40,114.31,79.35,1330,5415,1330,5415,,,
'01-10,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,1.62,4.06,8.12,8.12,40,124.04,76.35,1500,5415,1500,5415,,,
'01-11,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,1.73,4.33,8.66,8.66,40,129.77,74.89,1600,5415,1600,5415,,,
'01-12,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,1.95,4.87,9.75,9.75,40,141.22,72.44,1800,5415,1800,5415,,,
'01-13,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,2.11,5.28,10.56,10.56,40,149.81,70.94,1950,5415,1950,5415,,,
'01-14,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,2.27,5.69,11.37,11.37,40,158.4,69.65,2100,5415,2100,5415,,,
'01-15,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,2.33,5.82,11.64,11.64,40,161.26,69.26,2150,5415,2150,5415,,,
'01-16,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,2.49,6.23,12.45,12.45,40,169.85,68.19,2300,5415,2300,5415,,,
'01-17,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,2.71,6.77,13.54,13.54,40,181.31,66.97,2500,5415,2500,5415,,,
'01-18,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,2.87,7.17,14.35,14.35,40,189.9,66.17,2650,5415,2650,5415,,,
'01-19,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.03,7.58,15.16,15.16,40,198.49,65.46,2800,5415,2800,5415,,,
'01-20,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.25,8.12,16.25,16.25,40,209.94,64.62,3000,5415,3000,5415,,,
'01-21,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.36,8.39,16.79,16.79,40,215.67,64.24,3100,5415,3100,5415,,,
'01-22,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.36,8.39,16.79,16.79,40,215.67,64.24,3100,5415,3100,5415,,,
'01-23,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.36,8.39,16.79,16.79,40,215.67,64.24,3100,5415,3100,5415,,,
'01-24,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.6,9,18,19.39,40,245.65,68.23,3100,6255,3100,6255,,,
'01-25,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,4.22,10.56,21.12,21.12,40,268.89,,2650,7970,2650,7970,,,
'01-26,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,4.24,10.6,21.21,21.21,40,271.37,,2650,8005,2650,8005,,,
'01-27,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,4.24,10.61,21.21,21.21,40,269.97,,2650,8005,2650,8005,,,
'01-28,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,4.24,10.61,21.21,21.21,40,267.16,,2650,8005,2650,8005,,,
'01-29,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,4.24,10.61,21.21,21.21,40,269.97,,2650,8005,2650,8005,,,
'01-30,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,4.24,10.61,21.21,21.21,40,269.97,,2650,8005,2650,8005,,,
'01-31,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,4.24,10.61,21.21,21.21,40,267.16,62.97,2650,8005,2650,8005,,,
'01-32,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.99,9.99,19.97,19.97,40,257.31,,2495,8005,2495,8005,,,
'01-33,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.79,9.47,18.93,18.93,40,247.02,65.24,2365,8005,2365,8005,,,
'01-34,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.79,9.49,18.97,18.97,40,247.43,65.21,2370,8005,2370,8005,,,
'01-35,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.79,9.49,18.97,18.97,40,247.43,65.21,2370,8005,2370,8005,,,
'01-36,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.79,9.49,18.97,18.97,40,247.43,65.21,2370,8005,2370,8005,,,
'01-37,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.79,9.49,18.97,18.97,40,247.43,65.21,2370,8005,2370,8005,,,
'01-38,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.79,9.49,18.97,18.97,40,247.43,65.21,2370,8005,2370,8005,,,
'01-39,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,2.85,6.95,14.23,14.36,40,194.27,68.26,2700,5320,2700,5320,,,
'01-40,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,2.88,7.03,14.39,14.38,40,189.99,66.04,2703,5320,2703,5320,,,
'01-41,CONSTRUCTION,,L01,PANEL,,T2,GREY,200,2.2,5.51,11.01,11.04,40,117.83,53.5,2458,4490,2458,4490,,,
'01-42,CONSTRUCTION,,L01,PANEL,,T2,GREY,200,2.16,5.4,10.8,10.85,40,116.88,54.11,2400,4520,2400,4520,,,
'01-43,CONSTRUCTION,,L01,PANEL,,T1,GREY,200,2.65,6.49,13.27,13.27,40,179.45,67.59,2337,5680,2337,5680,,,
'01-98,CONSTRUCTION,,L01,PANEL,,BOUNDARY WALL,GREY,200,3.79,9.49,18.97,18.97,40,247.43,65.21,2370,8005,2370,8005,,,
'02-01,CONSTRUCTION,,L02,PANEL,,BOUNDARY WALL,GREY,200,1.5,3.75,7.51,7.5,40,110.39,73.53,2221,3379,2221,3379,,,
'02-02,CONSTRUCTION,,L02,PANEL,,BOUNDARY WALL,GREY,200,1.57,3.92,7.84,7.84,40,114.15,72.79,2320,3379,2320,3379,,,
'02-03,CONSTRUCTION,,L02,PANEL,,BOUNDARY WALL,GREY,200,1.62,4.06,8.11,8.11,40,117.19,72.24,2400,3379,2400,3379,,,
'02-04,CONSTRUCTION,,L02,PANEL,,BOUNDARY WALL,GREY,200,1.64,4.11,8.22,8.21,40,118.37,72.04,2431,3379,2431,3379,,,
