type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,XXXXXXXXXXX – Shift Report,,,,,,Shift Report,
section,Details,,,,,,,
checkpoint,Shift Report,,,,,,,
textbox,Job ID:,,,,,,,
textbox,PO#:,,,,,,,
textbox,Location:,,,,,,,
textbox,Summary of Works:,,,,,,,
date,Date Completed:,,,,,,,
textbox,Time started / finished:,,,XX:XX – XX:XX,,,,
button,Permit Acceptor:,"Not required,Required",,,,,,
textbox,ECM Progress Claim:,,,,,,,
label,Upload Photos (before / after),,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,1. ECM - CC,itp,,,,,1. ECM - CC,
section,"Set out, Instruction, Issues, confirmation",,,,,,,
checkpoint,Concrete Foundation Installed?,,,,,,,
checkpoint,Foundation appears correct?,,,,,,,
checkpoint,Transitions to Barrier Required?,,,,,,,
checkpoint,"If so, is foundation square with barrier?",,,,,,,
checkpoint,Steel occurred during drlling?,,,,,,,
checkpoint,Is this unit a Tension Strut?,,,,,,,
checkpoint,Is this unit a Concrete Backup?,,,,,,,
section,Product Installed,,,,,,,
checkpoint-no-status,Ingal Civil Products,,,,,,,
textbox,Quadguard,,,,,,,
textbox,Quadguard M10,,,,,,,
textbox,Quadguard Elite,,,,,,,
textbox,QuadG- Elite M10,,,,,,,
checkpoint-no-status,Safedirection,,,,,,,
textbox,TAU-XR,,,,,,,
textbox,Universal TAU-M,,,,,,,
textbox,Hercules,,,,,,,
checkpoint-no-status,Temporary Crash Cushions,,,,,,,
textbox,Quadguards,,,,,,,
textbox,TAU Cushion,,,,,,,
textbox,Absorb-M,,,,,,,
textbox,BG800,,,,,,,
checkpoint-no-status,Additionals,,,,,,,
textbox,Delineators,,,,,,,
textbox,Directional Decals,,,,,,,
textbox,BG800 Med Gate,,,,,,,
section,Additional,,,,,,,
checkpoint-no-status,Additional,,,,,,,
textbox,Crash Cushion Bays?,,,,,,,
textbox,Epoxy Tubes,,,,,,,
textbox,LHS Transition,,,,,,,
textbox,Anchors Installed,,,,,,,
textbox,RHS Transition,,,,,,,
textbox,Drill bit Diameter,,,,,,,
textbox,Endshoes,,,,,,,
textbox,Drill depth,,,,,,,
section,Inspection and Test Results,,,,,,,
checkpoint,Foundation Height,,,,,,,
label,Process of activity: Check concrete foundation matches road,,,,,,,
checkpoint,Crash Cushion positioning,,,,,,,
label,Process of activity: Check placed in the correct position,,,,,,,
checkpoint,Anchor Diameter & Length,,,,,,,
label,Process of activity: Check Anchors meet specification,,,,,,,
checkpoint,Concrete Drilling,,,,,,,
label,Process of activity: Check drilled to suitable dia/depth,,,,,,,
checkpoint,Excess Thread,,,,,,,
label,Process of activity: Check suitable thread exposed,,,,,,,
checkpoint,Epoxy volume,,,,,,,
label,Process of activity: Check signs of epoxy overflow,,,,,,,
checkpoint,"Anchor, bolts and cable tension",,,,,,,
label,Process of activity: Check with appropriate tightening tools,,,,,,,
checkpoint,Travel Bolts,,,,,,,
label,Process of activity: Check travel bolts are removed,,,,,,,
checkpoint,Batch Numbers,,,,,,,
label,Process of activity: Read and Record back page,,,,,,,
checkpoint,Compromised Galvanising,,,,,,,
label,Process of activity: Cold Gal Spray to any areas needed,,,,,,,
checkpoint,Directional Decals,,,,,,,
label,Process of activity: Check facing correct way and clean,,,,,,,
checkpoint,Housekeeping,,,,,,,
label,"Process of activity: Your waste, rubbish, excess material",,,,,,,
checkpoint,Functionality (Gates),,,,,,,
label,Process of activity: Check gate opens and closes correctly,,,,,,,
checkpoint,I confirm that the above works have been installed in accordance with main or local road authority specifications and manufacturers recommendations. Any alterations have been under instruction by those detailed in Daily Diary document.,,,,,,,
holdpoint,Signature - ECM Leading Hand / Client Contact / ECM Manager,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
