type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,North & South,,,,,,North & South
checkpoint,Set out,,,,,,
checkpoint,Speed Panel,,,,,,
checkpoint,Wall framing ,,,,,,
checkpoint,Insulation,,,,,,
checkpoint,Caulking (Fire rating) ,,,,,,
checkpoint,Sheeting / Stopping / Sanding,,,,,,
,,,,,,,
checklist-flat,Amenities,,,,,,Amenities
checkpoint,Ceiling sheeting & stopping,,,,,,
checkpoint,Access panels,,,,,,
,,,,,,,
checklist-flat,Floor Plate,,,,,,Floor Plate
checkpoint,Access panels,,,,,,
checkpoint,T/Bar Ceiling Grid,,,,,,
checkpoint,Ceiling Grid Margin,,,,,,
checkpoint,"Sheet, Stop & Sand Margin",,,,,,
