type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,ITP 02 - Speedpanel,,,,,,
checkpoint,Drawing Reference - Latest IFC drawing referenced,,,,,,
checkpoint,Current revision (Photo of title block with drawing No. and revision),,,,,,
checkpoint,Area clean and accessible to start work,,,,,,
checkpoint,Confirm panel thickness used - 78mm,,,,,,
checkpoint,Setout of wall location verified,,,,,,
checkpoint,Apply approved fire rated sealant (Hilti 606) between c-track and structure to entire perimeter (Photo),,,,,,
checkpoint,Fix c-track to structure using Hiliti Huss anchors at 500mm centres (Photo),,,,,,
checkpoint,Apply approved fire rated sealant (Hilti 606) to internal corner ot the c-track (one side) to entire perimeter (Photo),,,,,,
checkpoint,Verify maximum 20mm gap between speedpanel and top c-track (Photo),,,,,,
checkpoint,Panel fixing - Perimeter 500mm centres / Horizontal 250mm centres / Vertical 1000mm centres,,,,,,
checkpoint,"If pressurised riser, all joins have been sealed - panel end & perimeter",,,,,,
checkpoint,Install head track protection fixed with 30mm screws at 125mm centres (Photo of completed wall),,,,,,
