"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9e7156e9-6dfc-491e-8016-0ec3383f9b67","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site ITP"
"4849d26e-fb22-41f4-b33d-af11076d611f","","folder-normal","not-started","","step","TRUE","FALSE","Site ITP","Level 2"
"615088cd-1b28-4bb3-b356-6481562809af","","folder-normal","not-started","","step","TRUE","FALSE","Site ITP","Level 2","2.02 - Board Support + Waiting"
"3d2a070b-d6da-4916-80b0-505b182fd7d5","","checklist-flat","not-started","ITP 01 - Partition Walls - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.02 - Board Support + Waiting","Partition Walls"
"871f61c5-d217-4704-b94d-37522360d7ed","","checklist-flat","not-started","ITP 02 - Suspended Ceilings - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.02 - Board Support + Waiting","Suspended Ceilings"
"1c097729-48e8-43fd-b8d6-ad23c524fa57","","folder-normal","not-started","","step","TRUE","FALSE","Site ITP","Level 2","2.03 - Ante Room"
"2b86adf4-bd05-4fd0-9f8d-2b3a751a80dd","","checklist-flat","not-started","ITP 01 - Partition Walls - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.03 - Ante Room","Partition Walls"
"e70258d5-6cff-4710-8d20-5474a3800ee8","","checklist-flat","not-started","ITP 02 - Suspended Ceilings - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.03 - Ante Room","Suspended Ceilings"
"a6e82ca2-8160-441e-b020-355f1c18f00d","","folder-normal","not-started","","step","TRUE","FALSE","Site ITP","Level 2","2.04 - Boardroom"
"4e942c78-1c34-429d-8896-6c68d766a2f4","","checklist-flat","not-started","ITP 01 - Partition Walls - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.04 - Boardroom","Partition Walls"
"3387aead-6ca4-4787-9cb7-4677569faf05","","checklist-flat","not-started","ITP 02 - Suspended Ceilings - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.04 - Boardroom","Suspended Ceilings"
"94206355-1068-4301-a202-d278b31f4e6a","","folder-normal","not-started","","step","TRUE","FALSE","Site ITP","Level 2","2.05 - Phone/Consult 1"
"9fcfa7d2-437d-42c3-91fb-223793babe05","","checklist-flat","not-started","ITP 01 - Partition Walls - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.05 - Phone/Consult 1","Partition Walls"
"714725a5-a2d2-46a3-94b3-b0766f9efb8c","","checklist-flat","not-started","ITP 02 - Suspended Ceilings - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.05 - Phone/Consult 1","Suspended Ceilings"
"171c044b-7b22-4697-ba34-1b845ba0bbb6","","folder-normal","not-started","","step","TRUE","FALSE","Site ITP","Level 2","2.06 - Phone/Consult 2"
"2a65fe2b-4cfe-456b-9b14-ce23b0ecb949","","checklist-flat","not-started","ITP 01 - Partition Walls - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.06 - Phone/Consult 2","Partition Walls"
"e47e4590-2a7a-4d08-9602-3940f254269b","","checklist-flat","not-started","ITP 02 - Suspended Ceilings - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.06 - Phone/Consult 2","Suspended Ceilings"
"08fb2f67-c13c-423c-9228-b1b7abbe7c79","","folder-normal","not-started","","step","TRUE","FALSE","Site ITP","Level 2","2.07 - Phone/Consult 3"
"d4fa1976-4d1b-42cc-b41d-82082b697993","","checklist-flat","not-started","ITP 01 - Partition Walls - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.07 - Phone/Consult 3","Partition Walls"
"dea58176-fed7-45c1-ade9-feed22046021","","checklist-flat","not-started","ITP 02 - Suspended Ceilings - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.07 - Phone/Consult 3","Suspended Ceilings"
"9a6c5a38-3a3d-4b2b-b0ac-d486898ec415","","folder-normal","not-started","","step","TRUE","FALSE","Site ITP","Level 2","2.08 - Exec Drop-In"
"3610a071-badd-4d42-bd2c-7f57d61d1242","","checklist-flat","not-started","ITP 01 - Partition Walls - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.08 - Exec Drop-In","Partition Walls"
"32671d2f-d1d7-4546-a2a7-970529e55705","","checklist-flat","not-started","ITP 02 - Suspended Ceilings - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.08 - Exec Drop-In","Suspended Ceilings"
"787211d4-deba-4da3-88c1-a04806212f03","","folder-normal","not-started","","step","TRUE","FALSE","Site ITP","Level 2","2.09 - Cloak / Luggage"
"20eadf71-1b21-4167-ba60-df0e7b85bb0b","","checklist-flat","not-started","ITP 01 - Partition Walls - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.09 - Cloak / Luggage","Partition Walls"
"86c6b5cf-4e50-4e36-84fa-e7eedcb2b68a","","checklist-flat","not-started","ITP 02 - Suspended Ceilings - Rev A","checklist-flat","FALSE","FALSE","Site ITP","Level 2","2.09 - Cloak / Luggage","Suspended Ceilings"
"f1ae1bcd-a464-4160-b881-56489b29e4f4","","folder-normal","not-started","","step","TRUE","FALSE","Site ITP","Level 2","2.10 - Utility"
