resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site ITP,,,,,,,,
,step,,,Site ITP,Level 2,,,,,,,
,step,,,Site ITP,Level 2,2.02 - Board Support + Waiting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.02 - Board Support + Waiting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.02 - Board Support + Waiting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.03 - Ante Room,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.03 - Ante Room,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.03 - Ante Room,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.04 - Boardroom,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.04 - Boardroom,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.04 - Boardroom,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.05 - Phone/Consult 1,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.05 - Phone/Consult 1,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.05 - Phone/Consult 1,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.06 - Phone/Consult 2,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.06 - Phone/Consult 2,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.06 - Phone/Consult 2,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.07 - Phone/Consult 3,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.07 - Phone/Consult 3,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.07 - Phone/Consult 3,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.08 - Exec Drop-In,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.08 - Exec Drop-In,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.08 - Exec Drop-In,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.09 - Cloak / Luggage,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.09 - Cloak / Luggage,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.09 - Cloak / Luggage,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.10 - Utility,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.10 - Utility,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.10 - Utility,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.11 - Dining / Meeting R,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.11 - Dining / Meeting R,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.11 - Dining / Meeting R,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.12 - Exec Kitchen,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.12 - Exec Kitchen,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.12 - Exec Kitchen,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.13 - Co-Working Space,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.13 - Co-Working Space,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.13 - Co-Working Space,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.14 - Refresh,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.14 - Refresh,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.14 - Refresh,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.15 - 6P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.15 - 6P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.15 - 6P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.16 - Preparation Kitchen,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.16 - Preparation Kitchen,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.16 - Preparation Kitchen,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.17 - Comms Room,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.17 - Comms Room,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.17 - Comms Room,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.18 - Stoage,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.18 - Stoage,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.18 - Stoage,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.19 - 2P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.19 - 2P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.19 - 2P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.20 - 2P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.20 - 2P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.20 - 2P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.21 - 6P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.21 - 6P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.21 - 6P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.22 - 14P Consultation Room,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.22 - 14P Consultation Room,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.22 - 14P Consultation Room,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.23 - 6P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.23 - 6P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.23 - 6P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.24 - 6P Meeting,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.24 - 6P Meeting,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.24 - 6P Meeting,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.25 - Community Space,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.25 - Community Space,Partition Walls,,,,,
ITP 02 - Suspended Ceilings - Rev A,checklist-flat,,,Site ITP,Level 2,2.25 - Community Space,Suspended Ceilings,,,,,
,step,,,Site ITP,Level 2,2.26 - Customer Experience Room,,,,,,
ITP 01 - Partition Walls - Rev A,checklist-flat,,,Site ITP,Level 2,2.26 - Customer Experience Room,Partition Walls,,,,,
