Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
8e8ebf43-8156-41e0-ab4c-b97585419bcf,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Basement,Lower Ground Mezz,Zone 93,ITP 02 - Speedpanel
e2650c1f-137a-4263-add6-b70c9374de1f,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building C ,Building C Level Ground ,Zone 90,ITP 02 - Speedpanel
45a4b9a4-2112-46ae-b986-f6fbf7d28804,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building C ,Building C Level Ground ,Zone 93,ITP 02 - Speedpanel
c8c2b1c9-7966-4ccb-8bbf-4a2d70a59ac3,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building C ,Building C Level 1,Zone 90,ITP 02 - Speedpanel
1c97accb-b6fe-4324-a2ad-70d03ffecc38,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building C ,Building C Level 1,Zone 93,ITP 02 - Speedpanel
54f12062-3deb-4ce3-bdb6-30e42ca69895,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building C ,Building C Level 2,Zone 90,ITP 02 - Speedpanel
cbd1dc73-9fd4-4ac1-8e27-de6a47f31d16,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building C ,Building C Level 2,Zone 93,ITP 02 - Speedpanel
0931e960-c8e1-465e-b5ac-58fb0cf1ce56,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building C ,Building C Level 3,Zone 90,ITP 02 - Speedpanel
fcf90b97-7b7b-4cec-9d97-45d61fc2f378,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 2,Zone 70,ITP 02 - Speedpanel
e8c61d84-e421-4eeb-9ef3-18752c022ff3,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 2,Zone 71,ITP 02 - Speedpanel
58a379a0-3187-4b12-8716-410f30e92329,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 2,Zone 72,ITP 02 - Speedpanel
88aa3064-344b-426c-ac3e-9ce8b3c4d74c,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 2,Zone 73,ITP 02 - Speedpanel
ae4216fd-9afb-46f5-8da5-18c94fe45d8e,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 2,Zone 74,ITP 02 - Speedpanel
a6974bda-7804-418e-98b2-1d4b789b2538,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 3,Zone 70,ITP 02 - Speedpanel
8c8adab0-790c-4fdb-9838-b936693eb0e8,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 3,Zone 71,ITP 02 - Speedpanel
125fac6a-4ac6-42a1-b142-987aca1b0843,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 3,Zone 72,ITP 02 - Speedpanel
37660f1e-cba4-4b93-be2a-be1e6c2ad223,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 3,Zone 73,ITP 02 - Speedpanel
580f0aef-bb52-4a50-ae33-86e5284567e1,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 3,Zone 74,ITP 02 - Speedpanel
2bf2d70e-e39e-417c-8cab-55bdbd9e8200,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 3,Zone 75,ITP 02 - Speedpanel
825723c8-77b6-4ccd-9f54-c5c83473a5a1,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 3,Zone 76,ITP 02 - Speedpanel
ad56fa2c-6cf5-4ac2-88d9-cf73ad15f980,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 3,Zone 77,ITP 02 - Speedpanel
67d99f9d-614b-44e5-bbd3-0dccb503a626,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 3,Zone 79,ITP 02 - Speedpanel
2a94b5f0-c975-408f-8042-f15713ded863,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 4,Zone 72,ITP 02 - Speedpanel
db9901e4-8c37-4f71-bb3a-e7f97490b56a,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 4,Zone 73,ITP 02 - Speedpanel
9071a9d4-225d-48cd-9e85-2c16adb00b8e,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 4,Zone 74,ITP 02 - Speedpanel
8f1d79ac-a8f3-4046-8b41-a3ce02cf4288,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 4,Zone 75,ITP 02 - Speedpanel
7c62e53e-3b3f-411b-b488-08e65780db39,,checklist-flat,,ITP 02 - Speedpanel,checklist-flat,FALSE,FALSE,Site QA,Building A,Building A Level 4,Zone 76,ITP 02 - Speedpanel
