resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,TRUE,FALSE,Building B,,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 26,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 27,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 28,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 29,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 30,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 31,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 32,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 33,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 34,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 35,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 36,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 37,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 38,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 39,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 40,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 41,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 42,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 43,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 44,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,House 45,,,,,,,
Exterior QA Building B,checklist-flat,FALSE,FALSE,Building B,Windows,,,,,,,
,step,TRUE,FALSE,Block C,,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 46,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 47,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 48,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 49,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 50,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 51,,,,,,,
,step,TRUE,FALSE,Block C,House 52,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 52,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 52,Level 2 Checklist,,,,,,
,step,TRUE,FALSE,Block C,House 53,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 53,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 53,Level 2 Checklist,,,,,,
,step,TRUE,FALSE,Block C,House 54,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 54,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 54,Level 2 Checklist,,,,,,
,step,TRUE,FALSE,Block C,House 55,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 55,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 55,Level 2 Checklist,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 56,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 57,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 58,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 59,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 60,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 61,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 62,,,,,,,
,step,TRUE,FALSE,Block C,House 63,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 63,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 63,Level 2 Checklist,,,,,,
,step,TRUE,FALSE,Block C,House 64,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 64,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 64,Level 2 Checklist,,,,,,
,step,TRUE,FALSE,Block C,House 65,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 65,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 65,Level 2 Checklist,,,,,,
,step,TRUE,FALSE,Block C,House 66,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 66,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 66,Level 2 Checklist,,,,,,
,step,TRUE,FALSE,Block C,House 67,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 67,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 67,Level 2 Checklist,,,,,,
,step,TRUE,FALSE,Block C,House 68,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 68,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 68,Level 2 Checklist,,,,,,
,step,TRUE,FALSE,Block C,House 69,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 69,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 69,Level 2 Checklist,,,,,,
,step,TRUE,FALSE,Block C,House 70,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 70,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 70,Level 2 Checklist,,,,,,
,step,TRUE,FALSE,Block C,House 71,,,,,,,
Exterior QA,checklist-flat,FALSE,FALSE,Block C,House 71,Exterior QA,,,,,,
Level 2 Checklist,checklist-flat,FALSE,FALSE,Block C,House 71,Level 2 Checklist,,,,,,
