resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Factory QA,,,,,,,,
,step,,,,South Zone 6,,,,,,,
Factory ITP,checklist,,,,,B8-3-S-50,,,,,,
Factory ITP,checklist,,,,,B1-5-S-49,,,,,,
Factory ITP,checklist,,,,,B1-4-S-48,,,,,,
Factory ITP,checklist,,,,,B8-2-S-47,,,,,,
Factory ITP,checklist,,,,,B9-2-S-46,,,,,,
Factory ITP,checklist,,,,,B9-1-S-45,,,,,,
Factory ITP,checklist,,,,,B8-1-S-44,,,,,,
Factory ITP,checklist,,,,,B1-3-S-43,,,,,,
Factory ITP,checklist,,,,,B1-2-S-42,,,,,,
Factory ITP,checklist,,,,,B1-1-S-41,,,,,,
Factory ITP,checklist,,,,,A6-4-S-21,,,,,,
Factory ITP,checklist,,,,,A7-4-S-20,,,,,,
Factory ITP,checklist,,,,,A7-3-S-19,,,,,,
Factory ITP,checklist,,,,,A6-3-S-18,,,,,,
Factory ITP,checklist,,,,,A5-4-S-17,,,,,,
Factory ITP,checklist,,,,,A5-3-S-16,,,,,,
Factory ITP,checklist,,,,,A6-2-S-15,,,,,,
Factory ITP,checklist,,,,,A7-1-S-14,,,,,,
Factory ITP,checklist,,,,,A7-1-S-13,,,,,,
Factory ITP,checklist,,,,,A6-1-S-12,,,,,,
Factory ITP,checklist,,,,,B4-1-S-40,,,,,,
Factory ITP,checklist,,,,,B5-1-S-39,,,,,,
Factory ITP,checklist,,,,,A5-2-S-11,,,,,,
Factory ITP,checklist,,,,,A5-1-S-10,,,,,,
Factory ITP,checklist,,,,,A4-1-LO-S-9,,,,,,
Factory ITP,checklist,,,,,A3-3-LO-S-8,,,,,,
Factory ITP,checklist,,,,,A3-2-LO-S-7,,,,,,
Factory ITP,checklist,,,,,A3-1-LO-S-6,,,,,,
Factory ITP,checklist,,,,,A1-4-S-5,,,,,,
Factory ITP,checklist,,,,,A1-3-S-4,,,,,,
Factory ITP,checklist,,,,,A1-2-S-3,,,,,,
Factory ITP,checklist,,,,,A1-1-S-2,,,,,,
Factory ITP,checklist,,,,,A2-1-S-1,,,,,,
,step,,,,South - West Cnr,,,,,,,
Factory ITP,checklist,,,,,H4-1-S-69,,,,,,
Factory ITP,checklist,,,,,H12-1-S-157,,,,,,
Factory ITP,checklist,,,,,H11-1-S-156,,,,,,
Factory ITP,checklist,,,,,H10-1-S-155,,,,,,
Factory ITP,checklist,,,,,H9-1-S-154,,,,,,
Factory ITP,checklist,,,,,H21-1-W-299,,,,,,
Factory ITP,checklist,,,,,H22-1-W-324,,,,,,
,step,,,,West Zone 6,,,,,,,
Factory ITP,checklist,,,,,E-12-W-298,,,,,,
Factory ITP,checklist,,,,,E-11-W-297,,,,,,
Factory ITP,checklist,,,,,E-10-W-296,,,,,,
Factory ITP,checklist,,,,,E-9-W-295,,,,,,
Factory ITP,checklist,,,,,E-5-W-291,,,,,,
Factory ITP,checklist,,,,,E-4-W-290,,,,,,
Factory ITP,checklist,,,,,E-3-W-289,,,,,,
Factory ITP,checklist,,,,,E-2-W-288,,,,,,
Factory ITP,checklist,,,,,E-1-W-287,,,,,,
