resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Switchboards,,,,,,,
,step,,,,,Ground Floor,,,,,,
Switchboards,checklist,,,,,,Main Switchboard,,,,,
,step,,,,Cable Tray,,,,,,,
,step,,,,,Ground Floor & Level 1,,,,,,
Cable Tray,checklist,,,,,,Warehouse,,,,,
,step,,,,First Fix,,,,,,,
,step,,,,,Ground Floor,,,,,,
QA - First Fix,checklist,,,,,,Warehouse,,,,,
QA - First Fix,checklist,,,,,,Show Room,,,,,
QA - First Fix,checklist,,,,,,Managers Office,,,,,
QA - First Fix,checklist,,,,,,Trade Support Office,,,,,
QA - First Fix,checklist,,,,,,Customer Service Office,,,,,
QA - First Fix,checklist,,,,,,Inventory,,,,,
QA - First Fix,checklist,,,,,,ACC Toilet & Shower & Passage,,,,,
QA - First Fix,checklist,,,,,,Stairwell,,,,,
QA - First Fix,checklist,,,,,,Inwards Goods,,,,,
QA - First Fix,checklist,,,,,,Dispatch,,,,,
,step,,,,,Level 1,,,,,,
QA - First Fix,checklist,,,,,,Account Managers,,,,,
QA - First Fix,checklist,,,,,,Staff,,,,,
QA - First Fix,checklist,,,,,,Male Toilet,,,,,
QA - First Fix,checklist,,,,,,Female Toilet,,,,,
QA - First Fix,checklist,,,,,,Passage,,,,,
QA - First Fix,checklist,,,,,,Storage / Comms Room,,,,,
,step,,,,,Exterior,,,,,,
QA - First Fix,checklist,,,,,,Exterior ,,,,,
,step,,,,Second Fix,,,,,,,
,step,,,,,Ground Floor,,,,,,
QA - Second Fix,checklist,,,,,,Warehouse,,,,,
QA - Second Fix,checklist,,,,,,Show Room,,,,,
QA - Second Fix,checklist,,,,,,Managers Office,,,,,
QA - Second Fix,checklist,,,,,,Trade Support Office,,,,,
QA - Second Fix,checklist,,,,,,Customer Service Office,,,,,
QA - Second Fix,checklist,,,,,,Inventory,,,,,
QA - Second Fix,checklist,,,,,,ACC Toilet & Shower & Passage,,,,,
QA - Second Fix,checklist,,,,,,Stairwell,,,,,
QA - Second Fix,checklist,,,,,,Inwards Goods,,,,,
QA - Second Fix,checklist,,,,,,Dispatch,,,,,
,step,,,,,Level 1,,,,,,
QA - Second Fix,checklist,,,,,,Account Managers,,,,,
QA - Second Fix,checklist,,,,,,Staff,,,,,
QA - Second Fix,checklist,,,,,,Male Toilet,,,,,
QA - Second Fix,checklist,,,,,,Female Toilet,,,,,
QA - Second Fix,checklist,,,,,,Passage,,,,,
QA - Second Fix,checklist,,,,,,Storage / Comms Room,,,,,
,step,,,,,Exterior,,,,,,
QA - Second Fix,checklist,,,,,,Exterior ,,,,,
