type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Precast Components ITP,,,,,,,
section,Job Approval Documents/Construction Documents,,,,,,,
checkpoint,Received Construction drawing from Client,,,,,,,
checkpoint,"Shop drawings Prepared, reviewed and updated. Issued ""As For Construction""",,,,,,,
label,"All approvals, certificates, data warranties, guarantees, manuals, as-built drawings collected.",,,,,,,
section,Pre-Pour Check Approvals,,,,,,,
checkpoint-no-status,Formwork ,,,,,,,
checkpoint-no-status,Reinforcement (Reo),,,,,,,
checkpoint-no-status,Embedded Items and their placement,,,,,,,
checkpoint-no-status,Lift Procedure,,,,,,,
checkpoint-no-status,Concreting (mix design),,,,,,,
section,Test on Concrete (requests and approvals),,,,,,,
checkpoint-no-status,Request From Client,,,,,,,
checkpoint-no-status,Test schedule and Test Results,,,,,,,
section,Transport 01,,,,,,,
checkpoint,"Any Lifting, Loading, Transport Instructions from Client",,,,,,,
checkpoint,Transport Vehicle Approvals,,,,,,,
checkpoint,Ensure loads are glutted correctly and chains are over gluts.,,,,,,,
section,Transport 02,,,,,,,
checkpoint,"Any Lifting, Loading, Transport Instructions from Client",,,,,,,
checkpoint,Transport Vehicle Approvals,,,,,,,
checkpoint,Ensure loads are glutted correctly and chains are over gluts.,,,,,,,
section,Transport 03,,,,,,,
checkpoint,"Any Lifting, Loading, Transport Instructions from Client",,,,,,,
checkpoint,Transport Vehicle Approvals,,,,,,,
checkpoint,Ensure loads are glutted correctly and chains are over gluts.,,,,,,,
section,Transport 04,,,,,,,
checkpoint,"Any Lifting, Loading, Transport Instructions from Client",,,,,,,
checkpoint,Transport Vehicle Approvals,,,,,,,
checkpoint,Ensure loads are glutted correctly and chains are over gluts.,,,,,,,
section,Other Documentations,,,,,,,
checkpoint-no-status,Special Instructions,,,,,,,
checkpoint-no-status,Other,,,,,,,
section,Installation,,,,,,,
checkpoint,All PPE and safety requirements in place. Machinery inspections complete.,,,,,,,
checkpoint,"Notification of Inspection - all in accordance with approved shop drawings, correct size and location",,,,,,,
bool,Set out,,,,,,,
bool,Core Holes,,,,,,,
bool,Install dowels,,,,,,,
checkpoint,Pre approvals for the cast insitu concrete,,,,,,,
checkpoint,"Installation of precast panels including back propping. Correct location, connections, finish confirmed against shop drawings.",,,,,,,
checkpoint,Grouting and sealing,,,,,,,
checkpoint,Remove back propping when instructed by consulting Engineers.,,,,,,,
section,Final Inspection,,,,,,,
checkpoint,Wall + Wall + Roof (1),,,,,,,
checkpoint,Wall + Wall + Roof (2),,,,,,,
checkpoint,Wall + Wall + Roof (3),,,,,,,
checkpoint,Wall + Wall + Roof (4),,,,,,,
checkpoint,"All approvals, certificates, data warranties, guarantees, manuals, as-built drawings collected.",,,,,,,
,,,,,,,,
checklist,Checkers Checklist (Culvert 1),,,,,,,
section,Culvert Wall - C1-W1,,,,,,,
checkpoint,Availability of updated shop drawing,,,,,,,
checkpoint,Site Safety / Workers Safety,,,,,,,
checkpoint,Overall Measurements of construction Element,,,,,,,
bool,"Formwork Check - Magnets are 100% Secure, All supports,Ties,Bracing",,,,,,,
bool,"Formwork Check - Flatness, Levelness, Panel is clean",,,,,,,
bool,Formwork Check - Double check the measurement with Diagonal check,,,,,,,
bool,Apply Debonding agents -bond breaker or wax (1/2/3/ Coats),,,,,,,
checkpoint,"Reinforcement (Reo) placed, cleaned, tightened",,,,,,,
checkpoint,"Embedded Item -Placement, position, alignment",,,,,,,
bool,Concrete cover- 30mm,,,,,,,
bool,Lifters - 2 x Foot Anchor - 10t x 340mm,,,,,,,
bool,ID Plate,,,,,,,
checkpoint,Curing Procedure arranged,,,,,,,
checkpoint,Shape the concrete up to pipe invert level,,,,,,,
checkpoint,"Final Check, Photo Taken",,,,,,,
section,Culvert Wall - C1-W2,,,,,,,
checkpoint,Availability of updated shop drawing,,,,,,,
checkpoint,Site Safety / Workers Safety,,,,,,,
checkpoint,Overall Measurements of construction Element,,,,,,,
bool,"Formwork Check - Magnets are 100% Secure, All supports,Ties,Bracing",,,,,,,
bool,"Formwork Check - Flatness, Levelness, Panel is clean",,,,,,,
bool,Formwork Check - Double check the measurement with Diagonal check,,,,,,,
bool,Apply Debonding agents -bond breaker or wax (1/2/3/ Coats),,,,,,,
checkpoint,"Reinforcement (Reo) placed, cleaned, tightened",,,,,,,
checkpoint,"Embedded Item -Placement, position, alignment",,,,,,,
bool,Concrete cover- 30mm,,,,,,,
bool,Lifters - 2 x Foot Anchor - 10t x 340mm,,,,,,,
bool,ID Plate,,,,,,,
checkpoint,Curing Procedure arranged,,,,,,,
checkpoint,Shape the concrete up to pipe invert level,,,,,,,
checkpoint,"Final Check, Photo Taken",,,,,,,
section,Culvert Roof - C1-R,,,,,,,
checkpoint,Availability of updated shop drawing,,,,,,,
checkpoint,Site Safety / Workers Safety,,,,,,,
checkpoint,Overall Measurements of construction Element,,,,,,,
bool,"Formwork Check - Magnets are 100% Secure, All supports,Ties,Bracing",,,,,,,
bool,"Formwork Check - Flatness, Levelness, Panel is clean",,,,,,,
bool,Formwork Check - Double check the measurement with Diagonal check,,,,,,,
bool,Apply Debonding agents -bond breaker or wax (1/2/3/ Coats),,,,,,,
checkpoint,"Reinforcement (Reo) placed, cleaned, tightened",,,,,,,
checkpoint,"Embedded Item -Placement, position, alignment",,,,,,,
bool,Concrete cover- 30mm,,,,,,,
