"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"13480b33-6c14-4884-b64e-5372d6c60818","","work-in-progress","","folder","TRUE","FALSE","Checkers Checklist"
"8ad20940-ddfe-4390-9bf8-e4b5194b1087","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A9"
"2c634ce8-8888-4a86-b56b-ccf6fe13d58a","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A10"
"ec909ca0-199e-41d4-8cd7-21ec39747fa3","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A11"
"206d0fcc-da10-4b31-b7b8-1324a4be1aba","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A12"
"5643c571-3c4b-4250-9ed6-667a6f95fb83","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A13"
"8b36d382-7750-46bc-b4c7-70a5414df102","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A14"
"a8442842-81bc-4dae-aea1-21270914618b","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A15"
"61837e27-ed3a-46d1-9b97-ac6c60c03eea","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A16"
"125734c6-3150-4120-859d-71165ce0afe3","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A17"
"49fcc0bf-e74a-4d14-aaa1-68b869f3aff9","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A18"
"bc422343-f3b6-4c74-bb3b-24d713bd6bb7","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A19"
"dec3b637-1166-4c51-81f3-ef065bd3ad2d","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A20"
"3f7347b4-8489-4091-a4a0-a73835562363","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A21"
"fb993a7a-2955-409d-9200-315b8ae17d7c","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A22"
"00e0ae57-564d-4de6-9b2c-45244965872c","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A23"
"c4a261d0-e2a6-4ded-bad4-50358473e1a4","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A24"
"65714bfe-1b53-4193-ac9e-1ac6ea8432d8","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A25"
"66349ebe-c30d-4b92-94a8-4766318b4817","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A26"
"8e332970-60b0-4000-8c65-48aaf058fa42","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A27"
"248b6705-1c3c-4ab3-b922-ad46260cc5e7","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A28"
"cd4ee2a1-586f-4ffb-b5a8-78e4b02b450b","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A29"
"a376183f-4b5b-4070-bf9f-3d8ce9bb6b47","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A30"
"ee0bc37c-637c-4e90-8b3f-429976ea7ef9","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A31"
"ca4eb067-00f6-42d4-a6a5-6b088a3d2228","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A32"
"92f23276-650d-4812-8be0-175b33c26687","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A33"
"8d4b9141-a221-4c52-a58a-58ba740c8881","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A34"
"fa78ee39-38b9-4c19-976c-d92c855a2206","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A35"
"47bd535b-febb-4286-b7a4-b7ba1096bec2","","not-started","Checkers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Checkers Checklist","Base-A36"
