"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ba623038-b3cd-4e27-8c70-eeaeef4c2f6a","","work-in-progress","","folder","TRUE","FALSE","INSPECTION TEST PLAN / CHECK LIST"
"68a32001-3661-49cc-ba40-e8438f927464","","pass","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Panel No. PA-01"
"2e535864-4e02-44b6-859d-f5b722a1b4b6","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Panel No. PA-02"
"4e0eccf3-c37c-49e1-909e-d583cb53fdb6","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Panel No. PA-03"
"be317354-8717-4f2c-a521-ade911d9296c","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Panel No. PA-04"
"54199923-b102-4b6e-8695-1dd4c9ad7d15","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Panel No. PB-01"
"81c1a9c5-d07a-4c9c-8f22-abc8713f4b2c","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Panel No. PB-02"
"0f9e10e2-d784-4f08-b762-6140d3d64233","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Panel No. PB-03"
"52f806e9-58b9-4bf5-9756-60d227ef8ae4","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Panel No. PB-04"
"b1fb6b07-4a6a-40b6-9633-6120aebf03a4","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Panel No. PC-01"
"925ea46f-5bfc-4f8e-a9c5-1b138eb20142","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Panel No. PD-01"
"9d2faacf-2bcd-4ae8-a929-e105d8a67e7b","","pass","","folder","TRUE","FALSE","Checkers Checklist"
"d3a1748b-6048-4e98-9254-1defe12cc301","","pass","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","Panel No. PA-01"
"62626186-88dd-4fc0-978c-06ffa42e2993","","pass","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","Panel No. PA-02"
"038435b8-baa2-48f3-b1f9-cb768f2e7fb6","","pass","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","Panel No. PA-03"
"449deb09-ac10-4a5a-b74d-133f03d9f583","","pass","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","Panel No. PA-04"
"870027fa-c396-4039-af09-ba831ab5a65c","","pass","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","Panel No. PB-01"
"748d16b4-db7f-4c15-9535-6984620140ae","","pass","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","Panel No. PB-02"
"13b261a9-2075-48d0-b175-f30717a511c2","","pass","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","Panel No. PB-03"
"f5e1cef8-40f4-43c8-947f-54ab50011926","","pass","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","Panel No. PB-04"
"22ccf54b-714d-4bad-ab4c-46709b5aebfc","","pass","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","Panel No. PC-01"
"0caf064e-c831-4672-a564-e7a5d6adc6ba","","pass","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","Panel No. PD-01"
"71587858-55e3-4317-9f79-dd4b2964b0e0","","pass","","folder","TRUE","FALSE","Installers Checklist"
"0bf52a1f-ebd9-45d3-af3d-413921c05802","","pass","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","Panel No. PA-01"
"401ff7ee-ff7c-4079-9828-62eef2c54c19","","pass","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","Panel No. PA-02"
"8f92c1fd-7d5d-4c28-a431-82fbf23c827f","","pass","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","Panel No. PA-03"
"c1c8bccc-21b8-44cd-bede-663418679d14","","pass","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","Panel No. PA-04"
"da6e3d99-d565-4fbb-b078-3baa6e8b9cad","","pass","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","Panel No. PB-01"
"3c0fe666-54b2-4aed-b262-81af7da1c50f","","pass","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","Panel No. PB-02"
"51cd7148-bab2-4424-9430-47c081bebc0c","","pass","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","Panel No. PB-03"
"9f46b30e-bab4-4cc0-8566-ef4ff86fae9c","","pass","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","Panel No. PB-04"
"74edf310-3b5d-4dee-934b-c6755a217935","","pass","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","Panel No. PC-01"
"65f13fdd-f374-4f2f-ae2d-f1d62bcceb22","","pass","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","Panel No. PD-01"
