resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Manufacturing QA,,,,,,,,
,step,,,,Bldg A L1,,,,,,,
,step,,,,,Flooring,,,,,,
,step,,,,,Dispatch,,,,,,
Production Layout Sheet,checklist,,,,,Production Layout sheet,,,,,,
Dispatch Layout Sheet,checklist,,,,,Dispatch Layout Sheet,,,,,,
,step,,,,Bldg A L2,,,,,,,
,step,,,,,Flooring,,,,,,
,step,,,,,Dispatch,,,,,,
Production Layout Sheet,checklist,,,,,Production Layout sheet,,,,,,
Dispatch Layout Sheet,checklist,,,,,Dispatch Layout Sheet,,,,,,
,step,,,,Bldg A L3,,,,,,,
,step,,,,,Flooring,,,,,,
,step,,,,,Dispatch,,,,,,
Production Layout Sheet,checklist,,,,,Production Layout sheet,,,,,,
Dispatch Layout Sheet,checklist,,,,,Dispatch Layout Sheet,,,,,,
,step,,,,Bldg A L4,,,,,,,
,step,,,,,Flooring,,,,,,
,step,,,,,Dispatch,,,,,,
Production Layout Sheet,checklist,,,,,Production Layout sheet,,,,,,
Dispatch Layout Sheet,checklist,,,,,Dispatch Layout Sheet,,,,,,
,step,,,,Bldg B L1,,,,,,,
,step,,,,,Flooring,,,,,,
,step,,,,,Dispatch,,,,,,
Production Layout Sheet,checklist,,,,,Production Layout sheet,,,,,,
Dispatch Layout Sheet,checklist,,,,,Dispatch Layout Sheet,,,,,,
,step,,,,Bldg B L2,,,,,,,
,step,,,,,Flooring,,,,,,
,step,,,,,Dispatch,,,,,,
Production Layout Sheet,checklist,,,,,Production Layout sheet,,,,,,
Dispatch Layout Sheet,checklist,,,,,Dispatch Layout Sheet,,,,,,
,step,,,,Bldg B L3,,,,,,,
,step,,,,,Flooring,,,,,,
,step,,,,,Dispatch,,,,,,
Production Layout Sheet,checklist,,,,,Production Layout sheet,,,,,,
Dispatch Layout Sheet,checklist,,,,,Dispatch Layout Sheet,,,,,,
,step,,,,Bldg B L4,,,,,,,
,step,,,,,Flooring,,,,,,
,step,,,,,Dispatch,,,,,,
Production Layout Sheet,checklist,,,,,Production Layout sheet,,,,,,
Dispatch Layout Sheet,checklist,,,,,Dispatch Layout Sheet,,,,,,
,step,,,,Bldg C L1,,,,,,,
,step,,,,,Flooring,,,,,,
,step,,,,,Dispatch,,,,,,
Production Layout Sheet,checklist,,,,,Production Layout sheet,,,,,,
Dispatch Layout Sheet,checklist,,,,,Dispatch Layout Sheet,,,,,,
,step,,,,Bldg C L2,,,,,,,
,step,,,,,Flooring,,,,,,
,step,,,,,Dispatch,,,,,,
Production Layout Sheet,checklist,,,,,Production Layout sheet,,,,,,
Dispatch Layout Sheet,checklist,,,,,Dispatch Layout Sheet,,,,,,
,step,,,,Bldg C L3,,,,,,,
,step,,,,,Flooring,,,,,,
,step,,,,,Dispatch,,,,,,
Production Layout Sheet,checklist,,,,,Production Layout sheet,,,,,,
Dispatch Layout Sheet,checklist,,,,,Dispatch Layout Sheet,,,,,,
,step,,,,Bldg C L4,,,,,,,
,step,,,,,Flooring,,,,,,
,step,,,,,Dispatch,,,,,,
Production Layout Sheet,checklist,,,,,Production Layout sheet,,,,,,
Dispatch Layout Sheet,checklist,,,,,Dispatch Layout Sheet,,,,,,
Precast Compliance Documents,checklist,,,Precast Compliance Documents,,,,,,,,
