resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,B2,,,,,,,,
,step,,,,Retail,,,,,,,
"ITP 174 Fit Off-Power, Switches & Accessories",checklist,,,,,"ITP 174 Fit Off-Power, Switches & Accessories",,,,,,
SYS - Documents,checklist,,,,,"Attach - Fit Off-Power, Switches & Accessories ITC 174.1",,,,,,
,step,,,,Commercial,,,,,,,
"ITP 174 Fit Off-Power, Switches & Accessories",checklist,,,,,"ITP 174 Fit Off-Power, Switches & Accessories",,,,,,
SYS - Documents,checklist,,,,,"Attach - Fit Off-Power, Switches & Accessories ITC 174.1",,,,,,
,step,,,B1,,,,,,,,
,step,,,,Retail,,,,,,,
"ITP 174 Fit Off-Power, Switches & Accessories",checklist,,,,,"ITP 174 Fit Off-Power, Switches & Accessories",,,,,,
SYS - Documents,checklist,,,,,"Attach - Fit Off-Power, Switches & Accessories ITC 174.1",,,,,,
,step,,,,Commercial,,,,,,,
"ITP 174 Fit Off-Power, Switches & Accessories",checklist,,,,,"ITP 174 Fit Off-Power, Switches & Accessories",,,,,,
SYS - Documents,checklist,,,,,"Attach - Fit Off-Power, Switches & Accessories ITC 174.1",,,,,,
,step,,,R2,,,,,,,,
,step,,,,Retail,,,,,,,
"ITP 174 Fit Off-Power, Switches & Accessories",checklist,,,,,"ITP 174 Fit Off-Power, Switches & Accessories",,,,,,
SYS - Documents,checklist,,,,,"Attach - Fit Off-Power, Switches & Accessories ITC 174.1",,,,,,
,step,,,,Commercial,,,,,,,
"ITP 174 Fit Off-Power, Switches & Accessories",checklist,,,,,"ITP 174 Fit Off-Power, Switches & Accessories",,,,,,
SYS - Documents,checklist,,,,,"Attach - Fit Off-Power, Switches & Accessories ITC 174.1",,,,,,
,step,,,R3,,,,,,,,
,step,,,,Retail,,,,,,,
"ITP 174 Fit Off-Power, Switches & Accessories",checklist,,,,,"ITP 174 Fit Off-Power, Switches & Accessories",,,,,,
SYS - Documents,checklist,,,,,"Attach - Fit Off-Power, Switches & Accessories ITC 174.1",,,,,,
,step,,,,Commercial,,,,,,,
"ITP 174 Fit Off-Power, Switches & Accessories",checklist,,,,,"ITP 174 Fit Off-Power, Switches & Accessories",,,,,,
SYS - Documents,checklist,,,,,"Attach - Fit Off-Power, Switches & Accessories ITC 174.1",,,,,,
,step,,,R4,,,,,,,,
,step,,,,Retail,,,,,,,
"ITP 174 Fit Off-Power, Switches & Accessories",checklist,,,,,"ITP 174 Fit Off-Power, Switches & Accessories",,,,,,
SYS - Documents,checklist,,,,,"Attach - Fit Off-Power, Switches & Accessories ITC 174.1",,,,,,
,step,,,,Commercial,,,,,,,
"ITP 174 Fit Off-Power, Switches & Accessories",checklist,,,,,"ITP 174 Fit Off-Power, Switches & Accessories",,,,,,
SYS - Documents,checklist,,,,,"Attach - Fit Off-Power, Switches & Accessories ITC 174.1",,,,,,
,step,,,R5,,,,,,,,
,step,,,,Retail,,,,,,,
"ITP 174 Fit Off-Power, Switches & Accessories",checklist,,,,,"ITP 174 Fit Off-Power, Switches & Accessories",,,,,,
SYS - Documents,checklist,,,,,"Attach - Fit Off-Power, Switches & Accessories ITC 174.1",,,,,,
,step,,,,Commercial,,,,,,,
"ITP 174 Fit Off-Power, Switches & Accessories",checklist,,,,,"ITP 174 Fit Off-Power, Switches & Accessories",,,,,,
SYS - Documents,checklist,,,,,"Attach - Fit Off-Power, Switches & Accessories ITC 174.1",,,,,,
,step,,,R6,,,,,,,,
,step,,,,Retail,,,,,,,
