type,name,values,prefix,postfix,usage count,user addable,template name
checklist,ITP-003 - Electrical and Communication Conduit Rev2,itp,,,,,ITP-003 - Electrical and Communication Conduit Rev2
section,Preliminary Works,,,,,,
checkpoint,1.1 Check for correct documentation,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,
label,ACCEPTANCE CRITERIA: Employees and sub contractors shall be issued with the most current and complete construction drawings,,,,,,
label,REFERENCE DOCUMENTS: Drawings and drawing registers,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,
label,HP*,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,
textbox,Date Completed: ,,,,,,
checkpoint,1.2 Implementation of all measures and controls,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,
label,"ACCEPTANCE CRITERIA: All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, JSEA, SWMS & WP",,,,,,
label,"REFERENCE DOCUMENTS: PSP, EMP, TMP, JSEA, SWMS, WP",,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,
label,HP*,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,
textbox,Date Completed: ,,,,,,
checkpoint,1.3 Materials,,,,,,
label,FREQUENCY: Per Batch,,,,,,
label,ACCEPTANCE CRITERIA: Electrical supply conduit to be Orange and rigid HD UPVC of sizes as required.,,,,,,
label,○ Communications conduit to be White and rigid UPVC of either 32 or 50mm size or larger as required.,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 cl 4.4.1 AS 2053,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,
label,RECORD OF CONFORMITY: This ITP signed,,,,,,
label,HP*,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,
textbox,Date Completed: ,,,,,,
section,Construction Works,,,,,,
checkpoint,2.1 Survey set-out,,,,,,
label,FREQUENCY: As required,,,,,,
label,ACCEPTANCE CRITERIA: Work is set out in accordance with drawings.,,,,,,
label,REFERENCE DOCUMENTS: Work procedure,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,
label,RECORD OF CONFORMITY: This ITP signed,,,,,,
label,HP*,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,
textbox,Date Completed: ,,,,,,
checkpoint,2.2 Excavation and Trenching,,,,,,
label,FREQUENCY: Prior to Installation,,,,,,
label,ACCEPTANCE CRITERIA: Minimum cover for underground conduits shall be 600mm,,,,,,
label,"○ Open trenching only permitted in unpaved areas, line of trench to be at right angle to the track",,,,,,
label,○ Trench shall maintain a minimum clearance of 300mm from all existing services where possible,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 cl 4.2.5 & 4.2.8,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,
label,RECORD OF CONFORMITY: This ITP signed,,,,,,
label,WP,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,
textbox,Date Completed: ,,,,,,
checkpoint,2.3 Installation of Conduits and pits,,,,,,
label,FREQUENCY: Each Lot,,,,,,
label,ACCEPTANCE CRITERIA: Conduits in the same run shall be spaced 50mm by using clean sand to pack voids,,,,,,
label,○ Conduit shall be embedded in not less than 50mm sand and covered by >50mm - 75mm< sand,,,,,,
label,"○ Mechanical protection shall be provided by installation of polymeric cable or cover strip of thickness not less than 3mm, and of a material equivalent of UPVC conduit complying to AS 2053. Protective material shall be placed not less than 100mm above the conduit, and shall not be less than 150mm wide.",,,,,,
label,○ Conduits shall be joined male to female ends and sealed with approved adhesive immediately prior to joining.,,,,,,
label,○ Conduits shall not be subject to construction loadings,,,,,,
label,○ Bottom of lowest conduit shall maintain a minimum 100mm above pit floor,,,,,,
label,○ Conduits shall be capped with UPVC electrical caps,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 cl 4.4,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,
label,RECORD OF CONFORMITY: This ITP signed,,,,,,
label,WP,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer/ YT,,,,,,
textbox,Date Completed: ,,,,,,
checkpoint,2.4 Inspection of conduit installation,,,,,,
label,FREQUENCY: Each Lot,,,,,,
label,ACCEPTANCE CRITERIA: Laying of conduits and installation of pits shall be inspection by superintendent and conform to design drawings before any backfilling procedure is to commence,,,,,,
label,REFERENCE DOCUMENTS: Work procedure,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed,,,,,,
label,*HP,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer/YT,,,,,,
textbox,Date Completed: ,,,,,,
checkpoint,2.5 Back Fill of Trenches,,,,,,
label,FREQUENCY: Each Lot,,,,,,
label,ACCEPTANCE CRITERIA: Backfilling (for trenching or road crossings),,,,,,
label,"○ Conduit trench shall be backfilled above marker tape with crushed rock or suitable excavated material and compacted to 90% standard compaction 150mm-200mm below sub base level, the last 150mm-200mm shall be compacted to 100% standard compaction using handheld mechanical plant",,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 cl 4.2.5,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,
label,RECORD OF CONFORMITY: This ITP signed,,,,,,
label,IP,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,
textbox,Date Completed: ,,,,,,
checkpoint,2.6 Installation of Draw Cords,,,,,,
label,FREQUENCY: Each Lot,,,,,,
label,"ACCEPTANCE CRITERIA: Draw wire shall be provided for each conduit, with extra 3m length at each pit, material to be used shall be 6mm 'telstra rope'",,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 cl 4.4.6.2,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,
label,RECORD OF CONFORMITY: This ITP signed,,,,,,
label,IP,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,
textbox,Date Completed: ,,,,,,
checkpoint,2.7 Compaction,,,,,,
label,FREQUENCY: Each Lot,,,,,,
label,ACCEPTANCE CRITERIA: During compaction optimum moisture content of bedding and select fill is within 85% to 115% as provided by suppliers,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 cl 4.2.8,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,
label,RECORD OF CONFORMITY: This ITP signed,,,,,,
label,HP*,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,
textbox,Date Completed: ,,,,,,
checkpoint,Final Inspection,,,,,,
label,The signature below verifies that this ITP has been completed in accordance with the FH’s Quality system Procedures and verifies lot compliance with specifications.,,,,,,
textbox,Print Name:,,,,,,
textbox,Position:,,,,,,
textbox,Date:,,,,,,
