type,name,values,prefix,postfix,usage count,user addable,template name
checklist,ITP-007 - Concrete Track Slab Pour Rev2,itp,,,,,ITP-007 - Concrete Track Slab Pour Rev2
section,Preliminary Works,,,,,,
checkpoint,1.1 Check for correct documentation,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,
label,ACCEPTANCE CRITERIA: Ensure that all employees and subcontractors are:,,,,,,
label,– using the correct and complete set of drawings,,,,,,
label,– all drawings are the latest revision,,,,,,
label,REFERENCE DOCUMENTS: Drawings and drawing registers,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,
label,HP*,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,
textbox,Date Completed:,,,,,,
checkpoint,1.2 Submission & Approval of Concrete Mix Design Prior to Commencement of Project,,,,,,
label,FREQUENCY: Prior to first concrete pour,,,,,,
label,ACCEPTANCE CRITERIA: Concrete mix design submitted and approved at least 2 weeks prior to first pour.,,,,,,
label,○ Mix shall be minimum 460 kg/m3 cement content (for special 50 mix).,,,,,,
label,"○ Concrete shall be manufactured, transported and handled in accordance with the requirements of AS 3600 & AS 1379",,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,
label,RECORD OF CONFORMITY: Mix Design ITP,,,,,,
label,HP*,,,,,,
label,RESPONSIBILITY: FH Engineer / Superintendent,,,,,,
textbox,Date Completed:,,,,,,
section,Construction Works,,,,,,
checkpoint,2.1 Weather Monitoring,,,,,,
label,FREQUENCY: Prior to start,,,,,,
label,ACCEPTANCE CRITERIA: Placing of concrete shall not occur while ambient air temperature is <5°C or > 35°C without permission of the Superintendent,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 CL 4.7.10,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,
label,HP,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer / YT Superintendent,,,,,,
textbox,Date Completed:,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,2.2 Surface Preperation,,,,,,
label,FREQUENCY: Prior to start,,,,,,
label,ACCEPTANCE CRITERIA: Crush rock surfaces shall be moist and thouroughly cleaned of all foreign and loose matter prior to pour,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,
label,IP,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer / Foreman,,,,,,
textbox,Date Completed:,,,,,,
checkpoint,2.3 Setting Out,,,,,,
label,FREQUENCY: Prior to start,,,,,,
label,"ACCEPTANCE CRITERIA: Set out work in accordance with drawings, concrete shall be constructed accurately to these specifications. No survey/level pegs to be removed by any persons until completion of works.",,,,,,
label,"○ Screed heights shall be set out to achieve the design levels specified in the drawings, and the correct pavement layer thickness",,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,
label,IP,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer / YT Superintendent,,,,,,
textbox,Date Completed:,,,,,,
checkpoint,2.4 Formwork,,,,,,
label,FREQUENCY: Prior to start,,,,,,
label,"ACCEPTANCE CRITERIA: Formwork shall be straight, free from kinks and bends, and shall be secured to eliminate possibility of movement during concrete placement.",,,,,,
label,"○ The formwork shall be placed true to shape, alignment, grade and level to the concrete shown in the construction drawings.",,,,,,
label,○ Forms shall not be stripped until the concrete has hardened to the satisfaction of the Superintendent.,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 CL 4.7.9,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,
label,WP,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,
textbox,Date Completed:,,,,,,
checkpoint,2.5 Reinforcement,,,,,,
label,FREQUENCY: Where Required,,,,,,
label,ACCEPTANCE CRITERIA: Ensure that all reinforcement is placed as specified by construction drawings.,,,,,,
label,"○ All placed reinforcement shall be clean and free from grease, tar, oil, paint, mud, loose or thick rust, etc.",,,,,,
label,○ Reinforcing fabric sheets shall be handled so that they remain free from distortion. They shall be lapped and tied with wire at a maximum spacing of 500 mm.,,,,,,
label,○ Reinforcement shall be terminated 75 to 80 mm from dowelled contraction joints.,,,,,,
label,"○ Reinforcement shall terminate at least 40 mm and not more than 80 mm from longitudinal construction joints, or pavement edges.",,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 CL 4.7.7,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,
label,IP,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,
textbox,Date Completed:,,,,,,
checkpoint,2.6 Dowels,,,,,,
label,FREQUENCY: Where Required,,,,,,
