type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,ITP-009 - Waterproofing,itp,,,,,ITP-009 - Waterproofing Rev2,
section,1 - Preliminary Works,,,,,,,
checkpoint,1.1 Check for correct documentation,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure that all employees and subcontractors are:,,,,,,,
label,– using the correct and complete set of drawings,,,,,,,
label,– all drawings are the latest revision,,,,,,,
label,REFERENCE DOCUMENTS: Drawings and drawing registers,,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,
label,HP*,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,
textbox,Date Completed:,,,,,,,
checkpoint,1.2 Submission & Approval of waterproofing materials and procedures.,,,,,,,
label,FREQUENCY: Prior to commencing any waterproofing activity.,,,,,,,
label,ACCEPTANCE CRITERIA: Waterproofing systems shall not take place untill the Contractor's proposed materials and procedures and surface preparation in accordance with Section 691.08 and have been reviewed and accepted by the Superintendent.,,,,,,,
label,REFERENCE DOCUMENTS: DTP Section 691.05,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,
label,HP*,,,,,,,
label,RESPONSIBILITY: FH Engineer / Superintendent,,,,,,,
textbox,Date Completed:,,,,,,,
section,2 - Construction Works,,,,,,,
checkpoint,2.1 Weather Monitoring,,,,,,,
label,FREQUENCY: Prior to start,,,,,,,
label,ACCEPTANCE CRITERIA: Waterproofing systems shall not be applied under any of the following conditions: ,,,,,,,
label,(a) windy conditions where over spray and/or spatter may be generated.,,,,,,,
label,(b) when wind-borne debris is likely to contaminate the uncured surface of the freshly applied membrane.,,,,,,,
label,"(c) when the ambient temperature exceeds 35°C or below 10°C, unless specified in writing by the manufacturer.",,,,,,,
label,(d) when the humidity exceeds 85% or where it may exceed 85% during the 12 hour curing period. ,,,,,,,
label,"(e) when rain spatter or run-off, including leakage through deck joints may contaminate the surface affecting the adhesion of the substrate. ",,,,,,,
label,"(f) when the substrate is wet or damp, unless the waterproofing system is required to be applied on damp concrete in accordance with clause 691.05",,,,,,,
label,(g) the surface temperature of the substrate is less than 3°C above the dew point calculated in accordance with AS/NZS 2312 (Fig. 8.1) or exceeds 40°C.,,,,,,,
label,REFERENCE DOCUMENTS: DTP Section 691.14,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,
label,HP,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer / YT Superintendent,,,,,,,
textbox,Date Completed:,,,,,,,
holdpoint,HOLD POINT AUTHORITY,,,,,,,
checkpoint,2.2 Trial Application,,,,,,,
label,"ACCEPTANCE CRITERIA: A trial application of the waterproofing membrane system shall be conducted on a test area of the actual substrate of not less than 10m2. The test area shall be prepared and membrane applied by the Contractor to satisfy the requirements of clause 691.08, 691.09, 691.14,691.17 and 691.18",,,,,,,
label,REFERENCE DOCUMENTS: DTP Section 691.16,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,
label,HP,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer / YT Superintendent,,,,,,,
textbox,Date Completed:,,,,,,,
holdpoint,HOLD POINT AUTHORITY,,,,,,,
checkpoint,2.3 Surface Preperation,,,,,,,
label,FREQUENCY: Prior to start,,,,,,,
label,ACCEPTANCE CRITERIA: The surface preperation shall be done in accordance with manufacturer's recommendations for the waterproofing membrane system. ,,,,,,,
label,"○ Concrete surfaces shall be dry, clean, sound and free of dust or loose particles. Weak or loose surface layers shall be removed and repaired in accordance with DTP Section 689. Rough spots shall be removed with an angle grinder. ",,,,,,,
label,"○ Primer shall be applied in accordance with manufacturer's recommendations and installed by using a brush, mop, broom or spray.",,,,,,,
label,○ Only areas where the waterproofing membrane is to be applied on the same day is to be primed.,,,,,,,
label,REFERENCE DOCUMENTS: DTP Section 691.08,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,
label,HP,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer / YT Superintendent / DTP Representative,,,,,,,
textbox,Date Completed:,,,,,,,
holdpoint,HOLD POINT AUTHORITY,,,,,,,
checkpoint,2.3 Installation of Waterproofing Membrane,,,,,,,
label,FREQUENCY: Where Required,,,,,,,
label,ACCEPTANCE CRITERIA: ○Waterproofing membrane shall be applied and prepared in accordance with manufacturer's recommendations.,,,,,,,
label,○ The waterproofing membrane must form a seamless film with uniform thickness and complete coverage.,,,,,,,
label,○ Coverage of the waterproofing membrane must be continuous over the entire deck area. ,,,,,,,
label,"○ Sidelaps shall be 80mm and end laps shall be 120mm to ensure membrane is waterproof, as per manufacturers instructions. ",,,,,,,
label,○ Waterproofing membrane shall not be installed on wet concrete surfaces.,,,,,,,
