"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"eb87676a-9d9d-4c82-84ae-41e2ffe820fd","","pass","","folder","TRUE","FALSE","ITP-001 - Subgrade Preparation"
"8151d2b5-f5eb-407b-94c9-206407c4f58f","","pass","ITP-001 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","ITP-001 - Subgrade Preparation","ITP-001 - Subgrade Preparation - CH1505 - CH990 (29/06/24)"
"d62abeec-703a-410f-acd0-56a4fb991fb6","","pass","ITP-001 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","ITP-001 - Subgrade Preparation","ITP-001 - Subgrade Preparation - CH990 - CH690 (30/06/24)"
"4418058a-8c73-437f-862f-37b0e0acccdb","","pass","ITP-001 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","ITP-001 - Subgrade Preparation","ITP-001 - Subgrade Preparation CH690 - 350 (1/07/24)"
"964cbfcc-d13b-42ed-aca7-03634dfae866","","pass","ITP-001 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","ITP-001 - Subgrade Preparation","ITP-001 - Subgrade Preparation CH350 - CH95 (2/07/24)"
"407712ee-4115-484a-beae-fc19c9b5f095","","pass","","folder","TRUE","FALSE","ITP-002 - Feeder conduits and pits"
"13a5ad6c-08a1-4623-afec-00ef49900bff","","pass","ITP-002 - Feeder Conduits and Pits Rev2","checklist","FALSE","FALSE","ITP-002 - Feeder conduits and pits","ITP-002 - Feeder Conduits and Pits - CH1505 - 990 (29/06/24)"
"fc6b59e1-64c6-4f2a-ad5f-727aa30cd472","","pass","ITP-002 - Feeder Conduits and Pits Rev2","checklist","FALSE","FALSE","ITP-002 - Feeder conduits and pits","ITP-002 - Feeder Conduits and Pits - CH990 - CH690 (30/06/24)"
"f9b26f06-8fd0-42dc-baa3-62eefe7c4b09","","pass","ITP-002 - Feeder Conduits and Pits Rev2","checklist","FALSE","FALSE","ITP-002 - Feeder conduits and pits","ITP-002 - Feeder Conduits and Pits - CH690 - CH350 (1/07/24) "
"3495c3fc-a946-4e8f-8aa9-16910fdbccb9","","pass","ITP-002 - Feeder Conduits and Pits Rev2","checklist","FALSE","FALSE","ITP-002 - Feeder conduits and pits","ITP-002 - Feeder Conduits and Pits CH350 - CH95 (2/07/24)"
"52b590c9-929e-4261-ad21-f84d67594de2","","pass","","folder","TRUE","FALSE","ITP-004a - Class 2 Base Course Placement"
"837ed0c9-b05e-42c8-ab01-feb07b6a9029","","pass","ITP-004a - Class 2 Base Course Placement Rev2","checklist","FALSE","FALSE","ITP-004a - Class 2 Base Course Placement","ITP-004a - Class 2 Base Course Placement - CH1505 - CH990 "
"7a4c02d6-ac2e-44f2-96d2-b8483e50d3e7","","pass","ITP-004a - Class 2 Base Course Placement Rev2","checklist","FALSE","FALSE","ITP-004a - Class 2 Base Course Placement","ITP-004a - Class 2 Base Course Placement CH800 - CH400 "
"33fda384-1588-49a2-920a-a0d4572de5a3","","pass","ITP-004a - Class 2 Base Course Placement Rev2","checklist","FALSE","FALSE","ITP-004a - Class 2 Base Course Placement","ITP-004a - Class 2 Base Course Placement CH100-400"
"25c4239a-cd2d-4650-b661-aab5ed99661c","","pass","","folder","TRUE","FALSE","ITP-005 -Track Drains"
"2b85194e-cb74-4d3c-a379-0bcb7ae6191a","","pass","ITP-005 -Track Drains","checklist","FALSE","FALSE","ITP-005 -Track Drains","ITP-005 -Track Drains"
"b293f647-58d1-41f7-9e83-89548d91ee21","","pass","","folder","TRUE","FALSE","ITP-006 - Track Placement"
