"Id","Type","Name","Values","Prompting Name","Postfix","Usage Count","Resource Id"
"5e8561d6-9f47-4844-b608-663b0c000238/1","checklist","ITP-001 - Clearing & Grubbing","itp","ITP-001 - Clearing & Grubbing",,1,"69e1f281-eda5-422b-bf8f-20c469c5df7a"
"018eeb26-7017-47c3-82ee-7c9cf91d7117","section","Preliminary Works",,,,,
"e0b5c2c5-22b0-45b8-9cfd-e15df7417b19","checkpoint","1.1 Check for correct documentation",,,,,
"87c6ede2-acc1-52e1-99d7-bbe02bbf2bbf","note","FREQUENCY: Prior to commencing any activity",,,,,
"57aaf374-1e01-5844-b21e-f94bee7ebecc","note","ACCEPTANCE CRITERIA: Ensure that all employees and subcontractors are:",,,,,
"b09c081c-b826-567d-9fb3-4dd633e9576d","note","– using the correct and complete set of drawings",,,,,
"52437762-88cb-5094-a29a-09837c206261","note","– all drawings are the latest revision",,,,,
"38b5832f-61e1-5f87-a9ee-831eee3f8381","note","REFERENCE DOCUMENTS: Drawings and drawing registers",,,,,
"07bf528b-7b57-5726-9f89-9d94b1aeae3d","note","INSPECTION/TEST METHOD: Visual inspection",,,,,
"2c41ce30-4c50-5010-a0e7-ed411cc2bd14","note","RECORD OF CONFORMITY: This ITP signed",,,,,
"263420ca-3fb7-52d1-87fd-a0c1d3751dab","note","HP*",,,,,
"bd32b309-557a-58da-9f13-1c2b7f4dae54","note","RESPONSIBILITY: Site Engineer / Site Foreman",,,,,
"022b1350-6b87-5077-abc3-bf8e038e1f4f","textbox","Date Completed:",,,,,
"a8edecd6-f993-4cbf-9156-22c64137703d","checkpoint","1.2 Implementation of all measures and controls",,,,,
"89535cff-c367-54ad-8f20-be4a45c8740e","note","FREQUENCY: Prior to commencing any activity",,,,,
"dfb577c3-33c8-5ce0-85fb-993cd5c22d63","note","ACCEPTANCE CRITERIA: All necessary measures and controls are being implemented, that is: OHSCP, PHSCP, PCMP, EMP, ECP, CEMP, ERA, QMP, CHMP, SWMS",,,,,
"7e612abd-ac67-5bf5-96e3-daf5ce30daf7","note","REFERENCE DOCUMENTS: OHSCP, PHSCP, PCMP, EMP, ECP, CEMP, ERA, QMP, CHMP, SWMS",,,,,
"dc052b98-0106-5ea9-b34e-937fd8f1d341","note","INSPECTION/TEST METHOD: Visual Inspection",,,,,
"1676f665-9d3c-5eca-b244-e1b92dc71c5d","note","RECORD OF CONFORMITY: This ITP signed",,,,,
"88fc10cd-a67f-53ce-9791-2003a01d02a5","note","HP*",,,,,
"17b66d3a-eddc-5790-8187-4f31d776374f","note","RESPONSIBILITY: Site Engineer / Site Foreman",,,,,
"eeeb3d7c-d78e-5f24-a005-8ea9de6bf203","textbox","Date Completed:",,,,,
"4a5d6e72-3e8b-47ad-81e6-7daf5639f2e7","checkpoint","1.3 Flora & Fauna",,,,,
"cf78026b-0280-560f-9b6f-024760d9205f","note","FREQUENCY: Prior to commencing clearing",,,,,
"d8e6ab1b-94be-506d-bfdd-3474f9d638e6","note","ACCEPTANCE CRITERIA: A qualified ecologist and/or botanist has examined trees to be removed and/or any fallen logs affected by works and provided written clearance for removal; has provided advice on alternative fauna habitat sites if applicable and be present on the site during any relocation works if required.",,,,,
"d7b74db4-02a6-5f35-bb24-015baa700504","note","REFERENCE DOCUMENTS: EMP, ECP",,,,,
"5b1e8cfe-9ea9-510e-9b34-2d97c7b9136d","note","INSPECTION/TEST METHOD: Visual Inspection",,,,,
"688cfb64-8706-5977-95d7-2667d9141d95","note","RECORD OF CONFORMITY: This ITP Signed off",,,,,
"8f029120-14c9-56ce-a832-cd0b90640f37","note","IP",,,,,
"be759124-8baa-5a0e-96d9-57fa328ebdc8","note","RESPONSIBILITY: Site Engineer / Site Foreman",,,,,
"84591c23-a3e4-52fd-a1b2-a7978a2f235b","textbox","Date Completed:",,,,,
"42c3d241-7bff-42fe-8bd3-57b4d0f6e506","checkpoint","1.4 Permit to distrurb flora & fauna",,,,,
"58bf8b32-2a48-50f7-8867-dc13bae90685","note","FREQUENCY: Prior to commencing clearing",,,,,
"941b5513-c76c-50ee-b691-f574ea78efcd","note","ACCEPTANCE CRITERIA: MRPA has already obtained permits and/or approvals to disturb flora/fauna sites. Ensure that a copy of these permits are obtained prior to the commencement of tree removal works.",,,,,
"12a82dde-e74b-5a40-94fb-f41bdc7789c9","note","REFERENCE DOCUMENTS: EMP, ECP",,,,,
"5a6b1e5f-3a8b-5bec-acd2-ef4eece7f2f6","note","INSPECTION/TEST METHOD: Visual Inspection",,,,,
"66bcf677-4370-50c2-b82d-152ef3255cc8","note","RECORD OF CONFORMITY: This ITP Signed off",,,,,
"962a7e44-0729-5ee7-8c17-f6b4c89bab74","note","IP",,,,,
"a223fa89-bf80-5ee6-bb0e-591705d5fb3c","note","RESPONSIBILITY: Project Engineer",,,,,
"2de8558c-ac56-59c4-9f00-7ffac68c7618","textbox","Date Completed:",,,,,
"def6dcf0-f577-492e-929f-2fbf9d2b8dfc","section","Clear & Grub",,,,,
"365350e7-a704-4b3e-8ee0-94f3334fe51b","checkpoint","2.1 Define work area",,,,,
"8ba73e86-5c1b-5eae-98e3-cbfec35a51cc","note","FREQUENCY: Prior to commencing clearing",,,,,
"dd1baa09-0dba-539a-85fe-c9e055ffca74","note","ACCEPTANCE CRITERIA: The work area has been determined, and the extent of clear and grub has been reviewed by Fulton Hogan and the Superintendent. Any trees to be removed have been clearly marked and confirmed on site.",,,,,
"26e7be4f-20bf-5037-af2f-3403f228fefe","note","REFERENCE DOCUMENTS: 201.03",,,,,
"78a2a894-380a-5d9d-9198-a7379f0a1c04","note","INSPECTION/TEST METHOD: Inspect",,,,,
"79aab02c-dbc4-5823-89ef-01148b439ec9","note","RECORD OF CONFORMITY: This ITP Signed off",,,,,
"825707cf-7bdc-5f3a-a1bb-c7b13fcbb0d3","note","WP",,,,,
"652aa638-9faa-5f92-90ca-ed877be14213","note","RESPONSIBILITY: Project Engineer/ Superintendent",,,,,
"874828a9-fac3-5893-be16-db43b39bbd4b","textbox","Date Completed:",,,,,
"584edb24-f8ae-4f52-8643-a50a9f676d51","checkpoint","2.2 Joint Inspection to Mark vegetation or habitat to be removed",,,,,
"12dacde0-3f4c-5e0d-b638-0c0b31d87abb","note","FREQUENCY: Prior to commencing clearing",,,,,
"31098ad4-021e-530b-b9e7-b4e048941a54","note","ACCEPTANCE CRITERIA: Prior to removing any vegetation or habitat, the Contractor shall arrange an on-site inspection with the Superintendent to confirm and clearly identify and mark trees to be removed, consistent with Appendix O Tree Assessment Report.",,,,,
"d799c555-c6f1-5115-9f5f-9501482bfa84","note","REFERENCE DOCUMENTS: Drawings 201.10",,,,,
"f2e54739-88ea-5405-b46f-0a6e6c19d582","note","INSPECTION/TEST METHOD: Visual Inspection",,,,,
"0f4d4e33-d773-5c05-be38-a057f33362e0","note","RECORD OF CONFORMITY: This ITP Signed off",,,,,
"9fca5fb5-d51e-552a-b367-4a4711d0104b","note","HP",,,,,
"d739ffc4-e289-5457-9470-798f6cc3e215","note","RESPONSIBILITY: Project Engineer/ Superintendent",,,,,
"8da5a609-6bc9-56b1-b40e-d48bdcda5fba","textbox","Date Completed:",,,,,
"8329e32f-ac78-4386-b1b4-1127e6359038","signoff","AUTHORITY HOLDPOINT",,,,,
