"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4da59e15-0d2f-4374-b810-7434988120dd","","work-in-progress","","folder","TRUE","FALSE","Enabling Works"
"cea7c03b-c32b-448b-b57f-fa7c45a438ff","","work-in-progress","","folder","TRUE","FALSE","Enabling Works","Crane Pads"
"21f916cc-9d83-4f6b-b83e-f305dcec4a89","","work-in-progress","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Enabling Works","Crane Pads","1.1.1 - Northern Crane Pad - Compliance Record"
"4d4f044b-a194-4d10-8ffe-f59ae7fba62f","","work-in-progress","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Enabling Works","Crane Pads","1.1.2 - Southern Crane Pad - Compliance Record"
"864d6013-66fc-4f3d-932e-0664e40abe70","","work-in-progress","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Enabling Works","Crane Pads","1.1.3 - Internal Crane Pad - Compliance Record"
"81bb6e76-e40d-4449-a1fe-7199b106910b","","pass","","folder","TRUE","FALSE","Enabling Works","Earthworks"
"35b9a7e3-0bc6-458b-b097-05f34393ca3c","","pass","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Enabling Works","Earthworks","1.2.1 Subgrade Earthworks - Compliance Record"
"b48b5ce0-47a9-4dc0-b73f-01475fca3f62","","pass","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Enabling Works","Earthworks","1.2.2 Bulk Fill - Compliance Record"
"37311110-4157-49ff-94d6-efffc1f86110","","work-in-progress","","folder","TRUE","FALSE","MSE Wall"
"4fd3239e-9120-4ff3-b1ca-3648bed61120","","work-in-progress","","folder","TRUE","FALSE","MSE Wall","Gabion Wall & Geogrid"
"020daabb-a155-46e6-8eac-6a24e9d6cc2b","","work-in-progress","FHIMS-QA-6013-ITP-Gabion Retaining Wall","checklist","FALSE","FALSE","MSE Wall","Gabion Wall & Geogrid","2.1.1 - Layer 1 - MSE wall"
"2462408a-27f5-4d8d-b310-34485fdbee74","","work-in-progress","FHIMS-QA-6013-ITP-Gabion Retaining Wall","checklist","FALSE","FALSE","MSE Wall","Gabion Wall & Geogrid","2.1.2 - Layer 2 - MSE wall"
"5f828b37-3ef9-49b6-beb1-1ac8b528c846","","work-in-progress","FHIMS-QA-6013-ITP-Gabion Retaining Wall","checklist","FALSE","FALSE","MSE Wall","Gabion Wall & Geogrid","2.1.3 - Layer 3 - MSE wall"
"0411eb69-5f44-4b1f-a443-99d71b276541","","not-started","FHIMS-QA-6038-ITP-Steel Fabrication & Painting","checklist","FALSE","FALSE","MSE Wall","Gabion Wall & Geogrid","2.1.4 - Handrail - Mechanical Installation"
"a9a2baf3-0f28-4e1d-9a66-c8757ab8bc31","","work-in-progress","","folder","TRUE","FALSE","Precast"
"9df2a5f3-59e4-4620-b129-8a2f4f7ce24e","","work-in-progress","","folder","TRUE","FALSE","Precast","Precast Concrete"
"b062f84e-329a-49e1-8fd6-c2e797e7c3da","","work-in-progress","FHIMS-QA-6049-ITP-Precast Concrete","checklist","FALSE","FALSE","Precast","Precast Concrete","3.1.1 - Walls - Precast Concrete"
"9c0769e6-ee3c-44c5-bc44-ddee05dd3786","","work-in-progress","FHIMS-QA-6049-ITP-Precast Concrete","checklist","FALSE","FALSE","Precast","Precast Concrete","3.1.2 - Pilasters - Precast Concrete"
"dd8eea49-6d1a-4d08-9c39-325d912d6812","","work-in-progress","FHIMS-QA-6049-ITP-Precast Concrete","checklist","FALSE","FALSE","Precast","Precast Concrete","3.1.3 - Capital - Precast Concrete"
"df049667-592e-46f9-8fca-67c08298dcf7","","work-in-progress","FHIMS-QA-6049-ITP-Precast Concrete","checklist","FALSE","FALSE","Precast","Precast Concrete","3.1.4 - End Beams - Precast Concrete"
"8f342189-36c2-4ea4-957c-0707088152df","","work-in-progress","FHIMS-QA-6049-ITP-Precast Concrete","checklist","FALSE","FALSE","Precast","Precast Concrete","3.1.5 - T Beams - Precast Concrete"
"379c81ea-f5a3-4e60-b88d-264bd67c9df3","","work-in-progress","","folder","TRUE","FALSE","Three Waters"
"1e816d4e-c2c0-4461-9e64-edc787b6f8d9","","work-in-progress","","folder","TRUE","FALSE","Three Waters","Scour Pipeline"
"68af947c-66d2-425b-83e5-3298b37d79d4","","work-in-progress","FHIMS-QA-6007-ITP-Drainage Installation","checklist","FALSE","FALSE","Three Waters","Scour Pipeline","4.1.1 - DN250 (Res - Scour Manhole - Stilling Well) - Drainage Installation"
"b43a4826-d031-4ae6-9d38-a858b2929f23","","work-in-progress","","folder","TRUE","FALSE","Three Waters","Overflow Line"
"33d95403-7aed-48c2-961b-0f324e1ba0c7","","work-in-progress","FHIMS-QA-6007-ITP-Drainage Installation","checklist","FALSE","FALSE","Three Waters","Overflow Line","4.2.1 - DN450 (Res - Stilling Well) - Drainage Installation"
"d70dcf00-c0b0-42ed-a5f6-e5a3905811cc","","work-in-progress","","folder","TRUE","FALSE","Three Waters","Inlet/Outlet Pipeline"
"2b9fe2b4-17bc-45a4-8574-776dc7b83423","","work-in-progress","FHIMS-QA-6007-ITP-Drainage Installation","checklist","FALSE","FALSE","Three Waters","Inlet/Outlet Pipeline","4.3.1 - SS lines (Res  - Valve Chamber ) - Drainage Installation"
"c60c4981-8ff5-4f99-8ce4-7d0694890b40","","not-started","FHIMS-QA-6007-ITP-Drainage Installation","checklist","FALSE","FALSE","Three Waters","Inlet/Outlet Pipeline","4.3.2 - SS lin (Valve Chamber - Flow Chamber  - Rising Main) - Drainage Installation"
"e2c238fc-23cc-4363-846f-318c02a88a3f","","work-in-progress","","folder","TRUE","FALSE","Three Waters","Subsoil & Leak Detection"
"4c72469b-19b1-43da-b0e2-66764ea6413a","","work-in-progress","FHIMS-QA-6010-ITP-Subsoil Drainage","checklist","FALSE","FALSE","Three Waters","Subsoil & Leak Detection","4.4.1 - Subsoil Installation - Subsoil Drainage"
"29a747eb-828b-40d8-8ad0-77ef4f9c7fc7","","not-started","FHIMS-QA-6010-ITP-Subsoil Drainage","checklist","FALSE","FALSE","Three Waters","Subsoil & Leak Detection","4.4.2 - Leak detection - Subsoil Drainage"
"0f2e07bc-db9f-4eb2-bb8e-8d82c89bc0fe","","not-started","","folder","TRUE","FALSE","Three Waters","Valve and Flow Chamber"
"6e1a7247-614d-4c19-95b7-35a3246eb296","","not-started","FHIMS-QA-6038-ITP-Steel Fabrication & Painting","checklist","FALSE","FALSE","Three Waters","Valve and Flow Chamber","4.5.1 - Chamber fitout - Mechanical Installation"
"2076dc8d-8f78-4e5f-b258-5529c7643a8b","","not-started","","folder","TRUE","FALSE","Valve Chamber Structure"
"ac33cc75-ce8c-42a1-ba53-e82c3672465c","","not-started","","folder","TRUE","FALSE","Valve Chamber Structure","Concrete"
"db3556be-9031-4a92-9747-1e6f0add3102","","not-started","FHIMS-QA-6006-ITP-Insitu Concrete","checklist","FALSE","FALSE","Valve Chamber Structure","Concrete","5.1.1 - Chamber Floor - Insitu Concrete"
"f86ed9c5-3b9f-4b68-8721-b462bc7b5e30","","not-started","FHIMS-QA-6006-ITP-Insitu Concrete","checklist","FALSE","FALSE","Valve Chamber Structure","Concrete","5.1.2 - Chamber Walls - Insitu Concrete"
"7ddaf8f6-62fe-4097-94c1-f770ddb169a6","","work-in-progress","","folder","TRUE","FALSE","Substructure (Floor)"
"8ee968cf-7dba-43c0-9e4d-77138808cd0c","","work-in-progress","","folder","TRUE","FALSE","Substructure (Floor)","Concrete"
"5f039d66-1201-49c5-ad4e-d79c1110367e","","work-in-progress","FHIMS-QA-6006-ITP-Insitu Concrete","checklist","FALSE","FALSE","Substructure (Floor)","Concrete","6.1.1 - Wall Foundation - Insitu Concrete"
"531a2a3b-f0bd-493f-bf3a-57aeb1c68768","","work-in-progress","FHIMS-QA-6006-ITP-Insitu Concrete","checklist","FALSE","FALSE","Substructure (Floor)","Concrete","6.1.2 - Column Foundation - Insitu Concrete"
