type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,ITP - Pavement Renewal,itp,,,,,ITP - SH39 Cannon Rd - Pavement Renewal,
section,"Part 1 - Pre-commencement Activities (Construction Manager, who has the authority to stop the works at a Hold Point)",,,,,,,
checkpoint,1 - Design & Renewal Quality Plan Approval,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - H",,,,,,,
label,"DETAIL - Ensure that the Design & Renewal Quality Plan, including the Method of Work Plan and this ITP, have been approved by NZTA",,,,,,,
label,FREQUENCY - Prior to commencement,,,,,,,
label,"INSPECTION / TEST METHOD (submission, design, visual inspection, testing, measure, review) - Review and approve (NZTA Hold Point)",,,,,,,
label,CONFORMANCE CRITERIA - MS 5.3.2. Pavement Rehabilitation Design & Appendices 6.1 Guide to Auditing Opavement and Surfacing Renewals,,,,,,,
label,"QUALITY EVIDENCE (signed, test results or records) - RQP approval by NZTA",,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,2 - Site walkover with Client,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - H",,,,,,,
label,"DETAIL - Pre-commencement walkover with the Client, Pavement Design, Construction Manager, Asset Manager and Site Supervisor to ensure the design addresses all known issues, including the clearance envelopes for overhead structures, vegetation and safety system heights e.g. barriers; and confirmation of construction methodology and TTM",,,,,,,
label,FREQUENCY - One month prior to commencement,,,,,,,
label,"INSPECTION / TEST METHOD (submission, design, visual inspection, testing, measure, review) - Visual inspection",,,,,,,
label,CONFORMANCE CRITERIA - Confirmation of design and construction methodology,,,,,,,
label,"QUALITY EVIDENCE (signed, test results or records) - ITP Signed and Walkover Notes sighted",,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,3 - Survey & Set-out,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - H",,,,,,,
label,DETAIL - Set-out design centreline and check extents of formation (pegs to be installed every 20m),,,,,,,
label,"○ Confirm that the proposed area is within 5% of that agreed to with NZTA. If not, Asset Engineer to agree new area with NZTA, prior to proceeding.",,,,,,,
label,FREQUENCY - Prior to commencement,,,,,,,
label,"INSPECTION / TEST METHOD (submission, design, visual inspection, testing, measure, review) - Design",,,,,,,
label,CONFORMANCE CRITERIA - Tolerance for set-out to be sub-base -25mm/+5mm and basecourse -5mm/+15mm (TNZ B/2),,,,,,,
label,○ Within ±5% of area previously agreed with NZTA,,,,,,,
label,"QUALITY EVIDENCE (signed, test results or records) - ITP signed & survey set-out records sighted",,,,,,,
label,○ Evidence of revised area agreed to by NZTA if >5% change,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,4 - Confirm Design Details,,,,,,,
label,"ACTION (Hold, Monitor, Witness) - H",,,,,,,
label,DETAIL - Surfacing removal: 60mm,,,,,,,
label,○ Overlay depth (basecourse): 175mm AP40,,,,,,,
label,○ Stabi depth (basecourse): 175mm @1.0% Cem + 1.5% Lime,,,,,,,
label,○ OWC (laboratory test results) 5.0 %,,,,,,,
