type,name,values,prefix,postfix,usage count,user addable,template name
checklist,ITP-008 - Line Marking,itp,,,,,ITP-008 - Line Marking
section,1 - Preliminary Works,,,,,,
checkpoint,1.1 - Line marking Conformance,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,
label,ACCEPTANCE CRITERIA: Materials to be used conform with specification,,,,,,
label,REFERENCE DOCUMENTS: Review Materials Sheet,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,
label,RECORD OF CONFORMITY: ITP Signed,,,,,,
label,WP,,,,,,
label,RESPONSIBILITY: Project Engineer/ Site Foreman,,,,,,
date,Date Completed:,,,,,,
checkpoint,1.2 - Implementation of all measures and controls,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,
label,"ACCEPTANCE CRITERIA: All necessary measures and controls are being implemented, that is: QMP, TMP, SWMS & WP",,,,,,
label,"REFERENCE DOCUMENTS: QMP, TMP, JSEA, SWMS, WP",,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,
label,RECORD OF CONFORMITY: ITP Signed,,,,,,
label,WP,,,,,,
label,RESPONSIBILITY: Project Engineer/ Site Foreman,,,,,,
date,Date Completed:,,,,,,
checkpoint,1.3 - Site preparation,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,
label,"ACCEPTANCE CRITERIA: Removal of any existing unsound,obsolete or redundant pavement markings. Removal of any foreign material or debris.",,,,,,
label,REFERENCE DOCUMENTS: 721.A06,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,
label,RECORD OF CONFORMITY: ITP Signed,,,,,,
label,WP,,,,,,
label,RESPONSIBILITY: Project Engineer/ Site Foreman,,,,,,
date,Date Completed:,,,,,,
checkpoint,1.4 - Set-out of Pavement Markings,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,
label,ACCEPTANCE CRITERIA: Pavement markings to set-out in accordance with IFC Drawings.,,,,,,
label,REFERENCE DOCUMENTS: 721.A09,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,
label,RECORD OF CONFORMITY: ITP Signed,,,,,,
label,HP,,,,,,
label,RESPONSIBILITY: Project Engineer/ Site Foreman,,,,,,
date,Date Completed:,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
section,2 - Construction Works,,,,,,
checkpoint,2.2 - Line marking Installation,,,,,,
label,FREQUENCY: During Construction,,,,,,
label,ACCEPTANCE CRITERIA: Line marking installed as per IFC Drawings,,,,,,
label,REFERENCE DOCUMENTS: 7210,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,
label,RECORD OF CONFORMITY: ITP Signed,,,,,,
label,WP,,,,,,
label,RESPONSIBILITY: Project Engineer/ Site Foreman,,,,,,
date,Date Completed:,,,,,,
checkpoint,2.3 - Glass bead Install,,,,,,
label,FREQUENCY: During line marking works,,,,,,
label,ACCEPTANCE CRITERIA: Glass beads sprinkled/sprayed on to line marking while in a fluid state to ensure embedment. Glass beads to have uniform distribution,,,,,,
label,REFERENCE DOCUMENTS: 72100,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,
label,RECORD OF CONFORMITY: ITP Signed,,,,,,
label,WP,,,,,,
label,RESPONSIBILITY: Project Engineer/ Superintendent,,,,,,
date,Date Completed:,,,,,,
section,3 - Completion,,,,,,
checkpoint,3.1 - Completion Inspection,,,,,,
label,FREQUENCY: Each lot,,,,,,
label,"ACCEPTANCE CRITERIA: Completed marking shall be uniform in appearance, texture, width and thickness and the surface shall be free from blister, air bubbles, tears, lumps, streats, overlaps, unbeaded areas, tyre marks or other defects. Edges and cuts-offs shall be neat and sharp, and there shall be no visible run-off, overspray, dribbles,splash or spiliage on to the surrounding area, or on to parked or passing vehicles.",,,,,,
label,REFERENCE DOCUMENTS: 7210,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,
label,RECORD OF CONFORMITY: ITP Signed,,,,,,
label,WP,,,,,,
label,RESPONSIBILITY: Project Engineer/ Superintendent,,,,,,
date,Date Completed:,,,,,,
checkpoint,Final Inspection,,,,,,
label,The signature below verifies that this ITP has been completed in accordance with the FH’s Quality system Procedures and verifies lot compliance with specifications.,,,,,,
textbox,Print Name:,,,,,,
textbox,Position:,,,,,,
date,Date:,,,,,,
