type,name,values,prefix,postfix,usage count,user addable,template name
checklist,ITP-001 - Stripping Topsoil Clearing and Grubbing,itp,,,,,ITP-001 - Stripping Topsoil Clearing and Grubbing
section,1 - Preliminary Works,,,,,,
checkpoint,1.1 - Confirm understanding of current EMP related to the work area and that all prescribed environmental controls are in place,,,,,,
label,FREQUENCY: Prior to Commencing Work,,,,,,
label,ACCEPTANCE CRITERIA: All environmental measures to be implemented as per current EMP and local authorities. Sediment control measures to be installed and protected vegetation to be clearly identified,,,,,,
label,REFERENCE DOCUMENTS: EMP,,,,,,
label,INSPECTION/TEST METHOD: Document review & Site inspection,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed,,,,,,
label,IP,,,,,,
label,RESPONSIBILITY: Site Engineer,,,,,,
date,Date Completed:,,,,,,
checkpoint,1.2 - Ground Penetration Permit (GPP) issued,,,,,,
label,FREQUENCY: Prior to Commencing Work,,,,,,
label,ACCEPTANCE CRITERIA: Current GPP signed and specific for the area where works will be executed. Services in the work area are identified,,,,,,
label,"REFERENCE DOCUMENTS: Vicraods Spec.700.1, GPP",,,,,,
label,INSPECTION/TEST METHOD: Document review & Site inspection,,,,,,
label,RECORD OF CONFORMITY: Excavation Permit Signed,,,,,,
label,HP*,,,,,,
label,RESPONSIBILITY: Site Engineer,,,,,,
date,Date Completed:,,,,,,
checkpoint,1.3 - Extent of Clearing and Grubbing,,,,,,
label,FREQUENCY: Prior to Commencing Work,,,,,,
label,"ACCEPTANCE CRITERIA: Prior to removing any vegetation or habitat, the Contractor shall arrange an on-site inspection with the Superintendent and other relevant authorities to confirm and clearly identify and mark trees, vegetation or habitat to be removed. Any removal shall be consistent with the Contract drawings and any relevant permits and shall fence and sign all sites nominated as No-Go Zones.",,,,,,
label,REFERENCE DOCUMENTS: Project Spec. 176.I1 & Vicroads Spec.201,,,,,,
label,INSPECTION/TEST METHOD: Site Inspection,,,,,,
label,RECORD OF CONFORMITY: Extent of Clearing and Grubbing reviewed by Superintendent,,,,,,
label,HP,,,,,,
label,RESPONSIBILITY: Site Engineer/Superintendent,,,,,,
date,Date Completed:,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,1.4 - Extent of Clearing and Grubbing,,,,,,
label,FREQUENCY: Prior to Commencing Work,,,,,,
label,ACCEPTANCE CRITERIA: The Contractor shall obtain all necessary permits and obtain approval from the Superintendent prior to the pruning or removal of local native vegetation.,,,,,,
label,REFERENCE DOCUMENTS: Vicroads Spec.720.07,,,,,,
label,INSPECTION/TEST METHOD: Document review,,,,,,
label,RECORD OF CONFORMITY: Copy of issued permits,,,,,,
label,HP,,,,,,
label,RESPONSIBILITY: Site Engineer/Superintendent,,,,,,
date,Date Completed:,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,1.5 - Identification of Cultural Heritage sites and areas of Cultural Significance,,,,,,
label,FREQUENCY: Prior to Commencing Work,,,,,,
label,ACCEPTANCE CRITERIA: Areas determined to be No-Go Zones are securely fenced and clearly identified by signage installed in the fencing.,,,,,,
label,○ Immediately stop work and notify the Superintendent if any Cultural Heritage is discovered or identified during construction. ,,,,,,
label,○ Works may recommence with the cultural heritage approval or if works can resume without risk to the discovered Cultural Heritage.,,,,,,
label,REFERENCE DOCUMENTS: Relevant EMP,,,,,,
label,INSPECTION/TEST METHOD: Document review & Site inspection,,,,,,
label,"RECORD OF CONFORMITY: Cultural Heritage approval (when required), Signed ITP",,,,,,
label,"HP*, AP",,,,,,
label,RESPONSIBILITY: Site Engineer,,,,,,
date,Date Completed:,,,,,,
section,2 - Construction Works,,,,,,
checkpoint,2.1 - Stripping of topsoil and grubbing of vegetation,,,,,,
label,FREQUENCY: Prior and after commencement of any ground disturbing activities,,,,,,
label,"ACCEPTANCE CRITERIA: In areas where excavation will be made, all vegetation, refuse and obstructions shall be totally grubbed or grubbed to a depth of not less than 0.3 m below the subgrade and batters, whichever is the lesser treatment. ",,,,,,
label,"○ In areas to be covered by embankments, to a depth of not less than 0.3 m below the stripped surface or not less than 0.6 m below the finished surface of the subgrade, whichever is the lesser treatment.",,,,,,
label,○ Holes resulting from grubbing shall be backfilled with material similar to the surrounding material and compacted to the same degree as the surrounding material,,,,,,
label,REFERENCE DOCUMENTS: VicRoads Specification 201.05,,,,,,
label,INSPECTION/TEST METHOD: Site Inspection,,,,,,
label,RECORD OF CONFORMITY: Signed ITP,,,,,,
label,IP,,,,,,
label,RESPONSIBILITY: Site Engineer,,,,,,
date,Date Completed:,,,,,,
checkpoint,2.2 - Removal of abandoned services,,,,,,
label,FREQUENCY: Prior to commencing this work,,,,,,
label,ACCEPTANCE CRITERIA: Removal and disposal of abandoned services and obsolete underground drainage lines which interfere with the execution of works has been done.,,,,,,
label,"○ Verify service is not likely to contain a hazardous material (sewage, asbestos pipe)",,,,,,
label,○ Decommissioned services to be disposed of in a suitable manner. ,,,,,,
label,○ Decommissioned pits have been broken back to 0.3 metres below subgrade level.,,,,,,
