type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,ITP-001 - Hotmix Asphalt - Tallarook,itp,,,,,ITP-001 - Hotmix Asphalt - Tallarook Rev2,
section,1 – Preliminary Works,,,,,,,
checkpoint,1.1 - Mix Design approval / Tack Coat Approval,,,,,,,
label,FREQUENCY: Prior to commencing paving,,,,,,,
label,ACCEPTANCE CRITERIA: Mix design to be used must be registered and current by DTP as 'General'.,,,,,,,
label,○ The Contractor shall submit the details of the trackless tack coat or tack coat application system proposed to be used in the works.,,,,,,,
label,"REFERENCE DOCUMENTS: 407.09 / 404.05, Mix Design Registration RC500.01, 407.08",,,,,,,
label,INSPECTION / TEST METHOD: Approval Correspondance,,,,,,,
label,RECORD OF CONFORMITY: Completed ITP,,,,,,,
label,HP,,,,,,,
label,RESPONSIBILITY: Superintendent,,,,,,,
date,Date Completed:,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,1.2 - Site Inspection and Base Condition,,,,,,,
label,FREQUENCY: Prior to commencing paving,,,,,,,
label,"ACCEPTANCE CRITERIA: Surface on which asphalt is to be placed is essentially dry and free from puddles, defects (holes, cracks, unstable material and edge irregularities) and loose materials.",,,,,,,
label,"REFERENCE DOCUMENTS: 407.17, AS2150 10.1 AS2150 10.3",,,,,,,
label,INSPECTION / TEST METHOD: Visual Inspection,,,,,,,
label,RECORD OF CONFORMITY: Completed ITP,,,,,,,
label,IP,,,,,,,
label,RESPONSIBILITY: Asphalt Supervisor,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,1.3 - Ambient Conditions for Placing,,,,,,,
label,FREQUENCY: Prior to commencing paving,,,,,,,
label,ACCEPTANCE CRITERIA: The majority of the surface area to be paved has a temperature greater than or equal to the following:,,,,,,,
label,○ Base & Intermediate Courses: 5°C for conventional binders or 10°C for PMBs & Class 600,,,,,,,
label,○ Wearing Courses: 10°C for conventional binders or 15°C for PMBs,,,,,,,
label,"○ Where the above temperatures cannot be achieved, asphalt must be laid under the ""Cold Weather Management Plan""",,,,,,,
label,REFERENCE DOCUMENTS: 407.17,,,,,,,
label,INSPECTION / TEST METHOD: Infrared Thermometer,,,,,,,
label,RECORD OF CONFORMITY: Completed ITP,,,,,,,
label,IP,,,,,,,
label,RESPONSIBILITY: Asphalt Supervisor,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,1.4 - Ambient Conditions for Placing / Cold Weather Placement Management Plan,,,,,,,
label,FREQUENCY: Prior to commencing paving,,,,,,,
label,"ACCEPTANCE CRITERIA: Monitoring frequency of pavement temperature, asphalt temperature at discharge into paver and mat temperature after initial rolling.",,,,,,,
label,"○ Asphalt delivery – planning to avoid delays and use of the quickest route to the site, enough trucks to allow continuous paving and avoiding trucks waiting for lengthy periods.",,,,,,,
label,"○ Paving – determination of paving width and speed to match roller capacity, measurement of mix temperature prior to discharge, use of material transfer vehicles where practical and a process to cease works where pavement temperatures fall below the minimum requirement.",,,,,,,
label,"○ Compaction - modified rolling procedures, additional rollers for surfacing mixes, use of joint compaction devices, monitoring of compaction and mat temperature during laying.",,,,,,,
label,REFERENCE DOCUMENTS: 407.17,,,,,,,
label,INSPECTION / TEST METHOD: Infrared Thermometer,,,,,,,
label,RECORD OF CONFORMITY: Cold Weather Field Sheet,,,,,,,
label,HP,,,,,,,
label,RESPONSIBILITY: Superintendent,,,,,,,
date,Date Completed:,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,1.5 - Planning of Joints / Cold Planing,,,,,,,
label,FREQUENCY: Prior to commencing paving,,,,,,,
label,ACCEPTANCE CRITERIA: Runs to be marked to ensure placement of all Longitudinal Joints satisfy the following unless otherwise approved by the Client:,,,,,,,
label,○ Transverse Joints Offset from layer to layer by at least 2m,,,,,,,
label,○ Longitudinal Joints for the final Wearing Course are located on lane lines ,,,,,,,
label,"○ Longitudinal Joints for Intermediate and Base Layers offset from layer to layer by 150mm, and no more than 300mm from lane lines",,,,,,,
label,○ Asphalt joints against a granular pavement shall not be offset between layers but shall form a vertical flush joint. ,,,,,,,
label,"○ Exposed granular pavement material shall be watered, re compacted. ",,,,,,,
label,"○ Before commencement of each day's work, all temporary transverse ramping shall be removed using a 2m profiler or skid steer with profiling head attachment & by cutting back along a straight line to expose a vertical face of fully compacted asphalt at the specified layer depth.",,,,,,,
label,"REFERENCE DOCUMENTS: 407.21, 402.04, 402.05",,,,,,,
label,INSPECTION / TEST METHOD: Measure and mark out runs by tape measure or survey,,,,,,,
label,RECORD OF CONFORMITY: Completed ITP,,,,,,,
label,WP,,,,,,,
label,RESPONSIBILITY: Asphalt Supervisor,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,1.5 - Tack Coat,,,,,,,
label,FREQUENCY: Prior to Commencing paving,,,,,,,
label,ACCEPTANCE CRITERIA: Tack coat to be sprayed in a uniform film over the surface to be paved at a rate of 0.15 to 0.30 L/m2 of CRS60 of residual bitumen (except for joints and chases where rates shall be doubled). Tack coat must be allowed to fully break / cure . ,,,,,,,
label,"○ NOTE: Tack coat is not required on clean, freshly placed asphalt or primed surfaces.",,,,,,,
label,"○ Where asphalt is to be spread over a clean, un-trafficked, freshly laid asphalt, or over a clean primed surface, or on a granular material where the overall asphalt depth is 150mm or greater the Contractor may omit the tack coat.",,,,,,,
label,○ Photographical evidence must be obtained (with an identifiable landmark),,,,,,,
label,"REFERENCE DOCUMENTS: 407.19, AS2150 11",,,,,,,
label,INSPECTION / TEST METHOD: Spray area and inspect,,,,,,,
label,"RECORD OF CONFORMITY: Completed ITP, Photograph",,,,,,,
label,IP,,,,,,,
label,RESPONSIBILITY: Asphalt Foreman,,,,,,,
date,Date Completed:,,,,,,,
section,2 – Photos,,,,,,,
checkpoint-no-status,Thermometer,,,,,,,
checkpoint-no-status,Tack Coat,,,,,,,
section,3 – Asphalt Placement works,,,,,,,
checkpoint,3.1 - Commencement of Placing,,,,,,,
label,FREQUENCY: Prior to Commencing paving,,,,,,,
label,ACCEPTANCE CRITERIA: The placement of asphalt on the sub-base or granular base for a new pavement or for an overlay of an existing bituminous surfaced pavement shall not commence until the consent to proceed is obtained from the Client's nominated authority.,,,,,,,
label,"REFERENCE DOCUMENTS: 407.23, 404.13",,,,,,,
label,INSPECTION / TEST METHOD: Visual Inspection,,,,,,,
label,RECORD OF CONFORMITY: Completed ITP,,,,,,,
label,HP,,,,,,,
label,RESPONSIBILITY: Superintendent,,,,,,,
date,Date Completed:,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,3.2 - Delivery of Mix,,,,,,,
label,FREQUENCY: Each lot,,,,,,,
label,"ACCEPTANCE CRITERIA: Check correct mix design has been supplied, as per pavement design.",,,,,,,
label,REFERENCE DOCUMENTS: Pavement Design Details 407.20,,,,,,,
label,INSPECTION / TEST METHOD: Check asphalt delivery docket,,,,,,,
label,RECORD OF CONFORMITY: Completed ITP,,,,,,,
label,IP,,,,,,,
