"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1010107e-8454-4232-88b3-6edc53c00f5f","","folder-normal","fail","","step","TRUE","FALSE","Project QA"
"8b19d7f2-a6bb-43f9-8a0c-ffa1cbd1cb5c","","folder-normal","fail","","step","TRUE","FALSE","Project QA","Asphalt Production"
"f8a8bd0b-e420-4245-8151-37f9636ed8a4","","checklist-sectioned","fail","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Asphalt Production","221027-PB-TRIAL ITP001 - Asphalt Production of Base Mixes"
"9dd7dbe5-8704-45aa-9980-2f49301e9677","","checklist-sectioned","work-in-progress","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Asphalt Production","20221105-PB-000 ITP001 - Asphalt Production of Base Mixes"
"762b495d-f951-4c4e-8a4c-6fbe14c2beec","","checklist-sectioned","fail","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Asphalt Production","221106-PB-001 ITP001 - Asphalt Production of Base Mixes"
"d63113f5-9fd7-4c77-a119-3f624840dd73","","checklist-sectioned","fail","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Asphalt Production","20221107 - PB-002 ITP001 - Asphalt Production of Base Mixes"
"d3b22dbe-1797-46a5-a965-a384e0a72d1e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Asphalt Production","Completed"
"50ca0d56-f022-4e38-bf27-18e8b4ea34be","","checklist-sectioned","fail","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Asphalt Production","20221108 - PB - ITP001 - Asphalt Production of Base Mixes"
"1dd46845-72a8-42ce-8cb5-bb168e9755d2","","checklist-sectioned","work-in-progress","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Asphalt Production","ITP001 - Asphalt Production of Base Mixes"
"6d31976d-7334-4238-9529-f9a71b9f823a","","checklist-sectioned","fail","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Asphalt Production","221109-PB-004 ITP001 - Asphalt Production of Base Mixes"
"2fe8d333-90da-4867-ae05-4f1a5cd21643","","checklist-sectioned","work-in-progress","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Asphalt Production","221113-PB-000 ITP001 - Asphalt Production of Base Mixes"
"f2d8502a-c899-400c-9525-1fd18e63d37d","","checklist-sectioned","pass","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Asphalt Production","221114-PB-005 ITP001 - Asphalt Production of Base Mixes"
"4446c82d-c1f5-436d-b9fe-7f2250b59d25","","checklist-sectioned","work-in-progress","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Asphalt Production","221114-PB-000 ITP001 - Asphalt Production of Base Mixes"
"78c8d9a8-0a03-407a-a9cc-b46fbf769dcf","","checklist-sectioned","fail","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Asphalt Production","221115-PB-006 ITP001 - Asphalt Production of Base Mixes"
"71327d3e-2e13-4e07-bf67-275ee948a75f","","checklist-sectioned","pass","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Asphalt Production","221116-PB-007 ITP001 - Asphalt Production of Base Mixes"
"0740b366-ffdd-49dd-adb9-50a4048ed430","","checklist-sectioned","work-in-progress","ITP001 - Asphalt Production of Base Mixes","checklist","FALSE","FALSE","Project QA","Asphalt Production","221117-PB-008 ITP001 - Asphalt Production of Base Mixes"
"0957b6b7-2591-49cf-8c12-a95e731dfca2","","checklist-sectioned","work-in-progress","ITP001 - Asphalt Production of Base Mixes","checklist","FALSE","FALSE","Project QA","Asphalt Production","221120-PB-008 ITP001 - Asphalt Production of Base Mixes"
"a78ba421-8f61-4479-8883-c622f396be70","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Cold Planing"
"c44e8c7e-43db-4a08-86f8-24268286d15b","","checklist-sectioned","pass","734761a0fbc1f9b4c774da22362d4a76efd931f7df88db208240d78d65449782","checklist","FALSE","FALSE","Project QA","Cold Planing","221106-PB-001"
"ef73433c-abae-4ef7-8221-9a9677950c8d","","checklist-sectioned","pass","734761a0fbc1f9b4c774da22362d4a76efd931f7df88db208240d78d65449782","checklist","FALSE","FALSE","Project QA","Cold Planing","221107-PB-002"
"a08737f8-9770-4a01-a45c-4c2f35b95d59","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Cold Planing","Completed"
"7dc8f770-aaf8-48d6-8e1b-ee5f1ce9e3e2","","checklist-sectioned","pass","734761a0fbc1f9b4c774da22362d4a76efd931f7df88db208240d78d65449782","checklist","FALSE","FALSE","Project QA","Cold Planing","221108-PB-003"
"79a6b46a-145a-48d4-9b69-af81e0dafabe","","checklist-sectioned","pass","734761a0fbc1f9b4c774da22362d4a76efd931f7df88db208240d78d65449782","checklist","FALSE","FALSE","Project QA","Cold Planing","221109-PB-004"
"cc43016a-1145-4dd1-91fc-076a43c061e3","","checklist-sectioned","pass","734761a0fbc1f9b4c774da22362d4a76efd931f7df88db208240d78d65449782","checklist","FALSE","FALSE","Project QA","Cold Planing","221114-PB-005 ITP005 - Cold Planning"
"debfdf3b-af87-489b-bf79-707c1d2d5d67","","checklist-sectioned","pass","77af6697294b98a49ea8c2cd08c0ba843ec0f28c792f5b2d466ff60d3d71c15d","checklist","FALSE","FALSE","Project QA","Cold Planing","221115-PB-006 ITP005"
"649c149e-5b93-4bd9-ac97-392327973950","","checklist-sectioned","pass","77af6697294b98a49ea8c2cd08c0ba843ec0f28c792f5b2d466ff60d3d71c15d","checklist","FALSE","FALSE","Project QA","Cold Planing","221116-PB-007 ITP005"
"2cfe3ff4-ceef-4fd5-81ee-1a2d784b9777","","checklist-sectioned","work-in-progress","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Project QA","Cold Planing","221117-PB-008 ITP005"
