resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-069 - SP (375mm) Drainage - Pit 007 - Pit 008 - Memorial Park _ Center Median,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-072 - SP (375mm) Drainage - Pit 004 - Pit 006 - Memorial Park _ Center Median,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-073 - SP (375mm) Drainage - Pit 006 - Pit 006-1 - Memorial Park _ Center Median,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-074- SP (375mm) Drainage - Pit 006-1 - Pit 349 - Memorial Park _ Center Median,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-075 - SP (375mm) Drainage - Pit 349- Pit 009 - Memorial Park _ Center Median,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-084 - SP (375mm) Drainage - Pit 009- Pit 009 -1 - Memorial Park _ Center Median,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-085 -SP (525mm) Drainage - Pit 257- Pit 389 - Memorial Park North,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-086 -RCP (525mm) Drainage - Pit 389- Pit 249 - Memorial Park North,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-087- SP (375mm) Drainage - Pit 249- Pit 018 - Memorial Park North,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-088- RCBC(450x300) - HW 256- Pit 188 - Memorial Park North,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-089- SP (1050mm) Drainage - Pit 54 - Pit 321 - HARDY St ,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-090 - SP (450mm) Drainage - Pit 54 - Pit 331 - HARDY St ,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-091- SP (375mm) Drainage - Pit 321- Pit 321- 3 - HARDY St ,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-092 - SP (375mm) Drainage - Pit 331- Pit 331 -1- HARDY St,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-093- SP (375mm) Drainage - Pit 321- Pit 321- 1 - HARDY St,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-094- SP (900mm) Drainage - Pit 182- Pit 386 - Memorial Park,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-095 SP (375mm) Drainage - Pit 386 - Pit 366-1- Memorial Park,,,,,,,,
ITP 0017 - Underground Stormwater Drainage,checklist,,,ITP-017-A1-LOT-096 RCP (600mm) Drainage - Pit 151 - Pit 150-1,,,,,,,,
