"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e53a9537-c066-45f9-9559-bec26411afab","","work-in-progress","","folder","TRUE","FALSE","Unbound Flexible Pavements"
"85ebbe8d-117f-409b-997c-a6c5a9e5e037","","work-in-progress","","folder","TRUE","FALSE","Unbound Flexible Pavements","Type A"
"4d1b6ea5-5d56-4232-96d9-0a53a7577580","","work-in-progress","DTM-ITP-003- Earthworks Demolition Rev0","checklist","FALSE","FALSE","Unbound Flexible Pavements","Type A","DTM-ITP-003- Type A - LOT-001 CH10100-CH10180"
"9e66ced9-41b5-4c8a-a949-88cd8e5e2aec","","work-in-progress","","folder","TRUE","FALSE","Earthworks and Demolition"
"7499c34a-5534-4c86-9e5d-13e57d39fb2b","","work-in-progress","","folder","TRUE","FALSE","Earthworks and Demolition","Subgrade"
"a8cc6c8e-2546-412f-846c-f5ea3e844f5a","","work-in-progress","DTM-ITP-003- Earthworks Demolition Rev0","checklist","FALSE","FALSE","Earthworks and Demolition","Subgrade","DTM-ITP-003- Subgrade - LOT-001 CH10040-CH10170"
"0ff88d05-7a78-46c0-bb2b-ff5922015f29","","pass","","folder","TRUE","FALSE","Clearing and Grubbing"
"5b81ea8c-fdf8-4925-83be-9c356d4f9c37","","pass","DTM-ITP-001- Clearing and Grubbing Rev0","checklist","FALSE","FALSE","Clearing and Grubbing","DTM-ITP-001-LOT-001- Clearing and Grubbing (South of Davey)"
"06158f1a-3de5-4aef-96b0-ea6aa6802b20","","pass","DTM-ITP-001- Clearing and Grubbing Rev0","checklist","FALSE","FALSE","Clearing and Grubbing","DTM-ITP-001-LOT-002- Clearing and Grubbing (North of Davey)"
"ebe79ac1-77e3-4db0-90b4-268533e09399","","work-in-progress","","folder","TRUE","FALSE","Service Relocations - Telstra and NBN"
"4ba13762-f7fc-43e4-a124-31d3faa13f9f","","work-in-progress","DTM-ITP-004- Service Relocations - Telstra and NBN Rev1","checklist","FALSE","FALSE","Service Relocations - Telstra and NBN","DTM-ITP-004-A2-LOT-001 - PF12-05 to PF12-06"
"eab88e60-ea81-4185-9f4d-14b4132e1ba6","","work-in-progress","DTM-ITP-004- Service Relocations - Telstra and NBN Rev1","checklist","FALSE","FALSE","Service Relocations - Telstra and NBN","DTM-ITP-004-A2-LOT-002 - PF12-06 and PF12-07"
"6bfc9c25-c165-4e66-b521-56d0e4ec277f","","work-in-progress","DTM-ITP-004- Service Relocations - Telstra and NBN Rev1","checklist","FALSE","FALSE","Service Relocations - Telstra and NBN","DTM-ITP-004-A2-LOT-003 - PF12-07 to PF12-08"
"273faa7d-8a3c-4fb3-a615-4c8a57e44225","","work-in-progress","DTM-ITP-004- Service Relocations - Telstra and NBN Rev1","checklist","FALSE","FALSE","Service Relocations - Telstra and NBN","DTM-ITP-004-A1-LOT-004 - Service Protection Works - Southern Outlet Transit Connector"
"b883816e-8dd0-4a5f-9d46-fb2855fbfeb0","","work-in-progress","","folder","TRUE","FALSE","Service Relocations - TasNetworks"
"fee975ba-a0a5-4d62-9ff2-84d988ce390c","","work-in-progress","DTM-ITP-005- Service Relocations - Power (TasNetworks) Rev1","checklist","FALSE","FALSE","Service Relocations - TasNetworks","DTM-ITP-005-A2-LOT-001 - High Voltage Conduits (Section A and Section D)"
"69a303a1-7bfc-43c8-a0fa-6acb6af173fb","","work-in-progress","DTM-ITP-005- Service Relocations - Power (TasNetworks) Rev1","checklist","FALSE","FALSE","Service Relocations - TasNetworks","DTM-ITP-005-A2-LOT-002 - Low Voltage Conduits (P2-502166 to P6-196208)"
"8b7dfc1f-6566-4ec4-a46c-455f4e94867e","","work-in-progress","DTM-ITP-005- Service Relocations - Power (TasNetworks) Rev1","checklist","FALSE","FALSE","Service Relocations - TasNetworks","DTM-ITP-005-A2-LOT-003 - Street Light Conduits (SL-08, SL-09, SL-11, SL-12)"
"854cebe7-70dc-4a84-a75c-aa0e1370add9","","work-in-progress","DTM-ITP-005- Service Relocations - Power (TasNetworks) Rev1","checklist","FALSE","FALSE","Service Relocations - TasNetworks","DTM-ITP-005-A2-LOT-004 - LV Conduits (LV Joint East to LV Joint West)"
"d6beff38-73dc-418c-a161-e8336ea10923","","work-in-progress","DTM-ITP-005- Service Relocations - Power (TasNetworks) Rev1","checklist","FALSE","FALSE","Service Relocations - TasNetworks","DTM-ITP-005-A2-LOT-005 - Street Light Conduits (SL-08 to SL-07)"
"b305d895-76df-463c-83f1-9a109bb05d6d","","work-in-progress","","folder","TRUE","FALSE","Stormwater Drainage"
"fee65e51-94cb-4859-be61-c4329611eecb","","work-in-progress","DTM-ITP-008- Stormwater Drainage Rev0","checklist","FALSE","FALSE","Stormwater Drainage","DTM-ITP-008-A2-LOT-001 - Stormwater Drainage"
