"Id","Type","Name","Values","Prompting Name","Postfix","Usage Count","Resource Id"
,"checklist","Civil - Drainage Checklist","","Civil - Drainage",,3,"124d2cb2-dde2-42b4-b954-8e1ca2a4c11d"
,"section","Pre-start",,,,,
,"checkpoint","Locates done on site – confirm no clash with pre-existing underground services",,,,,
,"checkpoint","Appropriate permits in place",,,,,
,"checkpoint","GL and datum provided",,,,,
,"checkpoint","Upload drawings / check services depths, confirm location, filling/digging",,,,,
,"checkpoint","Clear work area",,,,,
,"section","Trenching",,,,,
,"checkpoint","Delineation of area",,,,,
,"checkpoint","Benching appropriate for ground conditions",,,,,
,"checkpoint","Safety of trenching conditions and edge protection",,,,,
,"checkpoint","Civil Eng inspection report received and close-out if unsuitable subgrade conditions exist",,,,,
,"section","Installation",,,,,
,"checkpoint","Confirm correct bedding material being used and spot check RL’s",,,,,
,"checkpoint","Manhole installation",,,,,
"6cd6e903-e416-4d0c-ad82-38ffba52e1ff","tickbox","Confirm MH diameter",,,,,
"b20e33ff-fc40-4a16-8b7c-42ee5e2617e2","tickbox","Reo",,,,,
"e2f4d1fa-78bc-40c5-9bec-31016f9be862","tickbox","Joint sealing (if precast)",,,,,
"7add8d48-662a-43f2-befd-1db905d9cf23","tickbox","Invert level",,,,,
"523ada56-529e-428b-8752-17e6d2d0b8e3","tickbox","Confirm concrete grade",,,,,
,"checkpoint","Pipes installed and correct junctions/connections",,,,,
,"checkpoint","Civil Eng inspection report received and close-out for first pipe run",,,,,
,"checkpoint","Council inspection report received and close-out",,,,,
,"section","Backfilling",,,,,
,"checkpoint","Appropriate backfill material",,,,,
,"checkpoint","Backfill at 150mm lifts and compact as per Civil spec",,,,,
,"section","Post Backfilling",,,,,
,"checkpoint","Internal manhole works",,,,,
"c86e0894-36d8-5186-a72f-a7a7428cfd3e","tickbox","Civil Eng Splitter weir manholes – weir pre-pour inspection (first manhole)",,,,,
"c3a67ff4-f316-5eb8-94c4-e8e2570875ab","tickbox","Splitters and benching completed",,,,,
,"checkpoint","Soakholes",,,,,
"48fd210a-d850-52e2-942a-7ba870883371","tickbox","Civil Eng Inspection of selection of rock bore installation report received and close-out",,,,,
"4a6d677c-9c3b-5c2a-8e83-9eba1b8a40c8","tickbox","Civil Eng inspection of selected of soakage testing",,,,,
"51f0e36e-6c5e-5e7c-8c74-38d8b2b34328","tickbox","Council inspection report received and close-out – as-built plan required",,,,,
,"checkpoint","Drainage QA received and as built",,,,,

,"checklist","Civil - Roads","","Civil - Roads V2",,1,"59a6e795-9b21-4190-b83d-0ac4478999c7"
,"section","Pre-Hand Over",,,,,
,"checkpoint","In ground services QA and testing received",,,,,
"42a61e44-440d-5a1e-8068-c1e9e48ae635","tickbox","Electrical",,,,,
"c68df2b7-adde-5b3a-871a-292154477b66","tickbox","Hydraulic",,,,,
"41cee28b-f4b3-51ac-9062-3d755d000c7f","tickbox","Coms, Chorus",,,,,
"854c83c4-5873-545f-8281-2e122731b927","tickbox","Façade works completed",,,,,
,"checkpoint","Drainage works complete",,,,,
"3f8ea192-45de-53b4-86d1-d3de021e33b9","tickbox","Cess pits, manhole benching and final RL, all ORG installed",,,,,
,"checkpoint","Road clear and ready for hand over",,,,,
,"section","Road Build-Up",,,,,
,"checkpoint","Ensure road is built up in GP65",,,,,
,"checkpoint","Ensure testing is completed.",,,,,
"5a09b68e-2b8f-53da-9a15-a11867047b21","tickbox","CRB 6 and proof rolled",,,,,
,"section","Channel Drains Install",,,,,
,"checkpoint","Correct RL to slab",,,,,
,"checkpoint","Sumps installed",,,,,
,"checkpoint","Channel drains QA",,,,,
,"checkpoint","Channel drains encased on concrete",,,,,
,"section","Kerb Install",,,,,
,"checkpoint","Layout/pre-pour",,,,,
"a3fd0010-c33f-53e3-8302-9d006e7704fc","tickbox","Spot Check RL’s",,,,,
"935bd2ec-153b-5ab7-8887-048730a75c82","tickbox","Confirm mix",,,,,
"ad61d071-1033-5b5b-a8c6-fe63e323d767","tickbox","Check kerb location",,,,,
"80f1a504-1b67-5992-9f12-cd9d1cf99401","tickbox","Check kerb type",,,,,
,"checkpoint","Saw cuts 4m spacing",,,,,
,"checkpoint","Chip/cracks",,,,,
,"section","Concrete Loading Bays",,,,,
,"checkpoint","Build Up",,,,,
"32257c5f-a1f3-501d-b026-6a7135041c38","tickbox","100mm GP40",,,,,
"033f8ade-ee8f-551f-9de5-385cab926729","tickbox","Sand/fines",,,,,
,"checkpoint","1 layer 661 mesh 60mm top cover",,,,,
,"checkpoint","Trimmer bars at corners 2*D16 1200mm long",,,,,
"ab0bf92e-decc-51a5-90b7-49c07d569f45","tickbox","Unless corner coincides with sawcut",,,,,
,"checkpoint","Trimmers around manholes",,,,,
,"checkpoint","Refer Civil drawing 115",,,,,
,"checkpoint","175mm 30MPa",,,,,
,"checkpoint","Chamfer at asphalt transition asphalt to sit 5mm proud.",,,,,
,"checkpoint","Broom finish",,,,,
,"checkpoint","Saw cuts",,,,,
,"section","Walkway Install",,,,,
,"checkpoint","Water cure 7 days",,,,,
,"checkpoint","Chorus Tuds",,,,,
"69b3d83d-440c-5d71-84a3-d0f9fd1c77e4","tickbox","Set out to correct height and slope",,,,,
,"checkpoint","Build Up/Falls",,,,,
"8c3f67fa-10b2-548d-9d8a-99d03e7592b3","tickbox","150mm GP40 or 200mm GP65 and 100mm GP40",,,,,
"1618d43a-cad7-525f-93f2-4013179c6ac0","tickbox","Check RL’s at critical points",,,,,
"c242b2c7-f965-50de-a6ab-67a15fba6772","tickbox","25mm asphalt thickness",,,,,
,"checkpoint","Lay Walkway",,,,,
"7bef1887-1151-5472-8988-40fb83664587","tickbox","Visual check finish/transitions",,,,,
,"section","Manhole Lids Install",,,,,
,"checkpoint","Set to proper RL and grade",,,,,
,"section","Road Install",,,,,
,"checkpoint","100mm GP 40",,,,,
"02eb2810-ff33-5624-9420-eaa67a0206f4","tickbox","3% slope from crown",,,,,
"4972956e-2b55-537e-a605-fe849f6e775c","tickbox","35mm Asphalt thickness",,,,,
,"section","Line Marking",,,,,
,"checkpoint","Layout as per Drawings",,,,,

,"checklist","Civil – Buildings Subgrade","","Civil – Buildings Subgrade",,8,"89ad418b-6828-4f01-ac3c-f092ee049816"
,"section","Subgrade base",,,,,
,"checkpoint","Geotech Eng inspection report received- and close-out",,,,,
,"checkpoint","Geotech Eng Inspection of subgrade and proof rolling prior to filling",,,,,
,"section","Building Subgrade build-up",,,,,
,"checkpoint","GL and datum provided",,,,,
,"checkpoint","Placement of hardfill layer compacted as per design",,,,,
,"checkpoint","Drainage piping installed under foundation level",,,,,
,"checkpoint","Platforms spot checks heights and location",,,,,
,"section","Subgrade Sign-off",,,,,
,"checkpoint","Subgrade QA and test results received",,,,,
,"checkpoint","Geotech Eng Inspection of subgrade and proof rolling report received and close-out",,,,,

