"Warnings","Id","Type","Name","Values","Prompting Name","Prefix","Postfix","Usage Count","Resource Id"
"","b65929a7-0aa8-48d5-8e73-e626df0d8b66/2","checklist-flat","Add Fire Penetration Checklist","","Fire Penetration:",,,0,"8a2ec8f9-f2d7-4d6c-87b0-f1312c9217e2"
"","72844372-cece-4023-88dc-369e41849f27","checkpoint","Treatment Type",,,,,,
"","dda08e40-7dd9-531a-a2a2-34cae406e2c6","dropdown","Treatment Type:","A1,A2,B,C,D,E,F,G,H1,H2,H3,J,K,M,N1,N2,O,P,Q,R,S,T,V",,,,,
"","3beb7099-623d-4129-8a5c-d899bed7dfe1","checkpoint","Photo of penetration and sticker must be taken",,,,,,
"","6bebe046-7503-5351-8608-2524b69b0fd5","textbox","Installed by:",,,,,,
"","1f933fe7-d624-5fb9-9385-a1b250206f58","textbox","Comments / Reasons why cannot complete:",,,,,,

"","62ab4bd6-9925-4b68-9127-c1d10ae48aa9/2","checklist-flat","Add Project Photos","","Project Photos",,,2,"c0c1429f-ce9b-41aa-850b-12884ae57e62"
"","f819ef54-43e3-43c5-9a62-e3bb104e9c11","checkpoint","Attach Photos and Comments",,,,,,

"","719339c2-b674-4139-a24b-dce3581e7913/2","checklist","Add Stainless Steel Drainage valve rebuild Checklist","","Stainless Steel Drainage valve rebuild",,,0,"1127c421-f39e-4cb5-880b-ade57400bca9"
"","10103ae7-a929-46b0-ab3e-da6d7941243d","section","Details",,,,,,
"","e12fc8ba-94cf-4634-9656-c2f7fb89ae28","checkpoint","Photo of any pre existing damage to valve or penetration seal",,,,,,
"","e152c49b-7656-5860-9f81-f0357ee9f632","textbox","Valve No.",,,,,,
"","2c7c9829-57d9-41fb-87b5-ffa0197a806c","checkpoint","Photo of valve before",,,,,,
"","0dcf6e5b-2e30-45f5-933f-17283733875d","checkpoint","Photo of old valve seals",,,,,,
"","2441ea2f-9c3e-4d9e-8bf3-20f64a774b4b","checkpoint","Photo of inside of the valve",,,,,,
"","3a220e98-e8a3-4242-81d0-963bbb0baa99","checkpoint","Photo of new seals installed",,,,,,
"","e3fa560b-da13-4850-9f07-77751259f360","checkpoint","Tightend to correct torque list newton meters",,,,,,
"","6e617f22-f32f-5fb4-b297-f4fe6cbf009b","tickbox","All Bolts Tightend in a cross pattern",,,,,,
"","f0a5caec-eac5-5cb6-afc3-80bf17f280d0","number","Newton Meters",,,,,,
"","c1b21c1f-0d88-424d-a5c8-d3d58ee48d16","checkpoint-no-value","Installing Plumber",,,,,,
"","a0b79cff-946a-5f60-8569-18693e782c47","button","Plumber:","Richard Bell, Brendan Head, Guy Mcelholum",,,,,

"","256bef58-c8b9-4f4e-bebe-e5987fbc4d0e/1","checklist","Backflow Test Report","","Backflow Test Report",,,4,"ff8a06be-870b-4351-8254-83be7316b5c0"
"","45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,,,
"","859d1745-bbd7-43ef-8dab-4f2c0d72fda6","checkpoint","Description of property or vehicle",,,,,,
"","c22ca31f-6857-5cd2-a47f-de05a97249ec","note","The description must identify all land or vehicles covered in the application",,,,,,
