resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Building One,,,,,,,,
,step,,,,Level One,,,,,,,
,step,,,,,Courtroom 10,,,,,,
,step,,,,,,Jury dock,,,,,
Point Fixed Jury Dock,checklist,,,,,,,J1,,,,
,step,,,,,,Whiteboards,,,,,
Mirrors,checklist,,,,,,,WF9,,,,
,step,,,,,,Highlights,,,,,
Twin Skin Partitions,checklist,,,,,,,PG.37.1/A,,,,
,step,,,,,,Overlite,,,,,
Internal Partitions,checklist,,,,,,,DG.37A.1/P,,,,
,step,,,,,"G.135, 40, 39",,,,,,
,step,,,,,,Interview Rooms,,,,,
Internal Partitions,checklist,,,,,,,PG.135.1/D,,,,
Internal Partitions,checklist,,,,,,,PG.40.1/C,,,,
Internal Partitions,checklist,,,,,,,PG.39.1/B,,,,
,step,,,,,G.141,,,,,,
,step,,,,,,Bail Window,,,,,
Point Fixed Jury Dock,checklist,,,,,,,J14,,,,
,step,,,,,G.132,,,,,,
,step,,,,,,Victims Advisors,,,,,
Mirrors,checklist,,,,,,,WB,,,,
,step,,,,,1.108,,,,,,
,step,,,,,,Courtroom 14,,,,,
Mirrors,checklist,,,,,,,WF9,,,,
,step,,,,,1.111,,,,,,
,step,,,,,,Mediation,,,,,
Mirrors,checklist,,,,,,,WB,,,,
,step,,,,Level Two,,,,,,,
,step,,,,,2.201,,,,,,
,step,,,,,,Courtroom 6,,,,,
Mirrors,checklist,,,,,,,WB,,,,
,step,,,,,,Jury Dock,,,,,
Point Fixed Jury Dock,checklist,,,,,,,J8,,,,
,step,,,,,2.358,,,,,,
,step,,,,,,CM Office,,,,,
Dry Glazed W&Ds,checklist,,,,,,,D2.358.1/U,,,,
,step,,,Building Two,,,,,,,,
,step,,,,Level Two,,,,,,,
,step,,,,,2.361,,,,,,
,step,,,,,,Whiteboards,,,,,
Mirrors,checklist,,,,,,,WB,,,,
,step,,,,,,Secondary Glazing,,,,,
Twin Skin Partitions,checklist,,,,,,,Secondary,,,,
,step,,,,,2.371,,,,,,
,step,,,,,,Storage Room,,,,,
Twin Skin Partitions,checklist,,,,,,,12.76 Secondary,,,,
,step,,,,,2.37,,,,,,
,step,,,,,,Jury Room,,,,,
Twin Skin Partitions,checklist,,,,,,,12.76 Secondary,,,,
,step,,,,,2.373,,,,,,
,step,,,,,,WC,,,,,
Mirrors,checklist,,,,,,,A,,,,
Mirrors,checklist,,,,,,,B,,,,
,step,,,,,2.367,,,,,,
,step,,,,,,Meeting,,,,,
Mirrors,checklist,,,,,,,WB,,,,
,step,,,,,,Partition,,,,,
Internal Partitions,checklist,,,,,,,P2.367.1/A,,,,
,step,,,,,2.313,,,,,,
,step,,,,,,Partition,,,,,
Internal Partitions,checklist,,,,,,,D2.313.1/P,,,,
Internal Partitions,checklist,,,,,,,D2.313.2/P,,,,
,step,,,,,2.368,,,,,,
,step,,,,,,Whanau,,,,,
Internal Partitions,checklist,,,,,,,P2.368.1/A,,,,
,step,,,,,2.384,,,,,,
,step,,,,,,Staffroom,,,,,
Internal Partitions,checklist,,,,,,,P2.367.1/A,,,,
Internal Partitions,checklist,,,,,,,P2.361.2/B,,,,
,step,,,,,,Meeting Rooms,,,,,
Internal Partitions,checklist,,,,,,,2.367.1/A,,,,
,step,,,,,2.202,,,,,,
,step,,,,,,Interview,,,,,
Internal Partitions,checklist,,,,,,,P2.202.1/A,,,,
Dry Glazed W&Ds,checklist,,,,,,,D2.202.1/Q,,,,
,step,,,,,2.297,,,,,,
,step,,,,,,Interview,,,,,
Internal Partitions,checklist,,,,,,,P2.297.1/B,,,,
Dry Glazed W&Ds,checklist,,,,,,,D2.297.1/Q,,,,
,step,,,,,2.298,,,,,,
,step,,,,,,Interview,,,,,
Internal Partitions,checklist,,,,,,,P2.298.1/C,,,,
Dry Glazed W&Ds,checklist,,,,,,,D2.298.1/Q,,,,
,step,,,,,2.365,,,,,,
,step,,,,,,Meeting,,,,,
Internal Partitions,checklist,,,,,,,P2.365.1/C,,,,
,step,,,,,2.366,,,,,,
,step,,,,,,Meeting,,,,,
Internal Partitions,checklist,,,,,,,P2.366.1/B,,,,
,step,,,,,2.201,,,,,,
,step,,,,,,Courtroom 6,,,,,
Twin Skin Partitions,checklist,,,,,,,Lower-Left,,,,
Twin Skin Partitions,checklist,,,,,,,Lower-Right,,,,
Twin Skin Partitions,checklist,,,,,,,I.G.U Secondary,,,,
,step,,,,,2.300.,,,,,,
,step,,,,,,WC,,,,,
Mirrors,checklist,,,,,,,A,,,,
,step,,,,,2.301.,,,,,,
,step,,,,,,WC,,,,,
Mirrors,checklist,,,,,,,A,,,,
,step,,,,,2.307,,,,,,
,step,,,,,,WC -MALE,,,,,
Mirrors,checklist,,,,,,,V1,,,,
,step,,,,,2.308,,,,,,
,step,,,,,,WC - FEMALE,,,,,
Mirrors,checklist,,,,,,,V1,,,,
,step,,,,,2.31,,,,,,
,step,,,,,,WC UNISEX,,,,,
Mirrors,checklist,,,,,,,V1,,,,
