resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Zone A (Building B),,,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"B-02 + Curves (2149, 2003 - 2018, C2019 - C2022)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,B-03 (2023 - 2039),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"B-04 + Curves (2041 - 2045, C2001 & C2040)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,B-05 (2051 & 2052),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"B-06 + Curves (2046 - 2049, C2002 & C2050)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,B-07-GF (2053 - 2071),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"B-07-LG + Curves (2072 - 2089, C2090 & C2148)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"B-08 + Curve (2091 - 2098, C2099)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"B-09 + Curve (2100 - 2109, C2110 - C2111)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"B-10 + Curve (2112 - 2120, C2121)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"B-11 + Curve (2122 - 2129, C2130)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"B-12 + Curve (2131 - 2142, C2143)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,B-13 (2144 - 2146),,,,,,
,step,,,,Zone B (Building A),,,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"A-01 + Curves (1020 - 1026, C1027 & C1028)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"A-02 + Curves (1029 - 1038, C1039 & C1040)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,A-03 (1041 - 1042),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,A-04 (1043 - 1046),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"A-05 + Curve (1047 - 1054, C1055)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"A-06-LG + Curves (1010, 1012 - 1019, C1009 & C1011)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,A-06-GF (1056 -1074),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"A-02-LG + Curve (1003 - 1008, C1002)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"A-07 + Curves (1080 - 1090, C1075 - C1079)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"A-08 + Curves (1092 - 1103, 1128, C1091)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"A-08-LG + Curve (1121 - 1127, C1120)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,A-10 (1119 - 1116),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,A-11 (1115 - 1114),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,A-12 (1113 - 1106),,,,,,
,step,,,,"Zone C (Buildings C, D & E)",,,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"C-1 (F12 to F16)+ Curve (3008 - 3001, C3068)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"C-1 (F12 to F07) + Curve (3009 - 3021, C3022)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"C-02 + Curves (3067 - 3063, C3061 & C3062)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,C-03 (3042 - 3030),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,C-04 (F11 to F14) (3043 - 3049),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,C-04 (F14 to F18 (3050 - 3060),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"C-05 + Curves (3023 - 3027, C3028 & C3029)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,FED ST (3070 -3082),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"D-01 + Curve (4001 - 4006, C4007)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"D-02 + Curve (4015 - 4008, C4016)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"D-03 + Curves (4017 - 4022, C4023 & C4024)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"D-04 + Curves (4025 - 4038, C4039 & C4040)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"E-01 + Curves (5001 - 5006, C5007 & C5008)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"E-02 + Curves (5009 - 5023, C5024 & C5025)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,E-03 (5026 - 5048),,,,,,
Grand Seal - Caulking ITP,checklist,,,,,"E-04 + Curves (5051 - 5059, C5050 & C5049)",,,,,,
Grand Seal - Caulking ITP,checklist,,,,,E-04 to E-06 (5060 - 5066),,,,,,
,step,,,Daily Weather Checks,,,,,,,,
,step,,,,August 2023,,,,,,,
,step,,,,September 2023,,,,,,,
,step,,,,October 2023,,,,,,,
,step,,,,November 2023,,,,,,,
,step,,,,December 2023,,,,,,,
,step,,,,January 2024,,,,,,,
,step,,,,February 2024,,,,,,,
,step,,,,March 2024,,,,,,,
,step,,,,April 2024,,,,,,,
,step,,,,May 2024,,,,,,,
,step,,,,June 2024,,,,,,,
,step,,,,July 2024,,,,,,,
