type,name,values,prefix,postfix,usage count,user addable,template name
checklist,SP3a LVLs,,,,,,SP3a LVLs
section,Details,,,,,,
checkpoint,Steel Bracket to internal corner,,,,,,
checkpoint,New Hyspan to roof edge,,,,,,
checkpoint,Conections to existing steel beam,,,,,,
checkpoint,Doube studs with straps,,,,,,
,,,,,,,
checklist,SP3a South wall,,,,,,SP3a South wall
section,Details,,,,,,
checkpoint,Install additional framing for sheet joins,,,,,,
checkpoint,Install RAB Board,,,,,,
checkpoint,Install Intello Wrap ,,,,,,
checkpoint,Penetration flashing to wrap,,,,,,
checkpoint,0.9 BMT Aluminium Flashing,,,,,,
checkpoint,Cavity closer installed,,,,,,
checkpoint,Cavity Battens - 600cs,,,,,,
checkpoint,9mm Fibre Cement cladding,,,,,,
checkpoint,Fascias with air vent.,,,,,,
checkpoint,Painting cladding and fascias,,,,,,
,,,,,,,
checklist,SP3a Infills Panels - 1,,,,,,SP3a Infills Panels - 1
section,Details,,,,,,
checkpoint,Remove ACM ,,,,,,
checkpoint,Install RWU,,,,,,
checkpoint,Install Cavity Battens,,,,,,
checkpoint,Install Castellated batten,,,,,,
checkpoint,Install new aluminium flashing panel,,,,,,
,,,,,,,
checklist,SP3a Infills Panels - 2,,,,,,SP3a Infills Panels - 2
section,Details,,,,,,
checkpoint,Remove ACM ,,,,,,
checkpoint,Install RWU,,,,,,
checkpoint,Install Cavity Battens,,,,,,
checkpoint,Install Castellated batten,,,,,,
checkpoint,Install new aluminium flashing panel,,,,,,
checkpoint,Aluminium Soaker behind head flashing,,,,,,
