resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,EL-MSBN-01-301 (T1),,,,,,,,
,step,,,,Main Switchboards,,,,,,,
Testing & Commissioning - Main Switchboards (Pre-Energisation),checklist,,,,,WSA20-MPX-04000-EL-ITC-31032000 - Construction Tests (Pre-energisation),,,,,,
Testing & Commissioning - Main Switchboards (Energised),checklist,,,,,WSA20-MPX-04000-EL-ITC-31033000 - Component (Energised),,,,,,
,step,,,,Low Voltage Cables (Mains/Submains),,,,,,,
,step,,,,,[301N-001] VT-PGLCP-06-305,,,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31052000 Construction Tests (Pre-energisation),,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31053000 Component (Energised),,,,,
,step,,,,,[301N-002] VT-PGLCP-06-306,,,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31052000 Construction Tests (Pre-energisation),,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31053000 Component (Energised),,,,,
,step,,,,,[301N-003] VT-ESC-05-314,,,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31052000 Construction Tests (Pre-energisation),,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31053000 Component (Energised),,,,,
,step,,,,,[301N-004] VT-ESC-05-315,,,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31052000 Construction Tests (Pre-energisation),,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31053000 Component (Energised),,,,,
,step,,,,,[301N-005] VT-PGLCP-02-501,,,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31052000 Construction Tests (Pre-energisation),,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31053000 Component (Energised),,,,,
,step,,,,,[301N-006] VT-PGLCP-06-502,,,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31052000 Construction Tests (Pre-energisation),,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31053000 Component (Energised),,,,,
,step,,,,,[301N-007] VT-PGLCP-02-515,,,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31052000 Construction Tests (Pre-energisation),,,,,
Testing & Commissioning - Low Voltage Cables - Mains/Submains (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31053000 Component (Energised),,,,,
