Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,
95dfdf5d-09de-4602-b904-031621c0cf77,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-01-301,Quality - Light & Power Circuit Rough-In
62270c11-e5e9-4bc8-9d9d-dd3ab97c3643,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-01-302,Quality - Light & Power Circuit Rough-In
c7c755ab-49e2-47c1-b1e9-94429a31c82b,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-01-401,Quality - Light & Power Circuit Rough-In
7c730fbe-6734-4edf-bea1-a49a7f270549,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-01-402,Quality - Light & Power Circuit Rough-In
6ec266de-a8af-47e9-9019-ba9678fa9231,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-01-403,Quality - Light & Power Circuit Rough-In
f5097d1f-8d58-4f80-900f-366c429aeb6e,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-01-404,Quality - Light & Power Circuit Rough-In
d21954ff-87af-46a5-9aad-3d1de6308640,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-01-501,Quality - Light & Power Circuit Rough-In
9e46fc22-edeb-475b-a884-0ec77a3aa1b5,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-01-502,Quality - Light & Power Circuit Rough-In
b7640691-c779-4f8f-ba62-931598de1c8e,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-01-503,Quality - Light & Power Circuit Rough-In
6452bdd5-b282-4c63-93ca-d50d64dab492,,checklist-flat,not-started,Quality - Light & Power Circuit Rough-In,checklist-flat,FALSE,FALSE,Site QA,Terminal,Distribution Boards,Distribution Boards,CDBU,EL-CDBU-01-504,Quality - Light & Power Circuit Rough-In
