resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Rack: 7501.06-PPC-00001,,,,,,,,
Communications - Cabinet,checklist,,,,Cabinet ITC,,,,,,,
,step,,,Rack: 7501.06-PPC-00002,,,,,,,,
Communications - Cabinet,checklist,,,,Cabinet ITC,,,,,,,
,step,,,Rack: 7501.06-PPC-00003,,,,,,,,
Communications - Cabinet,checklist,,,,Cabinet ITC,,,,,,,
,step,,,Rack: 7501.06-PPC-00004,,,,,,,,
Communications - Cabinet,checklist,,,,Cabinet ITC,,,,,,,
,step,,,,Patch Panel: 7501.06-PPT-00001,,,,,,,
Communications - Copper,checklist,,,,,7501.06-001,,,,,,
Communications - Copper,checklist,,,,,7501.06-002,,,,,,
Communications - Copper,checklist,,,,,7501.06-003,,,,,,
Communications - Copper,checklist,,,,,7501.06-004,,,,,,
Communications - Copper,checklist,,,,,7501.06-005,,,,,,
Communications - Copper,checklist,,,,,7501.06-006,,,,,,
Communications - Copper,checklist,,,,,7501.06-007,,,,,,
Communications - Copper,checklist,,,,,7501.06-008,,,,,,
Communications - Copper,checklist,,,,,7501.06-009,,,,,,
Communications - Copper,checklist,,,,,7501.06-010,,,,,,
Communications - Copper,checklist,,,,,7501.06-011,,,,,,
Communications - Copper,checklist,,,,,7501.06-012,,,,,,
Communications - Copper,checklist,,,,,7501.06-013,,,,,,
Communications - Copper,checklist,,,,,7501.06-014,,,,,,
Communications - Copper,checklist,,,,,7501.06-015,,,,,,
Communications - Copper,checklist,,,,,7501.06-016,,,,,,
Communications - Copper,checklist,,,,,7501.06-017,,,,,,
Communications - Copper,checklist,,,,,7501.06-018,,,,,,
Communications - Copper,checklist,,,,,7501.06-019,,,,,,
Communications - Copper,checklist,,,,,7501.06-020,,,,,,
Communications - Copper,checklist,,,,,7501.06-021,,,,,,
Communications - Copper,checklist,,,,,7501.06-022,,,,,,
Communications - Copper,checklist,,,,,7501.06-023,,,,,,
Communications - Copper,checklist,,,,,7501.06-024,,,,,,
,step,,,,Patch Panel: 7501.06-PPT-00002,,,,,,,
Communications - Copper,checklist,,,,,7501.06-025,,,,,,
Communications - Copper,checklist,,,,,7501.06-026,,,,,,
Communications - Copper,checklist,,,,,7501.06-027,,,,,,
Communications - Copper,checklist,,,,,7501.06-028,,,,,,
Communications - Copper,checklist,,,,,7501.06-029,,,,,,
Communications - Copper,checklist,,,,,7501.06-030,,,,,,
Communications - Copper,checklist,,,,,7501.06-031,,,,,,
Communications - Copper,checklist,,,,,7501.06-032,,,,,,
