Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Communications - Fibre,,,,,,,,,
,Scope,,,Communications,Fibre,,,,
,Rows,,,,,,,,
,,Terminal - BDR-1 - 4B44.01-PPC-00003 – Retail - to Ground Floor Tenancy,dynamic,Communications,Terminal,Fibre,BDR-1,4B44.01-PPC-00003 – Retail,to Ground Floor Tenancy
,,Terminal - BDR-1 - 4B44.01-PPC-00003 – Retail - to L2 North West Tenancy,dynamic,Communications,Terminal,Fibre,BDR-1,4B44.01-PPC-00003 – Retail,to L2 North West Tenancy
,,Terminal - BDR-1 - 4B44.01-PPC-00004 - Terminal - to Basement,dynamic,Communications,Terminal,Fibre,BDR-1,4B44.01-PPC-00004 - Terminal,to Basement
,,Terminal - BDR-1 - 4B44.01-PPC-00004 - Terminal - to Ground,dynamic,Communications,Terminal,Fibre,BDR-1,4B44.01-PPC-00004 - Terminal,to Ground
,,Terminal - BDR-1 - 4B44.01-PPC-00004 - Terminal - to Level 2,dynamic,Communications,Terminal,Fibre,BDR-1,4B44.01-PPC-00004 - Terminal,to Level 2
,,Terminal - BDR-1 - 4B44.01-PPC-00004 - Terminal - to Level 3,dynamic,Communications,Terminal,Fibre,BDR-1,4B44.01-PPC-00004 - Terminal,to Level 3
,,Terminal - BDR-1 - 4B44.01-PPC-00004 - Terminal - to Ground FLB,dynamic,Communications,Terminal,Fibre,BDR-1,4B44.01-PPC-00004 - Terminal,to Ground FLB
,,Terminal - BDR-1 - 4B44.01-PPC-00004 - Terminal - to Airside NCS,dynamic,Communications,Terminal,Fibre,BDR-1,4B44.01-PPC-00004 - Terminal,to Airside NCS
,,Terminal - BDR-1 - 4B44.01-PPC-00004 - Terminal - to Landside,dynamic,Communications,Terminal,Fibre,BDR-1,4B44.01-PPC-00004 - Terminal,to Landside
,,Terminal - BDR-2 - 4B44.16-PPC-00003 – Retail - to L2 Diamond Tenancy,dynamic,Communications,Terminal,Fibre,BDR-2,4B44.16-PPC-00003 – Retail,to L2 Diamond Tenancy
,,Terminal - BDR-2 - 4B44.16-PPC-00003 – Retail - to L2 North East Tenancy,dynamic,Communications,Terminal,Fibre,BDR-2,4B44.16-PPC-00003 – Retail,to L2 North East Tenancy
,,Terminal - BDR-2 - 4B44.16-PPC-00003 – Retail - to Level 3 Tenancy,dynamic,Communications,Terminal,Fibre,BDR-2,4B44.16-PPC-00003 – Retail,to Level 3 Tenancy
,,Terminal - BDR-2 - 4B40.16-PPC-00004 - Terminal - to Basement,dynamic,Communications,Terminal,Fibre,BDR-2,4B40.16-PPC-00004 - Terminal,to Basement
,,Terminal - BDR-2 - 4B40.16-PPC-00004 - Terminal - to Ground,dynamic,Communications,Terminal,Fibre,BDR-2,4B40.16-PPC-00004 - Terminal,to Ground
,,Terminal - BDR-2 - 4B40.16-PPC-00004 - Terminal - to Level 2,dynamic,Communications,Terminal,Fibre,BDR-2,4B40.16-PPC-00004 - Terminal,to Level 2
