resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
0. HB AWPT ITP - Material testing,checklist,,,0. HB AWPT ITP - Material testing,,,,,,,,
1. HB AWPT ITP - Nth Rakaipaka,checklist,,,1. HB AWPT ITP - Nth Rakaipaka,,,,,,,,
2. HB AWPT ITP - Rakaipaka A,checklist,,,2. HB AWPT ITP - Rakaipaka A,,,,,,,,
3. HB AWPT ITP - McKenzies,checklist,,,3. HB AWPT ITP - McKenzies,,,,,,,,
4. HB AWPT ITP - Mahiaruhe Stream Bridge Sth,checklist,,,4. HB AWPT ITP - Mahiaruhe Stream Bridge Sth,,,,,,,,
5. HB AWPT ITP - Snee Rd II,checklist,,,5. HB AWPT ITP - Snee Rd II,,,,,,,,
6. HB AWPT ITP - Nth of Waione Bridge,checklist,,,6. HB AWPT ITP - Nth of Waione Bridge,,,,,,,,
7. HB AWPT ITP - Maori Gully II,checklist,,,7. HB AWPT ITP - Maori Gully II,,,,,,,,
8. HB AWPT ITP - Clarkesons Hill A,checklist,,,8. HB AWPT ITP - Clarkesons Hill A,,,,,,,,
9. HB AWPT ITP - Clarkesons Hill B,checklist,,,9. HB AWPT ITP - Clarkesons Hill B,,,,,,,,
10. HB AWPT ITP - Sainsburry Farm,checklist,,,10. HB AWPT ITP - Sainsburry Farm,,,,,,,,
11. HB AWPT ITP - Sth Tikokino Rd,checklist,,,11. HB AWPT ITP - Sth Tikokino Rd,,,,,,,,
