resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,In Ground Services,,,,,,,
,step,,,,,Installation,,,,,,
,step,,,,,,Fire service (in-ground),,,,,
ITR 005 Fire Service,checklist,,,,,,,Ground,,,,
,step,,,,,,Existing cold water (in-ground),,,,,
ITR 009 Domestic Cold Water In Ground,checklist,,,,,,,Ground,,,,
,step,,,,Total Station ,,,,,,,
,step,,,,,Mark Out ,,,,,,
ITR 001 Set Out Penetrations,checklist,,,,,,Ground,,,,,
,step,,,,Commissioning ,,,,,,,
,step,,,,,Hydrants,,,,,,
Internal Audit Checklist,checklist,,,,,,Ground,,,,,
,step,,,,,FHRs,,,,,,
Internal Audit Checklist,checklist,,,,,,Ground,,,,,
,step,,,,Invoice/Documentation ,,,,,,,
Third Party Commissioning,checklist,,,,,Invoices,,,,,,
Third Party Commissioning,checklist,,,,,Documents ,,,,,,
